Papers for Liqing Zhang, Virginia Polytechnic Institute and State University
Jinxiang Chai ; ACM Trans. Graph. 2012
Jinxiang Chai ; ACM Trans. Graph. 2012
Jinxiang Chai ; ACM Trans. Graph. 2014
Jinxiang Chai ; ACM Trans. Graph. 2014
Jinxiang Chai ; SIGGRAPH 2002
Jinxiang Chai ; SIGGRAPH 2000

Papers for Jan-Michael Frahm, University of North Carolina - Chapel Hill
Jan-Michael Frahm ; ACM Conference on Computer and Communications Security 2013
Jan-Michael Frahm ; ACM Conference on Computer and Communications Security 2014
Jan-Michael Frahm ; ACM Conference on Computer and Communications Security 2011
Jan-Michael Frahm ; USENIX Security Symposium 2012

Papers for Ranjitha Kumar, University of Illinois at Urbana-Champaign
Ranjitha Kumar ; CHI 2010
Ranjitha Kumar ; CHI 2011
Ranjitha Kumar ; CHI 2013
Ranjitha Kumar ; ICML 2012
Ranjitha Kumar ; IJCAI 2011

Papers for Yan Huang, Indiana University
Yan Huang ; PVLDB 2014
Yan Huang ; PVLDB 2014
Yan Huang ; ACM Conference on Computer and Communications Security 2014
Yan Huang ; ACM Conference on Computer and Communications Security 2015
Yan Huang ; ACM Conference on Computer and Communications Security 2015
Yan Huang ; ACM Conference on Computer and Communications Security 2014
Yan Huang ; SIGMOD Conference 2013
Yan Huang ; INFOCOM 2004
Yan Huang ; IEEE Symposium on Security and Privacy 2012
Yan Huang ; IEEE Symposium on Security and Privacy 2015
Yan Huang ; IEEE Symposium on Security and Privacy 2014
Yan Huang ; USENIX Security Symposium 2011
Yan Huang ; NIPS 2015
Yan Huang ; SIGCOMM 2008

Papers for Kunal Agrawal, Washington University - St. Louis
Kunal Agrawal ; WWW 2011
Kunal Agrawal ; ICML 2014
Kunal Agrawal ; PLDI 2015

Papers for Josep Torrellas, University of Illinois at Urbana-Champaign
Josep Torrellas ; HPCA 2014
Josep Torrellas ; HPCA 2013
Josep Torrellas ; HPCA 2010
Josep Torrellas ; HPCA 2002
Josep Torrellas ; HPCA 2013
Josep Torrellas ; HPCA 2012
Josep Torrellas ; HPCA 2007
Josep Torrellas ; HPCA 2014
Josep Torrellas ; HPCA 2009
Josep Torrellas ; HPCA 2003
Josep Torrellas ; HPCA 2014
Josep Torrellas ; HPCA 2013
Josep Torrellas ; HPCA 2001
Josep Torrellas ; HPCA 2012
Josep Torrellas ; HPCA 2012
Josep Torrellas ; HPCA 2006
Josep Torrellas ; HPCA 2000
Josep Torrellas ; HPCA 2010
Josep Torrellas ; HPCA 2013
Josep Torrellas ; MICRO 2010
Josep Torrellas ; MICRO 2002
Josep Torrellas ; MICRO 2010
Josep Torrellas ; MICRO 2009
Josep Torrellas ; MICRO 2012
Josep Torrellas ; MICRO 2009
Josep Torrellas ; MICRO 2006
Josep Torrellas ; MICRO 2006
Josep Torrellas ; MICRO 2006
Josep Torrellas ; MICRO 2000
Josep Torrellas ; MICRO 2008
Josep Torrellas ; MICRO 2004
Josep Torrellas ; MICRO 2008
Josep Torrellas ; MICRO 2010
Josep Torrellas ; MICRO 2007
Josep Torrellas ; MICRO 2013
Josep Torrellas ; MICRO 2007
Josep Torrellas ; MICRO 2009
Josep Torrellas ; ISCA 2007
Josep Torrellas ; ISCA 2000
Josep Torrellas ; ISCA 2003
Josep Torrellas ; ISCA 2007
Josep Torrellas ; ISCA 2009
Josep Torrellas ; ISCA 2004
Josep Torrellas ; ISCA 2014
Josep Torrellas ; ISCA 2002
Josep Torrellas ; ISCA 2011
Josep Torrellas ; ISCA 2001
Josep Torrellas ; ISCA 2006
Josep Torrellas ; ISCA 2014
Josep Torrellas ; ISCA 2013
Josep Torrellas ; ISCA 2013
Josep Torrellas ; ISCA 2002
Josep Torrellas ; ISCA 2011
Josep Torrellas ; ISCA 2008
Josep Torrellas ; ISCA 2006
Josep Torrellas ; ISCA 2003
Josep Torrellas ; PLDI 2014
Josep Torrellas ; ASPLOS 2015
Josep Torrellas ; ASPLOS 2009
Josep Torrellas ; ASPLOS 2002
Josep Torrellas ; ASPLOS 2008
Josep Torrellas ; ASPLOS 2014
Josep Torrellas ; ASPLOS 2013
Josep Torrellas ; ASPLOS 2013
Josep Torrellas ; ASPLOS 2013

Papers for Hava T. Siegelmann, University of Massachusetts - Amherst
Hava T. Siegelmann ; NIPS 2000
Hava T. Siegelmann ; NIPS 2001
Hava T. Siegelmann ; IJCAI 2007

Papers for Stefan Savage, University of California - San Diego
Stefan Savage ; ACM Conference on Computer and Communications Security 2012
Stefan Savage ; ACM Conference on Computer and Communications Security 2008
Stefan Savage ; ACM Conference on Computer and Communications Security 2009
Stefan Savage ; ACM Conference on Computer and Communications Security 2007
Stefan Savage ; ACM Conference on Computer and Communications Security 2015
Stefan Savage ; ACM Conference on Computer and Communications Security 2011
