name,affiliation,homepage,scholarid,company
Dieter Fox,University of Washington,http://homes.cs.washington.edu/~fox/,DqXsbPAAAAAJ,Nvidia
Doina Precup,McGill University,http://cs.mcgill.ca/~dprecup,j54VcVEAAAAJ,DeepMind
Donald Kossmann,ETH Zurich,https://www.systems.ethz.ch,NOSCHOLARPAGE,Microsoft Research
Edwin B. Olson,University of Michigan,https://april.eecs.umich.edu/people/ebolson,GwtVjKYAAAAJ,TBD
Edwin Olson,University of Michigan,https://april.eecs.umich.edu/people/ebolson,GwtVjKYAAAAJ,TBD
Edwin V. Bonilla,UNSW,http://ebonilla.github.io,uDLRZQMAAAAJ,TBD
Emerson R. Murphy-Hill,North Carolina State University,https://people.engr.ncsu.edu/ermurph3,9Kk7PNQAAAAJ,Google
Emin Gün Sirer,Cornell University,https://www.cs.cornell.edu/people/egs,DaDmjMMAAAAJ,Ava Labs
Emina Torlak,University of Washington,http://homes.cs.washington.edu/~emina,rFpexEAAAAAJ,Amazon
Engin Ipek,University of Rochester,http://www.cs.rochester.edu/~ipek/Home.html,Lka71pAAAAAJ,Qualcomm
Erhan Mengusoglu,Hacettepe University,http://cs.hacettepe.edu.tr/files/erhan_mengusoglu_CVa.pdf,CRHfLuoAAAAJ,IBM
Erion Plaku,George Mason University,https://cs.gmu.edu/~plaku/index.html,DK3QY9sAAAAJ,NSF
Feifei Li 0001,University of Utah,https://www.cs.utah.edu/~lifeifei,qPDhlWkAAAAJ,Alibaba
Francesco Zappa Nardelli,Ecole Normale Superieure,http://www.di.ens.fr/~zappa,pp1KBVQAAAAJ,Facebook
Frank Dellaert,Georgia Institute of Technology,https://www.cc.gatech.edu/~dellaert,ZxXBaswAAAAJ,TBD
George Danezis,University College London,http://www0.cs.ucl.ac.uk/staff/G.Danezis,LCNVGpcAAAAJ,Facebook
Georgios Gousios,TU Delft,https://gousios.gr,-NI5S50AAAAJ,Facebook
Gerome Miklau,University of Massachusetts Amherst,http://people.cs.umass.edu/~miklau,mlafJ6wAAAAJ,Tumult Labs
Giorgos Gousios,TU Delft,https://gousios.gr,-NI5S50AAAAJ,Facebook
Gonenc Ercan,Hacettepe University,http://www.gonencercan.com,s7-3H78AAAAJ,Udemy
Greg Mori,Simon Fraser University,http://www.cs.sfu.ca/~mori,Bl9FSL0AAAAJ,TBD
Guanling Chen,University of Massachusetts Lowell,http://www.cs.uml.edu/~glchen,-4aVBKAAAAAJ,ForU Trucking
Gönenç Ercan,Hacettepe University,http://www.gonencercan.com,s7-3H78AAAAJ,Udemy
Hadi Esmaeilzadeh,Univ. of California - San Diego,http://www.cc.gatech.edu/~hadi,LnB5_AcAAAAJ,Protopia
Hank Levy,University of Washington,http://www.cs.washington.edu/people/faculty/levy,ymwKqZsAAAAJ,Google
Hao Li 0015,University of Southern California,http://www.hao-li.com/,pPutNUwAAAAJ,TBD
Haseeb Bokhari,UNSW,http://www.cse.unsw.edu.au/~hbokhari,mjI9aaAAAAAJ,TBD
Henry M. Levy,University of Washington,http://www.cs.washington.edu/people/faculty/levy,ymwKqZsAAAAJ,Google
Hoda Naghibi Jouybari,Binghamton University,https://scholar.google.com/citations?user=TEymGjQAAAAJ&hl=en,TEymGjQAAAAJ,Qualcomm
Hoda Naghibijouybari,Binghamton University,https://scholar.google.com/citations?user=TEymGjQAAAAJ&hl=en,TEymGjQAAAAJ,Qualcomm
Honglak Lee,University of Michigan,http://web.eecs.umich.edu/~honglak,fmSHtE8AAAAJ,TBD
Inderjit S. Dhillon,University of Texas at Austin,https://www.cs.utexas.edu/~inderjit,xBv5ZfkAAAAJ,Amazon
Ivor W. Tsang,University of Technology Sydney,https://www.uts.edu.au/staff/ivor.tsang,rJMOlVsAAAAJ,A*STAR
J. Zico Kolter,Carnegie Mellon University,http://www.zicokolter.com/,NOSCHOLARPAGE,TBD
Jacob Eisenstein,Georgia Institute of Technology,http://www.cc.gatech.edu/~jeisenst,Wb_lnjAAAAAJ,Google
Jade Alglave,University College London,http://www0.cs.ucl.ac.uk/staff/J.Alglave,Rt3myI4AAAAJ,ARM
Jan Vitek,Northeastern University,http://janvitek.org,Ws0GjboAAAAJ,Unknown
Jan-Michael Frahm,University of North Carolina,http://frahm.web.unc.edu,3YOe4NMAAAAJ,Meta
Jason Flinn,University of Michigan,http://web.eecs.umich.edu/~jflinn,YxGHbuMAAAAJ,Facebook
Jean Yang 0001,Carnegie Mellon University,https://www.cs.cmu.edu/~jyang2,RQGtMhoAAAAJ,TBD
Jeffrey P. Bigham,Carnegie Mellon University,http://www.cs.cmu.edu/~jbigham,_lkX4ckAAAAJ,Apple
Jeffrey Philip Bigham,Carnegie Mellon University,http://www.cs.cmu.edu/~jbigham,_lkX4ckAAAAJ,Apple
Jens Groth,University College London,http://www0.cs.ucl.ac.uk/staff/J.Groth,5w0Y9JUAAAAJ,Dfinity
Jessica K. Hodgins,Carnegie Mellon University,http://www.cs.cmu.edu/~jkh/,vswo4rQAAAAJ,TBD
Jie Xiong 0001,University of Massachusetts Amherst,https://people.cs.umass.edu/~jxiong,GR9VzaMAAAAJ,TBD
Jo Vermeulen,Aarhus University,http://www.jovermeulen.com,mLqdIdoAAAAJ,TBA
Jur P. van den Berg,University of Utah,http://arl.cs.utah.edu,VjsNXysAAAAJ,TBD
Jur van den Berg,University of Utah,http://arl.cs.utah.edu,VjsNXysAAAAJ,TBD
Jure Leskovec,Stanford University,https://cs.stanford.edu/people/jure,Q_kKkIUAAAAJ,Chan Zuckerberg Biohub
Jyh-Ming Lien,George Mason University,http://cs.gmu.edu/~jmlien,EnrEVb0AAAAJ,iRobot
Kamin Whitehouse,University of Virginia,http://www.cs.virginia.edu/~whitehouse,ob_3jn4AAAAJ,Amazon
Kathleen Fisher,Tufts University,http://www.cs.tufts.edu/~kfisher/Kathleen_Fisher/Home.html,8mi-oYYAAAAJ,DARPA
Kenneth O. Stanley,University of Central Florida,http://www.cs.ucf.edu/~kstanley,6Q6oO1MAAAAJ,TBD
Keshav Pingali,University of Texas at Austin,http://www.cs.utexas.edu/~pingali,02UU6wgAAAAJ,Katana
Kristen Grauman,University of Texas at Austin,https://www.cs.utexas.edu/~grauman,Jp6Mz1sAAAAJ,Facebook
Krste Asanovic,University of California - Berkeley,https://www.eecs.berkeley.edu/~krste,e4I7ihkAAAAJ,RISC-V
KyungHyun Cho,New York University,http://www.kyunghyuncho.me/,0RAmmIAAAAAJ,TBD
Kyunghyun Cho,New York University,http://www.kyunghyuncho.me/,0RAmmIAAAAAJ,TBD
Kyunghyuns Cho,New York University,http://www.kyunghyuncho.me/,0RAmmIAAAAAJ,TBD
Landon P. Cox,Duke University,https://users.cs.duke.edu/~lpcox/,zoBGvW4AAAAJ,Microsoft
Laure Thompson,University of Massachusetts Amherst,https://people.cs.umass.edu/~laurejt,qOT_38cAAAAJ,TBD
Lei Yu 0001,Binghamton University,http://www.cs.binghamton.edu/~lyu,bRCoY7EAAAAJ,Expression Networks
Lior Wolf,Tel Aviv University,http://www.cs.tau.ac.il/~wolf/,UbFrXTsAAAAJ,TBD
Lorenzo Torresani,Dartmouth College,http://www.cs.dartmouth.edu/~lorenzo/home.html,ss8KR5gAAAAJ,Facebook
M. V. N. Ashwin Kumar,Duke University,https://users.cs.duke.edu/~ashwin,A0hv6xwAAAAJ,Tumult Labs
Mahesh Balakrishnan 0001,Yale University,http://www.cs.yale.edu/~mahesh,-NkxFNoAAAAJ,Facebook
Manish Gupta 0001,IIIT Hyderabad,https://www.microsoft.com/en-us/research/people/gmanish/,eX9PSu0AAAAJ,Microsoft
Manuela M. Veloso,Carnegie Mellon University,https://www.cs.cmu.edu/~mmv/,2FbkAzYAAAAJ,TBD
Mariana Raykova 0001,Yale University,https://cpsc.yale.edu/people/mariana-raykova,xwTbW0MAAAAJ,Google
Mario Szegedy,Rutgers University,http://www.cs.rutgers.edu/~szegedy,NOSCHOLARPAGE,Alibaba
Mark D. Corner,University of Massachusetts Amherst,https://markdcorner.com,NOSCHOLARPAGE,Google
Mark Harman,University College London,http://www0.cs.ucl.ac.uk/staff/M.Harman,IwSN8IgAAAAJ,TBD
Matthew A. Hammer,University of Colorado Boulder,https://www.colorado.edu/cs/matthew-hammer,zVXQcSsAAAAJ,Dfinity
Matthew Hammer,University of Colorado Boulder,https://www.colorado.edu/cs/matthew-hammer,zVXQcSsAAAAJ,Dfinity
Mehmet Koseoglu,Hacettepe University,https://web.cs.hacettepe.edu.tr/~mkoseoglu,foJBq50AAAAJ,Udemy
Michael Goesele,TU Darmstadt,http://www.gcc.tu-darmstadt.de/home/we/michael_goesele,56UhAooAAAAJ,Meta
Michael Hicks 0001,University of Maryland - College Park,http://www.cs.umd.edu/~mwh,I9Vzs-4AAAAJ,TBA
Michael J. Cafarella,University of Michigan,http://web.eecs.umich.edu/~michjc,r1quzEkAAAAJ,TBA
Michael W. Hicks,University of Maryland - College Park,http://www.cs.umd.edu/~mwh,I9Vzs-4AAAAJ,TBA
Michelle (Ichinco) Brachman,University of Massachusetts Lowell,http://michin01.github.io,_cFhtU4AAAAJ,IBM
Michelle Mills Strout,University of Arizona,http://www.cs.arizona.edu/~mstrout,9eDoldEAAAAJ,HPE
Michelle Strout,University of Arizona,http://www.cs.arizona.edu/~mstrout,9eDoldEAAAAJ,HPE
Mike Cafarella,University of Michigan,http://web.eecs.umich.edu/~michjc,r1quzEkAAAAJ,TBA
Mike Hicks,University of Maryland - College Park,http://www.cs.umd.edu/~mwh,I9Vzs-4AAAAJ,TBA
Mikkel R. Jakobsen,University of Copenhagen,http://mikkelrj.dk/,Jqtz7zkAAAAJ,Netcompany
Mikkel Rønne Jakobsen,University of Copenhagen,http://mikkelrj.dk/,Jqtz7zkAAAAJ,Netcompany
Minaxi Gupta,Indiana University,http://www.cs.indiana.edu/~minaxi/,NOSCHOLARPAGE,TBD
Minsuk Kahng,Oregon State University,https://minsuk.com,vieI1GYAAAAJ,Google
Nam Sung Kim,Univ. of Illinois at Urbana-Champaign,https://www.ece.illinois.edu/directory/profile/nskim,iccBxJIAAAAJ,TBD
Nando de Freitas,University of Oxford,https://www.cs.ox.ac.uk/people/nando.defreitas,nzEluBwAAAAJ,DeepMind
Nicolas Courtois,University College London,http://www0.cs.ucl.ac.uk/staff/n.courtois,sTwMEA8AAAAJ,bettercrypto.com
Nicolas T. Courtois,University College London,http://www0.cs.ucl.ac.uk/staff/n.courtois,sTwMEA8AAAAJ,Qualcomm
Noah D. Goodman,Stanford University,http://cocolab.stanford.edu/ndg.html,OUpIbcQAAAAJ,Uber
Noah Goodman,Stanford University,http://cocolab.stanford.edu/ndg.html,OUpIbcQAAAAJ,Uber
Nolen Scaife,University of Colorado Boulder,https://nolen.io,r9uneEYAAAAJ,TBD
Pascal Vincent,University of Montreal,http://www.iro.umontreal.ca/~vincentp/welcome.html,WBCKQMsAAAAJ,Facebook
