name,abbrv,color,coauthored
Weikuan Yu,W. Yu,#00bfff,0
Mike Burmester,M. Burmester,#d3d3d3,1
Xiuwen Liu,X. Liu,#32CD32,1
Xin Yuan,X. Yuan,#00bfff,1
Zhenhai Duan,Z. Duan,#00bfff,1
Sudhir Aggarwal,S. Aggarwal,#00bfff,1
Zhenghao Zhang,Z. Zhang,#00bfff,1
Robert van Engelen,R. van Engelen,#00bfff,1
An-I Wang,A. Wang,#00bfff,1
David Whalley,D. Whalley,#00bfff,1
Zhi Wang,Z. Wang,#00bfff,0
Daniel Schwartz,D. Schwartz,#d3d3d3,0
Ashok Srinivasan,A. Srinivasan,#00bfff,1
Lois Hawkes,L. Hawkes,#d3d3d3,0
Sonia Haiduc,S. Haiduc,#00bfff,0
Adrian Nistor,A. Nistor,#00bfff,0
Peixiang Zhao,P. Zhao,#00bfff,0
Jie Yang,J. Yang,#00bfff,0
Piyush Kumar,P. Kumar,#ffff00,0
Michael Mascagni,M. Mascagni,#d3d3d3,0
