name,color
James S. Collofello,#d3d3d3
Violet R. Syrotiuk,#d3d3d3
Charles J. Colbourn,#00bfff
Subbarao Kambhampati,#32CD32
Adam Doupé,#00bfff
Gail-Joon Ahn,#00bfff
Baoxin Li,#32CD32
Guoliang Xue,#00bfff
Huan Liu,#32CD32
Andréa W. Richa,#00bfff
Arunabha Sen,#00bfff
Aviral Shrivastava,#00bfff
Wei-Tek Tsai,#d3d3d3
K. Selçuk Candan,#00bfff
Rida A. Bazzi,#00bfff
Joohyung Lee,#32CD32
Carole-Jean Wu,#00bfff
Hanghang Tong,#32CD32
Jingrui He,#32CD32
Hasan Davulcu,#32CD32
Chitta Baral,#32CD32
Yezhou Yang,#32CD32
Partha Dasgupta,#d3d3d3
Brian C. Nelson,#d3d3d3
