name,color
Eric Van Wyk,#ffc0cb
Mats Per Erik Heimdahl,#00bfff
Maria L. Gini,#32CD32
Anand R. Tripathi,#d3d3d3
Volkan Isler,#ffc0cb
Ravi Janardan,#32CD32
Nikolaos Papanikolopoulos,#ffc0cb
Paul R. Schrater,#32CD32
Arindam Banerjee,#32CD32
Daniel Boley,#32CD32
Svetlana Yarosh,#ffc0cb
Loren G. Terveen,#ffc0cb
Pen-Chung Yew,#00bfff
Antonia Zhai,#00bfff
Stephen McCamant,#00bfff
Rahul Narain,#ffc0cb
Stephen J. Guy,#ffc0cb
Shashi Shekhar,#00bfff
Vipin Kumar,#32CD32
Mohamed F. Mokbel,#00bfff
Rui Kuang,#ffc0cb
Jaideep Srivastava,#32CD32
Joseph A. Konstan,#ffc0cb
John V. Carlis,#ffc0cb
Daniel F. Keefe,#ffc0cb
David Hung-Chang Du,#00bfff
Zhi-Li Zhang,#00bfff
Tian He,#00bfff
Stergios I. Roumeliotis,#ffc0cb
Jon B. Weissman,#00bfff
Abhishek Chandra,#00bfff
Gary W. Meyer,#ffc0cb
