name,color
Paulo Veríssimo,#00bfff
Leon van der Torre,#32CD32
Pierre Kelsen,#d3d3d3
Alex Biryukov,#00bfff
Franck Leprévost,#d3d3d3
Sjouke Mauw,#00bfff
Peter Ryan,#00bfff
Björn Ottersten,#32CD32
Yves Le Traon,#00bfff
Lionel Briand,#00bfff
Volker Müller,#d3d3d3
Denis Zampuniéris,#d3d3d3
Nicolas Guelfi,#d3d3d3
Nicolas Navet,#d3d3d3
Christoph Schommer,#d3d3d3
Jürgen Sachau,#d3d3d3
Jean-Sébastien Coron,#ffff00
Pascal Bouvry,#d3d3d3
Raymond Bisdorff,#d3d3d3
Thomas Engel,#00bfff
Ulrich Sorger,#d3d3d3
Steffen Rothkugel,#d3d3d3
