name,abbrv,color,coauthored
Ke Wang,K. Wang,#32CD32,1
Jian Pei,J. Pei,#32CD32,1
Uwe Glässer,U. Glässer,#32CD32,1
Martin Ester,M. Ester,#32CD32,1
Oliver Schulte,O. Schulte,#32CD32,1
Binay Bhattacharya,B. Bhattacharya,#ffc0cb,1
Anoop Sarkar,A. Sarkar,#32CD32,1
Ghassan Hamarneh,G. Hamarneh,#32CD32,1
Hao Zhang,H. Zhang,#ffc0cb,1
Mark Drew,M. Drew,#32CD32,1
Thomas Shermer,T. Shermer,#d3d3d3,1
Leonid Chindelevitch,L. Chindelevitch,#ffc0cb,0
Petra Berenbrink,P. Berenbrink,#ffff00,1
Pavol Hell,P. Hell,#ffff00,0
Ze-Nian Li,Z. Li,#32CD32,1
Greg Mori,G. Mori,#32CD32,1
William Sumner,W. Sumner,#00bfff,1
Robert Cameron,R. Cameron,#00bfff,1
Arrvindh Shriraman,A. Shriraman,#00bfff,1
Jiangchuan Liu,J. Liu,#00bfff,1
Ping Tan,P. Tan,#32CD32,1
Eugenia Ternovska,E. Ternovska,#32CD32,0
Richard Vaughan,R. Vaughan,#ffc0cb,1
Jiannan Wang,J. Wang,#00bfff,1
Mohamed Hefeeda,M. Hefeeda,#ffc0cb,0
Andrei Bulatov,A. Bulatov,#ffff00,0
Parmit Chilana,P. Chilana,#ffc0cb,0
Valentine Kabanets,V. Kabanets,#ffff00,0
James Delgrande,J. Delgrande,#32CD32,0
