name,abbrv,color,coauthored
Eugene Vasserman,E. Vasserman,#d3d3d3,0
Scott DeLoach,S. DeLoach,#d3d3d3,1
Doina Caragea,D. Caragea,#d3d3d3,1
Robby ,R. ,#00bfff,1
Mitchell Neilsen,M. Neilsen,#d3d3d3,1
Masaaki Mizuno,M. Mizuno,#d3d3d3,1
Daniel Andresen,D. Andresen,#d3d3d3,1
Venkatesh Ranganath,V. Ranganath,#00bfff,1
John Hatcliff,J. Hatcliff,#00bfff,1
Torben Amtoft,T. Amtoft,#00bfff,1
William Hsu,W. Hsu,#32CD32,1
Pavithra Prabhakar,P. Prabhakar,#00bfff,0
R. Howell,R. Howell,#d3d3d3,0
