name,abbrv,color,coauthored
Hyeong-Ah Choi,H. Choi,#00bfff,1
Xiuzhen Cheng,X. Cheng,#00bfff,1
Nan Zhang,N. Zhang,#00bfff,1
Poorvi Vora,P. Vora,#00bfff,0
Evan Drumwright,E. Drumwright,#ffc0cb,1
Rahul Simha,R. Simha,#00bfff,1
Gabriel Parmer,G. Parmer,#00bfff,1
James Hahn,J. Hahn,#d3d3d3,0
Bhagirath Narahari,B. Narahari,#00bfff,1
Shmuel Rotenstreich,S. Rotenstreich,#d3d3d3,1
Timothy Wood,T. Wood,#00bfff,0
Mona Diab,M. Diab,#32CD32,0
Abdou Youssef,A. Youssef,#32CD32,0
Claire Monteleoni,C. Monteleoni,#32CD32,0
