name,abbrv,color,coauthored
Martin Erwig,M. Erwig,#00bfff,1
Eric Walkingshaw,E. Walkingshaw,#d3d3d3,1
Alex Groce,A. Groce,#00bfff,1
Alan Fern,A. Fern,#32CD32,1
Margaret Burnett,M. Burnett,#ffc0cb,1
Christopher Scaffidi,C. Scaffidi,#ffc0cb,1
Prasad Tadepalli,P. Tadepalli,#32CD32,1
Xiaoli Fern,X. Fern,#32CD32,1
Liang Huang,L. Huang,#32CD32,1
Thomas Dietterich,T. Dietterich,#32CD32,1
Weng-Keen Wong,W. Wong,#32CD32,1
Patrick Chiang,P. Chiang,#00bfff,1
Gabor Temes,G. Temes,#d3d3d3,1
Arun Natarajan,A. Natarajan,#00bfff,1
Huaping Liu,H. Liu,#ffc0cb,1
Rebecca Hutchinson,R. Hutchinson,#32CD32,1
Thinh Nguyen,T. Nguyen,#d3d3d3,1
Mario Magaña,M. Magaña,#d3d3d3,1
Fuxin Li,F. Li,#32CD32,0
Sinisa Todorovic,S. Todorovic,#32CD32,1
Carlos Jensen,C. Jensen,#00bfff,1
Arash Termehchy,A. Termehchy,#00bfff,1
Eduardo Sanchez,E. Sanchez,#d3d3d3,1
Glencora Borradaile,G. Borradaile,#ffff00,1
Bechir Hamdaoui,B. Hamdaoui,#d3d3d3,1
Kelin Kuhn,K. Kuhn,#d3d3d3,0
Danny Dig,D. Dig,#00bfff,1
Julia Zhang,J. Zhang,#d3d3d3,0
Mike Bailey,M. Bailey,#d3d3d3,0
Jinsub Kim,J. Kim,#d3d3d3,1
Raviv Raich,R. Raich,#32CD32,1
Eugene Zhang,E. Zhang,#ffc0cb,1
Yue 0009,Y. 0009,#ffc0cb,1
Kartikeya Mayaram,K. Mayaram,#00bfff,1
Un-Ku Moon,U. Moon,#00bfff,1
Amir Nayyeri,A. Nayyeri,#ffff00,1
Anita Sarma,A. Sarma,#00bfff,1
Matthew Johnston,M. Johnston,#00bfff,0
V. Mathews,V. Mathews,#d3d3d3,0
Ben Lee,B. Lee,#d3d3d3,0
Annette von Jouanne,A. von Jouanne,#d3d3d3,0
Cherri Pancake,C. Pancake,#d3d3d3,0
Tejasvi Anand,T. Anand,#d3d3d3,0
Lizhong Chen,L. Chen,#00bfff,0
Mike Rosulek,M. Rosulek,#ffff00,0
Bella Bose,B. Bose,#d3d3d3,1
John Conley,J. Conley,#d3d3d3,0
Rakesh Bobba,R. Bobba,#00bfff,0
