name,abbrv,color,coauthored
Daniel Angus,D. Angus,#ffc0cb,1
Janet Wiles,J. Wiles,#ffc0cb,1
Marcus Gallagher,M. Gallagher,#d3d3d3,0
Hanna Kurniawati,H. Kurniawati,#ffc0cb,1
Amin Abbosh,A. Abbosh,#d3d3d3,1
Stuart Crozier,S. Crozier,#d3d3d3,1
Peter Sutton,P. Sutton,#d3d3d3,1
Feng Liu,F. Liu,#32CD32,1
Stephen Wilson,S. Wilson,#d3d3d3,1
Peter O'Shea,P. O'Shea,#d3d3d3,0
Tapan Saha,T. Saha,#d3d3d3,1
Nadarajah Mithulananthan,N. Mithulananthan,#d3d3d3,1
Graeme Smith,G. Smith,#d3d3d3,1
Larissa Meinicke,L. Meinicke,#ffff00,1
Stephen Viller,S. Viller,#ffc0cb,1
Ben Matthews,B. Matthews,#d3d3d3,1
Andrew Dekker,A. Dekker,#d3d3d3,1
Jane Hunter,J. Hunter,#d3d3d3,1
Michael Brünig,M. Brünig,#ffc0cb,1
Saeid Mehrkanoon,S. Mehrkanoon,#d3d3d3,0
Xiaofang Zhou,X. Zhou,#00bfff,1
Heng Shen,H. Shen,#00bfff,1
Shazia Sadiq,S. Sadiq,#00bfff,1
Xue Li,X. Li,#00bfff,1
Zi Huang,Z. Huang,#00bfff,1
Mohamed Sharaf,M. Sharaf,#00bfff,1
Ian Hayes,I. Hayes,#d3d3d3,1
Mohamed Sharaf,M. Sharaf,#d3d3d3,1
Udantha Abeyratne,U. Abeyratne,#d3d3d3,0
Neil Bergmann,N. Bergmann,#d3d3d3,1
Marius Portmann,M. Portmann,#d3d3d3,1
Paul Pounds,P. Pounds,#d3d3d3,1
Olav Krause,O. Krause,#d3d3d3,0
Marcus Gallagher,M. Gallagher,#d3d3d3,0
Surya Singh,S. Singh,#ffc0cb,1
Paul Pounds,P. Pounds,#ffc0cb,1
Brian Lovell,B. Lovell,#32CD32,0
Jadwiga Indulska,J. Indulska,#d3d3d3,1
Peter Sutton,P. Sutton,#d3d3d3,1
Rahul Sharma,R. Sharma,#d3d3d3,0
Aleksandar Rakic,A. Rakic,#d3d3d3,0
Alexander Pudmenzky,A. Pudmenzky,#d3d3d3,0
Richard Thomas,R. Thomas,#d3d3d3,0
Yufei Tao,Y. Tao,#00bfff,0
