name,abbrv,color,coauthored
Yuho Jin,Y. Jin,#00bfff,0
Jonathan Cook,J. Cook,#d3d3d3,0
Zachary Toups,Z. Toups,#ffc0cb,1
William Yeoh,W. Yeoh,#32CD32,1
Tran Son,T. Son,#32CD32,1
Enrico Pontelli,E. Pontelli,#32CD32,1
Jonathan Cook,J. Cook,#d3d3d3,0
Satyajayant Misra,S. Misra,#00bfff,1
Huiping Cao,H. Cao,#d3d3d3,1
Inna Pivkina,I. Pivkina,#d3d3d3,1
Hing Leung,H. Leung,#d3d3d3,0
Roger Hartley,R. Hartley,#d3d3d3,0
Mai Zheng,M. Zheng,#00bfff,0
Mingzhou Song,M. Song,#ffc0cb,0
