name,color
Robert St. Amant,#ffc0cb
Laurie A. Williams,#00bfff
Christopher G. Healey,#ffc0cb
David L. Roberts,#32CD32
Tim Menzies,#00bfff
Xipeng Shen,#00bfff
Peng Ning,#00bfff
William Enck,#00bfff
Rudra Dutta,#00bfff
Douglas S. Reeves,#00bfff
Xuxian Jiang,#00bfff
Ting Yu,#32CD32
Vincent W. Freeh,#00bfff
Khaled Harfoush,#00bfff
George N. Rouskas,#00bfff
Injong Rhee,#00bfff
Harry G. Perros,#d3d3d3
Robert D. Rodman,#d3d3d3
Matthias F. Stallmann,#d3d3d3
Kristy Elizabeth Boyer,#32CD32
Mladen A. Vouk,#00bfff
James C. Lester,#32CD32
Collin Lynch,#d3d3d3
Chris Parnin,#00bfff
Emerson R. Murphy-Hill,#00bfff
Xiaohui Gu,#00bfff
Xiaosong Ma,#00bfff
Nagiza F. Samatova,#00bfff
Rada Chirkova,#00bfff
Min Chi,#d3d3d3
Munindar P. Singh,#32CD32
Jon Doyle,#32CD32
Sarah Smith Heckman,#00bfff
Carla D. Savage,#d3d3d3
Robert J. Fornaro,#d3d3d3
Michael Rappa,#d3d3d3
Guoliang Jin,#00bfff
David J. Thuente,#d3d3d3
David Sturgill,#d3d3d3
Chris Martens,#d3d3d3
Donald L. Bitzer,#d3d3d3
Tiffany Barnes,#d3d3d3
Frank Mueller,#00bfff
Kemafor Anyanwu-Ogan,#d3d3d3
Edward F. Gehringer,#d3d3d3
