name,abbrv,color,coauthored
Lorie Loeb,L. Loeb,#d3d3d3,1
Xia Zhou,X. Zhou,#00bfff,1
Andrew Campbell,A. Campbell,#00bfff,1
Emily Whiting,E. Whiting,#ffc0cb,1
Hany Farid,H. Farid,#ffc0cb,1
Sergey Bratus,S. Bratus,#d3d3d3,1
Sean Smith,S. Smith,#00bfff,1
David Kotz,D. Kotz,#00bfff,1
Daniel Rockmore,D. Rockmore,#32CD32,1
Michael Casey,M. Casey,#d3d3d3,0
Xing-Dong Yang,X. Yang,#ffc0cb,0
Chris Bailey-Kellogg,C. Bailey-Kellogg,#ffc0cb,1
Gevorg Grigoryan,G. Grigoryan,#d3d3d3,1
Devin Balkcom,D. Balkcom,#ffc0cb,1
Amit Chakrabarti,A. Chakrabarti,#ffff00,1
Lorenzo Torresani,L. Torresani,#32CD32,1
Qiang Liu,Q. Liu,#32CD32,1
Wojciech Jarosz,W. Jarosz,#ffc0cb,0
Peter Winkler,P. Winkler,#ffff00,0
Prasad Jayanti,P. Jayanti,#ffff00,0
Thomas Cormen,T. Cormen,#d3d3d3,0
Robert Drysdale,R. Drysdale,#d3d3d3,0
