name,abbrv,color,coauthored
Laurent Doyen,L. Doyen,#ffff00,1
Nicolas Markey,N. Markey,#ffff00,1
Dietmar Berwanger,D. Berwanger,#d3d3d3,1
Luc Segoufin,L. Segoufin,#ffff00,1
Serge Abiteboul,S. Abiteboul,#00bfff,1
Patricia Bouyer,P. Bouyer,#ffff00,1
Philippe Schnoebelen,P. Schnoebelen,#ffff00,1
Laurent Fribourg,L. Fribourg,#d3d3d3,1
Michel Bidoit,M. Bidoit,#d3d3d3,0
Serge Haddad,S. Haddad,#ffff00,1
Sylvain Schmitz,S. Schmitz,#ffff00,1
Stéphane Demri,S. Demri,#ffff00,1
Claudine Picaronny,C. Picaronny,#d3d3d3,1
David Baelde,D. Baelde,#ffff00,1
Stéphanie Delaune,S. Delaune,#00bfff,1
Stefan Schwoon,S. Schwoon,#d3d3d3,1
Stefan Haar,S. Haar,#d3d3d3,1
Thomas Chatain,T. Chatain,#d3d3d3,1
Étienne Lozes,É. Lozes,#00bfff,1
Alain Finkel,A. Finkel,#ffff00,1
Gilles Dowek,G. Dowek,#d3d3d3,0
Paul Gastin,P. Gastin,#ffff00,1
Benedikt Bollig,B. Bollig,#ffff00,1
Hubert Comon-Lundh,H. Comon-Lundh,#00bfff,1
Jean Goubault-Larrecq,J. Goubault-Larrecq,#ffff00,1
Stefan Göller,S. Göller,#ffff00,1
Frédéric Blanqui,F. Blanqui,#d3d3d3,0
