name,affiliation,homepage,scholarid
Aarne Ranta,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/aarne-ranta.aspx,NOSCHOLARPAGE
Aaron Bernstein,Rutgers University,http://bernsteinaaron.com,N94spO0AAAAJ
Aaron Bobick,Washington University in St. Louis,https://www.cc.gatech.edu/~afb,rynvwScAAAAJ
Aaron C. Courville,University of Montreal,https://aaroncourville.wordpress.com,km6CP8cAAAAJ
Aaron Clauset,University of Colorado Boulder,https://www.colorado.edu/faculty/clauset,e7VI_HcAAAAJ
Aaron D. Striegel,University of Notre Dame,https://engineering.nd.edu/profiles/astriegel,w88NouMAAAAJ
Aaron F. Bobick,Washington University in St. Louis,https://www.cc.gatech.edu/~afb,rynvwScAAAAJ
Aaron Harwood,University of Melbourne,http://people.eng.unimelb.edu.au/aharwood,3jf-G0YAAAAJ
Aaron Henry Potechin,University of Chicago,http://www.potechin.org/aaronpotechin,z28rttMAAAAJ
Aaron J. Elmore,University of Chicago,http://people.cs.uchicago.edu/~aelmore,NOSCHOLARPAGE
Aaron J. Quigley,UNSW,https://aquigley.host.cs.st-andrews.ac.uk,LujyjYoAAAAJ
Aaron Leon Roth,University of Pennsylvania,http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ
Aaron M. Dollar,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/aaron-m-dollar,jFekO3IAAAAJ
Aaron McFadyen,Queensland University of Technology,https://research.qut.edu.au/qcr/people/aaron-mcfadyen,vXjZnIkAAAAJ
Aaron Potechin,University of Chicago,http://www.potechin.org/aaronpotechin,z28rttMAAAAJ
Aaron Quigley,UNSW,https://aquigley.host.cs.st-andrews.ac.uk,LujyjYoAAAAJ
Aaron Roth 0001,University of Pennsylvania,http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ
Aaron Schulman,Univ. of California - San Diego,http://cseweb.ucsd.edu/~schulman,OP27m34AAAAJ
Aaron Sidford,Stanford University,http://www.aaronsidford.com,SWqd2rgAAAAJ
Aaron Steven White,University of Rochester,http://aaronstevenwhite.io,R-ZVWNEAAAAJ
Aaron Striegel,University of Notre Dame,https://engineering.nd.edu/profiles/astriegel,w88NouMAAAAJ
Aaron Stump,University of Iowa,https://www.cs.uiowa.edu/~astump,568MtVQAAAAJ
Aaron Visaggio,University of Sannio,https://www.unisannio.it/it/users/corrado-aaron-visaggio,bNMLhsIAAAAJ
Aart Middeldorp,University of Innsbruck,http://cl-informatik.uibk.ac.at/users/ami,R9MO_3AAAAAJ
Aarti Gupta,Princeton University,https://www.cs.princeton.edu/people/profile/aartig,S_jYB2sAAAAJ
Aarti Singh,Carnegie Mellon University,http://www.cs.cmu.edu/~aarti,6jP3ZSEAAAAJ
Aasa Feragen,DTU,http://www2.compute.dtu.dk/~afhar,MNDVpoUAAAAJ
Aasheesh Kolli,Pennsylvania State University,https://aasheeshkolli.com,UcfzOQYAAAAJ
Aastha Mehta,University of British Columbia,https://aasthakm.github.io,l1jObzoAAAAJ
Abbas Edalat,Imperial College London,https://www.doc.ic.ac.uk/~ae,KP1AXgwAAAAJ
Abbas Heydarnoori,Sharif University of Technology,http://sharif.edu/~heydarnoori,s5vgK3kAAAAJ
Abbe Mowshowitz,CUNY,https://www.ccny.cuny.edu/profiles/abbe-mowshowitz,KwmExSIAAAAJ
Abbes Amira,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abbes.php,yp_wQZMAAAAJ
Abdallah Saffidine,UNSW,http://www.cse.unsw.edu.au/~abdallahs,yWzT7LAAAAAJ
Abdel Latif Abu Dalhoum,University of Jordan,http://eacademic.ju.edu.jo/a.latif,zXiv9G8AAAAJ
AbdelRahman Abdou,Carleton University,http://people.scs.carleton.ca/~abdou,qEl1DpQAAAAJ
Abdelaziz Bouras,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdelaziz_bouras.php,QKaJ_JgAAAAJ
Abdelfattah Amamra,University of Connecticut,http://www.cse.uconn.edu/people/faculty,cXl_OFIAAAAJ
Abdelhakim Hafid,University of Montreal,http://www.iro.umontreal.ca/~ahafid,NOSCHOLARPAGE
Abdelhakim Senhaji Hafid,University of Montreal,http://www.iro.umontreal.ca/~ahafid,NOSCHOLARPAGE
Abdelkarim Erradi,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/erradi.php,2VhGiuAAAAAJ
Abdelmounaam Rezgui,New Mexico Tech,http://nmt.edu/academics/compsci/faculty/arezgui.php,QUuC8lAAAAAJ
Abdelsalam Helal,University of Florida,http://www.cise.ufl.edu/~helal,NOSCHOLARPAGE
Abdeslam Boularias,Rutgers University,http://www.abdeslam.net,8AF3RCsAAAAJ
Abdol-Hossein Esfahanian,Michigan State University,http://www.cse.msu.edu/~esfahani,NOSCHOLARPAGE
Abdolreza Abhari,Ryerson University,https://www.scs.ryerson.ca/~aabhari,V8hkFhcAAAAJ
Abdou S. Youssef,George Washington University,https://www.seas.gwu.edu/~ayoussef,NOSCHOLARPAGE
Abdou Youssef,George Washington University,https://www.seas.gwu.edu/~ayoussef,NOSCHOLARPAGE
Abdul Mohsen Almalawi,King Abdulaziz University,http://balmalowy.kau.edu.sa/CVEn.aspx?Site_ID=0008859&Lng=EN,XxBxuykAAAAJ
Abdul Serwadda,Texas Tech University,http://www.depts.ttu.edu/CS/faculty/faculty.php?name=Abdul%20Serwadda,0YfFzzUAAAAJ
Abdulaziz Ali,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdulla_alali.php,S42RixYAAAAJ
Abdulhakim Qahtan,Utrecht University,https://www.uu.nl/staff/AAAQahtan,8eKzXa8AAAAJ
Abdulla K. Al-Ali,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdulla_alali.php,s1LawbAAAAAJ
Abdullah Algarni,King Abdulaziz University,https://www.facebook.com/public/Abdullah-Algarni/school/King-Abdulaziz-University-103095679730320,fQldSpoAAAAJ
Abdullah Basuhail,King Abdulaziz University,http://abasuhail.kau.edu.sa/Default.aspx?Site_ID=0012375&lng=EN,NOSCHOLARPAGE
Abdullah Ercument Cicek,Bilkent University,http://ciceklab.cs.bilkent.edu.tr/ercumentcicek,n25sJzkAAAAJ
Abdullah Mueen,University of New Mexico,http://www.cs.unm.edu/~mueen,OImDWloAAAAJ
Abdullah Muzahid,Texas A&M University,http://people.tamu.edu/~abdullah.muzahid/index.html,hN7mpGMAAAAJ
Abdullah Uz Tansel,CUNY,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/Abdullah-Uz-Tansel,emeq3i8AAAAJ
Abdulmohsen Almalawi,King Abdulaziz University,http://balmalowy.kau.edu.sa/CVEn.aspx?Site_ID=0008859&Lng=EN,XxBxuykAAAAJ
Abdulmotaleb El-Saddik,MBZUAI,http://www.site.uottawa.ca/~elsaddik,VcOjgngAAAAJ
Abe Davis,Cornell University,http://abedavis.com,Gp8ghkAAAAJ
Abedelaziz Mohaisen,University of Central Florida,http://cs.ucf.edu/~mohaisen,q387AywAAAAJ
Abhi Shelat,Northeastern University,https://shelat.khoury.neu.edu,Te94nKAAAAAJ
Abhijeet Ghosh,Imperial College London,http://www.doc.ic.ac.uk/~ghosh,EG_UZvwAAAAJ
Abhijit Das 0004,IIT Kharagpur,http://cse.iitkgp.ac.in/~abhij,vpWPul0AAAAJ
Abhijit Mahalanobis,University of Central Florida,https://www.crcv.ucf.edu/person/abhijit-mahalanobis,L9Y5FbwAAAAJ
Abhijit S. Pandya,Florida Atlantic University,http://pire.fiu.edu/faculty/Dr_Pandya.php,NOSCHOLARPAGE
Abhik Roychoudhury,National University of Singapore,https://www.comp.nus.edu.sg/~abhik,UxFWSJIAAAAJ
Abhilash Jindal,IIT Delhi,http://abhilash-jindal.com,_af8suQAAAAJ
Abhinav Bhatele,University of Maryland - College Park,http://www.cs.umd.edu/~bhatele,3x65qtwAAAAJ
Abhinav Dhall,IIT Ropar,http://www.iitrpr.ac.in/cse/abhinavdhall,ypusncAAAAAJ
Abhinav Gupta 0001,Carnegie Mellon University,http://www.cs.cmu.edu/~abhinavg,NOSCHOLARPAGE
Abhinav Kumar Singh,University of Southampton,https://www.ecs.soton.ac.uk/people/aks1a19,tkp3t2gAAAAJ
Abhinav Shrivastava,University of Maryland - College Park,http://abhinavsh.info,mIF9BowAAAAJ
Abhir Bhalerao,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,XfBoSP4AAAAJ
Abhir H. Bhalerao,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,XfBoSP4AAAAJ
Abhiram G. Ranade,IIT Bombay,https://www.cse.iitb.ac.in/~ranade,lb5ffQ8AAAAJ
Abhiram Ranade,IIT Bombay,https://www.cse.iitb.ac.in/~ranade,lb5ffQ8AAAAJ
Abhishek Bhattacharjee,Yale University,https://cpsc.yale.edu/people/abhishek-bhattacharjee,AopgnHAAAAAJ
Abhishek Bichhawat,IIT Gandhinagar,https://iitgn.ac.in/faculty/cse/abhishek,qJavKW4AAAAJ
Abhishek Chandra,University of Minnesota,http://www-users.cs.umn.edu/~chandra,hSklLfsAAAAJ
Abhishek Dubey,Vanderbilt University,https://engineering.vanderbilt.edu/bio/abhishek-dubey,5J3w9OoAAAAJ
Abhishek Jain 0002,Johns Hopkins University,https://www.cs.jhu.edu/faculty/abhishek-jain,xjkmJsgAAAAJ
Abhishek Kr Singh,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/abhishekks/profile,ps296UkAAAAJ
