name,affiliation,homepage,scholarid,orcid
Xian-He Sun,Illinois Institute of Technology,https://science.iit.edu/people/faculty/xian-he-sun,9h3JX7MAAAAJ,0000-0002-1093-0792
XianPing Tao,Nanjing University,http://ics.nju.edu.cn/people/xianpingtao,F3mGYVoAAAAJ,0000-0000-0000-0000
Xianfang Sun,Cardiff University,https://www.cardiff.ac.uk/people/view/118165-sun-xianfang,VwEdUpIAAAAJ,0000-0002-6114-0766
Xianfeng David Gu,Stony Brook University,http://www3.cs.stonybrook.edu/~gu,Y063_CIAAAAJ,0000-0001-8226-5851
Xianfeng Gu,Stony Brook University,http://www3.cs.stonybrook.edu/~gu,Y063_CIAAAAJ,0000-0001-8226-5851
Xiang 'Anthony' Chen,Univ. of California - Los Angeles,https://hci.prof,I2W13z0AAAAJ,0000-0002-8527-1744
Xiang Anthony Chen,Univ. of California - Los Angeles,https://hci.prof,I2W13z0AAAAJ,0000-0002-8527-1744
Xiang Ao 0001,Chinese Academy of Sciences,https://aoxaustin.github.io,W8wrWfMAAAAJ,0000-0001-9633-8361
Xiang Chen 0001,Zhejiang University,http://flyingxiang.net,I6P3k0AAAAAJ,0000-0002-6955-8729
Xiang Chen 0010,George Mason University,https://computing.sitemasonry.gmu.edu/profiles/xchen26,QEdR90AAAAAJ,0000-0003-2790-976X
Xiang Cheng 0003,BUPT,https://int.bupt.edu.cn/content/content.php?p=6_16_108,H39lTV8AAAAJ,0000-0001-6556-2264
Xiang Gao 0012,Beihang University,https://gaoxiang9430.github.io,nML3tzkAAAAJ,0000-0001-9895-4600
Xiang Gui,Massey University,http://www.massey.ac.nz/massey/expertise/profile.cfm?stref=602830,x1ngDN4AAAAJ,0000-0000-0000-0000
Xiang Li 0041,Nankai University,https://cc.nankai.edu.cn/2021/0323/c13620a549981/page.htm,oamjJdYAAAAJ,0000-0002-4996-7365
Xiang Lian 0001,Kent State University,https://www.kent.edu/cs/xiang-lian,xvrh8YMAAAAJ,0000-0001-7681-3807
Xiang Ling 0001,Chinese Academy of Sciences,https://ryderling.github.io,5gaFkzAAAAAJ,0000-0000-0000-0000
Xiang Long,Beihang University,http://scse.buaa.edu.cn/info/1078/2641.htm,NOSCHOLARPAGE,0000-0002-0589-8839
Xiang Ren 0001,University of Southern California,https://shanzhenren.github.io,_moJlrIAAAAJ,0000-0001-8655-663X
Xiang Ren 0003,Northeastern University,https://jrenx.github.io,sHxywSkAAAAJ,0000-0000-0000-0000
Xiang Wang 0010,USTC,https://xiangwang1223.github.io,HdhaQB0AAAAJ,0000-0002-6148-6329
Xiang Zhang 0001,Pennsylvania State University,https://faculty.ist.psu.edu/xzz89,NOSCHOLARPAGE,0000-0003-0940-6595
Xiang Zhang 0012,UNC - Charlotte,https://xiangzhang.info/index.html,0hCzMi4AAAAJ,0000-0001-5097-2113
Xiang Zhi Tan,Northeastern University,https://zhi.fyi,vReuqbIAAAAJ,0000-0002-6455-4972
Xiang-Dong Tan,Univ. of California - Riverside,http://www.ee.ucr.edu/~stan,ugsbzTsAAAAJ,0000-0000-0000-0000
Xiang-Dong Zhou,Fudan University,http://homepage.fudan.edu.cn/xdzhou,QUrLihYAAAAJ,0000-0000-0000-0000
Xiang-Yang Li 0001,USTC,http://staff.ustc.edu.cn/~xiangyangli,JURtNb0AAAAJ,0000-0002-6070-6625
Xiangdong Li,CUNY,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/Xiangdong-Li,hK4H4z4AAAAJ,0000-0001-7778-6230
Xiangdong Zhou,Fudan University,http://homepage.fudan.edu.cn/xdzhou,QUrLihYAAAAJ,0000-0002-5538-7367
Xianghai Cao,Xidian University,https://web.xidian.edu.cn/caoxh/index.html,q4GKoagAAAAJ,0000-0000-0000-0000
Xianghong Jasmine Zhou,University of Southern California,http://zhoulab.usc.edu,NOSCHOLARPAGE,0000-0000-0000-0000
Xianghua Ding,Fudan University,http://www.xianghuading.com,B9M48i8AAAAJ,0000-0001-8122-6252
Xianghua Ying,Peking University,http://www.cis.pku.edu.cn/vision/Visual&Robot/people/ying/index.htm,27o9L1wAAAAJ,0000-0000-0000-0000
Xiangjie Sui,City University of Macau,https://fds.cityu.edu.mo/en/members/390,IAnTG2cAAAAJ,0009-0008-7604-3281
Xiangliang Zhang 0001,University of Notre Dame,https://engineering.nd.edu/faculty/xiangliang-zhang,BhRJe4wAAAAJ,0000-0002-3574-5665
Xianglong Liu 0001,Beihang University,http://www.nlsde.buaa.edu.cn/~xlliu,8VY7ZDcAAAAJ,0000-0002-7618-3275
Xianglong Tang,Harbin Institute of Technology,http://homepage.hit.edu.cn/tangxianglong,NOSCHOLARPAGE,0000-0000-0000-0000
Xiangmin Fan,Chinese Academy of Sciences,http://lcs.ios.ac.cn/~xiangmin,ztiVSpcAAAAJ,0000-0003-4223-2320
Xiangmin Jiao,Stony Brook University,http://www.ams.sunysb.edu/~jiao,BuNo3NMAAAAJ,0000-0002-7111-9813
Xiangmin Zhou,RMIT University,https://www.rmit.edu.au/contact/staff-contacts/academic-staff/z/zhou-dr-xiangmin,tZ4NyYAAAAAJ,0000-0002-1302-818X
Xiangnan He 0001,USTC,http://staff.ustc.edu.cn/~hexn,X45Go24AAAAJ,0000-0001-8472-7992
Xiangnan Kong,Worcester Polytechnic Institute,https://www.wpi.edu/people/faculty/xkong,Lh7VfoMAAAAJ,0000-0002-7403-5869
Xiangping Chen,Sun Yat-sen University,https://sjc.sysu.edu.cn/teacher/1016,fv6VxXgAAAAJ,0000-0001-8234-3186
Xiangqian Wu 0002,Harbin Institute of Technology,http://homepage.hit.edu.cn/wuxiangqian,NOSCHOLARPAGE,0000-0000-0000-0000
Xiangqun Chen,Peking University,http://www.sei.pku.edu.cn/people/cherry,NOSCHOLARPAGE,0000-0002-7366-5906
Xiangxiang Wang,UESTC,https://sise.uestc.edu.cn/info/1037/11486.htm,NOSCHOLARPAGE,0000-0000-0000-0000
Xiangxiang Zeng,Hunan University,https://xzenglab.github.io/xzeng,B20HBMIAAAAJ,0000-0003-1081-7658
Xiangyang Jia,Wuhan University,http://cs.whu.edu.cn/teacherinfo.aspx?id=201,NOSCHOLARPAGE,0000-0000-0000-0000
Xiangyang Li 0001,USTC,http://staff.ustc.edu.cn/~xiangyangli,JURtNb0AAAAJ,0000-0002-6070-6625
Xiangyang Xue 0001,Fudan University,http://homepage.fudan.edu.cn/xyxue/zh,DTbhX6oAAAAJ,0000-0002-4897-9209
Xiangyao Yu,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~yxy,FkcaTZYAAAAJ,0009-0001-0785-2519
Xiangyu Duan,Soochow University,https://xyda.github.io,NOSCHOLARPAGE,0009-0005-8563-2772
Xiangyu Xu 0002,Xi'an Jiaotong University,https://xuxy09.github.io,Ec5Biz4AAAAJ,0000-0002-9305-5830
Xiangyu Yue 0001,Chinese University of Hong Kong,https://xyue.io,-xQ-C1sAAAAJ,0000-0002-6887-2046
Xiangyu Zhang 0001,Purdue University,https://www.cs.purdue.edu/homes/xyzhang,PXbu1wIAAAAJ,0000-0002-9544-2500
Xiangyu Zou,Harbin Institute of Technology,https://homepage.hit.edu.cn/zouxiangyu?lang=en,nF6Que0AAAAJ,0000-0001-5104-8301
Xianhua Liu 0001,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6019,NOSCHOLARPAGE,0000-0003-4777-3847
Xianming Liu,Harbin Institute of Technology,http://homepage.hit.edu.cn/xmliu,697UEEIAAAAJ,0000-0000-0000-0000
Xianpei Han,Chinese Academy of Sciences,http://www.icip.org.cn/team/hanxianpei,pA88bm4AAAAJ,0000-0000-0000-0000
Xianping Tao,Nanjing University,http://ics.nju.edu.cn/people/xianpingtao,F3mGYVoAAAAJ,0000-0000-0000-0000
Xianwei Zhang 0001,Sun Yat-sen University,https://xianweiz.github.io,k9_kXbQAAAAJ,0000-0003-3507-4299
Xianxu Hou,Shenzhen University,https://houxianxu.github.io/about,oK8Q-HwAAAAJ,0000-0000-0000-0000
Xianzhang Chen,Chongqing University,http://www.cs.cqu.edu.cn/info/1323/7226.htm,lM-VD3QAAAAJ,0000-0001-8821-7690
Xiao Bai 0001,Beihang University,http://scse.buaa.edu.cn/info/1014/2952.htm,NOSCHOLARPAGE,0000-0000-0000-0000
Xiao Bo,BUPT,http://www.pris.ink/index.php/abuot,NOSCHOLARPAGE,0000-0000-0000-0000
Xiao Chen 0001,Texas State University,http://www.cs.txstate.edu/~xc10,akJJCpEAAAAJ,0000-0000-0000-0000
Xiao Ding,Harbin Institute of Technology,http://ir.hit.edu.cn/~xding,Mi9XXuAAAAAJ,0000-0002-0863-242X
Xiao Fu 0001,Oregon State University,http://people.oregonstate.edu/~fuxia,pDnpH1MAAAAJ,0000-0000-0000-0000
Xiao Hu 0005,University of Waterloo,https://cs.uwaterloo.ca/~xiaohu,rTXGtQ8AAAAJ,0000-0002-7890-665X
Xiao Huang 0001,The Hong Kong Polytechnic Univ.,https://www4.comp.polyu.edu.hk/~xiaohuang,Be21PkYAAAAJ,0000-0002-3867-900X
Xiao Jun Chen,University of Windsor,http://www.uwindsor.ca/science/computerscience/1058/dr-jessica-chen,NOSCHOLARPAGE,0000-0000-0000-0000
Xiao Liang 0014,Chinese University of Hong Kong,https://xiao-liang.com,pUCv_e4AAAAJ,0000-0003-0858-9289
Xiao Qin 0001,Auburn University,http://www.eng.auburn.edu/~xqin,877mtdkAAAAJ,0000-0002-8345-3587
Xiao Shaun Wang,Northwestern University,https://wangxiao1254.github.io,QbWLR8QAAAAJ,0000-0002-5991-7417
Xiao Shou,Baylor University,https://shou-xiao.github.io,Wk0z_ysAAAAJ,0000-0000-0000-0000
Xiao Wang 0012,Northwestern University,https://wangxiao1254.github.io,QbWLR8QAAAAJ,0000-0002-5991-7417
Xiao Wang 0017,BUPT,https://wangxiaocs.github.io,MnzarAQAAAAJ,0000-0002-4444-7811
Xiao Wang 0036,SUFE,https://xiiaowang.github.io,kAxcppcAAAAJ,0000-0000-0000-0000
Xiao Yu 0008,Zhejiang University,https://xiaoyu-cs.github.io,sMOc8IcAAAAJ,0000-0002-4473-3068
Xiao Yuan 0002,Peking University,http://cfcs.pku.edu.cn/english/people/faculty/xiaoyuan/index.htm,eUDwq-wAAAAJ,0000-0000-0000-0000
Xiao Zhang 0001,Renmin University of China,http://info.ruc.edu.cn/academic_professor.php?teacher_id=36,NOSCHOLARPAGE,0000-0000-0000-0000
Xiao Zhang 0016,CISPA Helmholtz Center,https://xiao-zhang.net,L-lz7CUAAAAJ,0009-0008-1837-7670
Xiao Zhang 0034,Renmin University of China,https://pinkfloyd1989.github.io/ZHANG-Xiao,5FZ6wbAAAAAJ,0000-0001-7397-5632
Xiao Zhang 0037,University of Michigan-Dearborn,https://www.zhangxiao.me,TIFjEXIAAAAJ,0000-0002-7392-3477
Xiao-Chuan Cai,University of Colorado Boulder,https://www.cs.colorado.edu/~cai,NOSCHOLARPAGE,0000-0000-0000-0000
Xiao-Chun Cheng,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/cheng-xiaochun,NOSCHOLARPAGE,0000-0000-0000-0000
Xiao-Feng Meng 0001,Renmin University of China,http://idke.ruc.edu.cn/xfmeng/index.html,PTwcvk4AAAAJ,0000-0000-0000-0000
Xiao-Gang Wang 0001,Chinese University of Hong Kong,http://www.ee.cuhk.edu.hk/~xgwang,B5JgjsAAAAJ,0000-0000-0000-0000
Xiao-Li Li 0001,Nanyang Technological University,http://www1.i2r.a-star.edu.sg/~xlli,NOSCHOLARPAGE,0000-0002-0762-6562
Xiao-Min Sun,Tsinghua University,http://www.carch.ac.cn/~xmsun/xmsun.htm,_G0EETMAAAAJ,0000-0000-0000-0000
Xiao-Ming Wu 0003,The Hong Kong Polytechnic Univ.,https://www4.comp.polyu.edu.hk/~csxmwu,3KbaUFkAAAAJ,0000-0002-3130-0554
Xiao-Ming Zhang,Beihang University,http://scse.buaa.edu.cn/info/1038/3052.htm,NOSCHOLARPAGE,0000-0000-0000-0000
Xiao-Tong Yuan,Nanjing University,https://sites.google.com/site/xtyuan1980,yzU6g24AAAAJ,0000-0000-0000-0000
Xiao-Wen Chang,McGill University,http://cs.mcgill.ca/~chang,NOSCHOLARPAGE,0000-0000-0000-0000
Xiao-Yuan Jing,Wuhan University,http://mla.whu.edu.cn,NOSCHOLARPAGE,0000-0000-0000-0000
Xiao-jun Ye 0001,Tsinghua University,http://www.thss.tsinghua.edu.cn/publish/soften/3131/2010/20101219111626359565665/20101219111626359565665_.html,NOSCHOLARPAGE,0000-0000-0000-0000
Xiaobai Sun,Duke University,https://scholars.duke.edu/person/xiaobai.sun,NOSCHOLARPAGE,0000-0000-0000-0000
Xiaobing Feng 0002,Chinese Academy of Sciences,http://people.ucas.ac.cn/~fengxiaobing,XAJAiZEAAAAJ,0000-0003-2909-7750
Xiaobing Sun 0001,Yangzhou University,https://risame.github.io/sun,8yYA6FEAAAAJ,0000-0001-5165-5080
Xiaobo Hu,University of Notre Dame,http://www3.nd.edu/~shu,NOSCHOLARPAGE,0000-0000-0000-0000
Xiaobo Hu 0001,University of Notre Dame,http://www3.nd.edu/~shu,NOSCHOLARPAGE,0000-0002-6636-9738
Xiaobo Sharon Hu,University of Notre Dame,http://www3.nd.edu/~shu,NOSCHOLARPAGE,0000-0002-6636-9738
