name,scholarid
Martin Rinard,hxlxVEUAAAAJ
Jiannan Wang,fKV65XQAAAAJ
Jonathan Berant,xCYHonIAAAAJ
Thomas R. Gross,YcxiFvMAAAAJ
Shoji Takeuchi,DqVCX9AAAAAJ
Feng Luo,joROlFwAAAAJ
Abdeslam Boularias,8AF3RCsAAAAJ
Dylan Shell,Qt-JcygAAAAJ
Qi Wei,6otVU08AAAAJ
Haim Kaplan,0hb9cdIAAAAJ
Kyunghyuns Cho,0RAmmIAAAAAJ
Tingting Yu,vcg-v-IAAAAJ
Hanghang Tong,RaINcuUAAAAJ
Andrew Meneely,LFxEgGoAAAAJ
Devavrat Shah,3qPiYJoAAAAJ
Edouard Bugnion,8ztj2yEAAAAJ
Yuan Qi,5GS24_oAAAAJ
Jay Aslam,-spRnaQAAAAJ
Amir Rahmati,_Y_YRLAAAAAJ
Rahul C. Basole,MKSxZp4AAAAJ
Raju S. Bapi,bbSYyiAAAAAJ
Chita R. Das,2kXsgI4AAAAJ
Shankar Kalyanasundaram,6RbnrdYAAAAJ
Yuping Wang,AdCVXc8AAAAJ
Nadine Akkari,GOL8WHoAAAAJ
Anne Roudaut,03epP5wAAAAJ
Alexander Aiken,3vKjkoQAAAAJ
Vyas Sekar,5V852JcAAAAJ
Gholamreza Anbarjafari,6gN67JAAAAAJ
Tijs van der Storm,yJ5PAekAAAAJ
Neil Bruce,UA7xfZIAAAAJ
Wojciech Rytter,hFJHqF4AAAAJ
Moshe Y. Vardi,DQaARsgAAAAJ
James Cremer,At2chacAAAAJ
Bharat Adsul,bZhCDxIAAAAJ
Martin Fürer,Pf49QrwAAAAJ
Mansour Jamzad,oKz2WAkAAAAJ
Eva Darulova,GrC1RcEAAAAJ
Rajat Mittal,gK5DF9QAAAAJ
Éva Tardos,h6jljQQAAAAJ
Paolo Ienne,oB0wsDcAAAAJ
Panagiotis Stamatopoulos,SZ4kZr0AAAAJ
Mikolás Janota,SFg4raQAAAAJ
Jinlei Jiang,Wx-JtQcAAAAJ
Hailong Yao,n0NwuegAAAAJ
Simon Lacoste-Julien,oejm5IUAAAAJ
Andrea Tagliasacchi,1RmD-YsAAAAJ
Qiaozhu Mei,zr22WkQAAAAJ
Michael D. Jones,OLUt0kgAAAAJ
Stephen Viller,spHMPHgAAAAJ
Bryan Parno,kTTBpJkAAAAJ
Emo Todorov,QCBdB7AAAAAJ
Basura Fernando,GyvseMkAAAAJ
Armin Haller,BehUprAAAAAJ
E. C. Xavier,Feq1wmgAAAAJ
Srini Srinivasan,EaKGGhsAAAAJ
R. Michael Young,HLz6zx4AAAAJ
Shanton Chang,saxbu9cAAAAJ
P. Sateesh Kumar,jc0x_v8AAAAJ
Sudipto Ghosh,I5zd7t0AAAAJ
Hui Wu,61DNIX0AAAAJ
Nicolai Vorobjov,xydcz6MAAAAJ
Sanjay Ranka,j7WSgbwAAAAJ
Joanna McGrenere,ZRWlokAAAAAJ
Peter King,jENQurUAAAAJ
Gudmund Skovbjerg Frandsen,bHvSLToAAAAJ
Walter Binder,g0nBOnMAAAAJ
Donald E. Porter,jVOPqi0AAAAJ
Emilie Morvant,4dzYdBsAAAAJ
David Wishart,-JSn-WgAAAAJ
Michael M. Kazhdan,soUq_eQAAAAJ
Hong An,tEcLDxAAAAAJ
Pradip K. Das,zNNnCEUAAAAJ
Jie Wei,VOuKF7sAAAAJ
Dan Witzner Hansen,B8A43fgAAAAJ
Anne Benoit,GKgs3tgAAAAJ
Leilah Lyons,GRlw3rcAAAAJ
Naoki Yoshinaga,exgkDkcAAAAJ
Chao Tian,NEbjixgAAAAJ
Raghav Sampangi,x_Cy69EAAAAJ
Neil W. Bergmann,M7kg0MQAAAAJ
Victor Pan,9-i5_74AAAAJ
Alessandro Salandrino,ZX0I5pcAAAAJ
Dmitry Goldgof,yQS_n0gAAAAJ
Matthew Walter,h5LAOvEAAAAJ
Beatriz Otero,DYV7AzEAAAAJ
Nitin Auluck,pFiwhAIAAAAJ
Morteza Amini,Rsmx5DYAAAAJ
Christopher Batten,sHu62agAAAAJ
Luay Nakhleh,46HLWf8AAAAJ
Joydeep Biswas,f28F1YUAAAAJ
Emanuele Della Valle,56lK2dUAAAAJ
Lars Ruthotto,EaBF6r0AAAAJ
Dmitry Ponomarev,zr9OzAUAAAAJ
Morris Sloman,ey299DUAAAAJ
Yuan Luo,-ywCC5AAAAAJ
Pawan Goyal,F14FHsIAAAAJ
Hridesh Rajan,aiFvpucAAAAJ
Huan Liu,Dzf46C8AAAAJ
Nancy A. Day,5iYmSzcAAAAJ
Eelke Folmer,1QermAgAAAAJ
Bernard Fortz,YaOdoooAAAAJ
Sanjay Chawla,fdUJcwYAAAAJ
Henry Fuchs,guhwcP8AAAAJ
Jian Wu,s9EEgbUAAAAJ
Emma Frejinger,PBOoXfwAAAAJ
Donald Sheehy,A5D1DF4AAAAJ
Heng Ji,z7GCqT4AAAAJ
Vivek Subramanian,j-KcbbAAAAAJ
Naoki Kobayashi,bhZQ7FEAAAAJ
ThanhVu Nguyen,TLcVQ-MAAAAJ
Pallab Dasgupta,Pw4jS9sAAAAJ
Arjun Mukherjee,wUNpA_sAAAAJ
Perdita Stevens,KdBhbbYAAAAJ
Petri Vuorimaa,Bcg93pAAAAAJ
Peter C. Rigby,lGVxz58AAAAJ
Marc Niethammer,KqtBi6MAAAAJ
Hongzi Zhu,HkaEi3MAAAAJ
Jose T. de Sousa,ai6ekBAAAAAJ
Noa Agmon,arDFD58AAAAJ
Ying Cai,N3Jc1zMAAAAJ
Rida A. Bazzi,FrMOlk8AAAAJ
Michael Franz,k93O1BQAAAAJ
Bernd Bruegge,io5O8OUAAAAJ
François Jacquenet,HPhooYQAAAAJ
Jens Krinke,y8MpLZwAAAAJ
Owen Gottlieb,y3AFsFYAAAAJ
Saul Kripke,MRCc_ugAAAAJ
Majid Sarrafzadeh,LYt_4uIAAAAJ
Yusu Wang,L7jhqMIAAAAJ
Zhiqiang Liu,HewFucwAAAAJ
Aggelos Kiayias,P_L_vZAAAAAJ
Tajana Simunic,CeieiIgAAAAJ
Calton Pu,Vbv-JEwAAAAJ
Huy L. Nguyen,MDCu0WEAAAAJ
Byrav Ramamurthy,Moj2TLMAAAAJ
Kai Sun,O_2drywAAAAJ
Raj Jain,runT3RsAAAAJ
Magy Seif El-Nasr,SwzKJ0kAAAAJ
Pushpendra Singh,qkSEUCMAAAAJ
James Bret Michael,JYxa6eYAAAAJ
Jan Otop,EueQHIgAAAAJ
Catholijn Jonker,khyi_HIAAAAJ
John Lillis,3oyf5I4AAAAJ
Neeraj Mittal,V9MH9v8AAAAJ
Yossi Azar,ShzSUnwAAAAJ
Wei Le,QjFu7LEAAAAJ
Kaushal K. Shukla,2kCEA2kAAAAJ
Otmar Hilliges,-epU9OsAAAAJ
John C. Mitchell,1_kJPIEAAAAJ
Eva M. Navarro-Lopez,1IDSDUwAAAAJ
Xike Xie,_7me62sAAAAJ
Jeffrey Huang,MxkKh0cAAAAJ
Odelia Schwartz,3prQpXgAAAAJ
Wenyao Xu,dvvN6qsAAAAJ
Mitchell Marcus,niE2OkIAAAAJ
Charalambos Poullis,IhcdDa8AAAAJ
Michael J. Lewis,TbNp9c4AAAAJ
Chris Gniady,iGccVmEAAAAJ
Adnan Darwiche,pygPWvEAAAAJ
Yvonne Rogers,qzcYcEAAAAAJ
Arpita Patra,RG6kKh8AAAAJ
Andrea Bonarini,WgxMfwMAAAAJ
Osman Balci,9oGtCHQAAAAJ
Davide Martinenghi,E0QQoIMAAAAJ
Patrick Crowley,n6wC7nwAAAAJ
Daniel Abadi,zxeEF2gAAAAJ
Eleni Stroulia,TyM1dLwAAAAJ
Luo Si,eGjACTQAAAAJ
Torsten Braun,eL8OzgIAAAAJ
Zhong Shao,9OukeycAAAAJ
Jon Sporring,COP1HUwAAAAJ
Steven Feiner,PogsVkYAAAAJ
Apu Kapadia,r42-hFIAAAAJ
Francois Berenger,YnLcI2gAAAAJ
Fiacre Rougieux,PiMu2wkAAAAJ
Tony Quek,0o1tkokAAAAJ
Qing Wang,_Wic_cIAAAAJ
Björn Hof,tytU38QAAAAJ
Srinivasan Parthasarathy,2mjUsP8AAAAJ
Sriram Kailasam,xLWew1gAAAAJ
Paulo Alexandre Crisóstomo Lopes,mAUdr6cAAAAJ
