name,affiliation,homepage,scholarid
Pierre Flener,Uppsala University,http://user.it.uu.se/~pierref,5PG6ZdwAAAAJ
Pierre Ganty,IMDEA Software Institute,http://software.imdea.org/people/pierre.ganty,j8fTqW0AAAAJ
Pierre Kelsen,University of Luxembourg,http://wwwen.uni.lu/snt/people/pierre_kelsen,WpY_eHMAAAAJ
Pierre L'Ecuyer,University of Montreal,http://www.iro.umontreal.ca/~lecuyer,gDxovowAAAAJ
Pierre Laperdrix,CRIStAL,https://plaperdr.github.io,hcXaYRAAAAAJ
Pierre Lescanne,Ecole Normale Superieure de Lyon,https://perso.ens-lyon.fr/pierre.lescanne,qHwV3cYAAAAJ
Pierre Maret,Université Jean Monnet,http://perso.univ-st-etienne.fr/mapi9921,kQTwSFcAAAAJ
Pierre McKenzie,University of Montreal,http://www.iro.umontreal.ca/~mckenzie,fA1ZOmMAAAAJ
Pierre Olivier,University of Manchester,https://sites.google.com/view/pierreolivier,rBr5a7UAAAAJ
Pierre Payeur,University of Ottawa,http://www.site.uottawa.ca/~ppayeur,NOSCHOLARPAGE
Pierre Poulin,University of Montreal,http://www.iro.umontreal.ca/~poulin,al5P0bAAAAAJ
Pierre Tirilly,CRIStAL,https://sites.google.com/site/tirillypierre/home,CKGKuOAAAAAJ
Pierre Vandergheynst,EPFL,https://people.epfl.ch/pierre.vandergheynst,1p9NOFEAAAAJ
Pierre-Louis Bellec,University of Montreal,http://diro.umontreal.ca/repertoire-departement/vue/bellec-pierre-louis,NOSCHOLARPAGE
Pierre-Luc Bacon,University of Montreal,http://pierrelucbacon.com,9H77FYYAAAAJ
Pierre-Marc Jodoin,Université de Sherbrooke,https://www.usherbrooke.ca/informatique/personnel/corps-professoral/professeurs/pierre-marc-jodoin,JM9-OOsAAAAJ
Pieter Abbeel,Univ. of California - Berkeley,https://people.eecs.berkeley.edu/~pabbeel,vtwH6GkAAAAJ
Pieter Collins,Maastricht University,https://dke.maastrichtuniversity.nl/pieter.collins,0p5ZVqsAAAAJ
Pieter H. M. Spronck,Tilburg University,https://www.tilburguniversity.edu/webwijs/show/p.spronck.htm,sB4vyswAAAAJ
Pieter J. Collins,Maastricht University,https://dke.maastrichtuniversity.nl/pieter.collins,0p5ZVqsAAAAJ
Pieter J. L. Cuijpers,TU Eindhoven,https://www.tue.nl/en/university/departments/mathematics-and-computer-science/the-department/staff/detail/ep/e/d/ep-uid/19940165,NOSCHOLARPAGE
Pieter J. Toussaint,NTNU,https://www.ntnu.edu/employees/pieter,NOSCHOLARPAGE
Pieter Jelle Toussaint,NTNU,https://www.ntnu.edu/employees/pieter,NOSCHOLARPAGE
Pieter Peers,College of William and Mary,http://www.cs.wm.edu/~ppeers,We8Oy0EAAAAJ
