name,affiliation,homepage,scholarid
Walter A. Kosters,Leiden University,https://www.universiteitleiden.nl/en/staffmembers/walter-kosters#tab-2,hmoq6CYAAAAJ
Wamberto Vasconcelos,University of Aberdeen,https://www.abdn.ac.uk/people/w.w.vasconcelos,wAhC4McAAAAJ
Wamberto Weber Miranda Peixoto de Vasconcelos,University of Aberdeen,https://www.abdn.ac.uk/people/w.w.vasconcelos,wAhC4McAAAAJ
Wamberto Weber Vasconcelos,University of Aberdeen,https://www.abdn.ac.uk/people/w.w.vasconcelos,wAhC4McAAAAJ
Wan Du,Univ. of California - Merced,https://faculty.ucmerced.edu/wdu,5AIv8YoAAAAJ
Wan J. Fokkink,VU Amsterdam,http://www.cs.vu.nl/~wanf,WTKJx9EAAAAJ
Wan-Chun Dou,Nanjing University,https://cs.nju.edu.cn/douwanchun,NOSCHOLARPAGE
Wanchun Dou,Nanjing University,https://cs.nju.edu.cn/douwanchun,NOSCHOLARPAGE
Wang Hu,UESTC,https://www.en.scse.uestc.edu.cn/info/1085/1920.htm,NOSCHOLARPAGE
Wang Ping,Nanyang Technological University,http://www3.ntu.edu.sg/home/wangping,uRLYksAAAAAJ
Wang Yi 0001,Uppsala University,http://user.it.uu.se/~yi,_ynjrUUAAAAJ
Wang-Chien Lee,Pennsylvania State University,http://www.cse.psu.edu/~wul2,9OdHL5wAAAAJ
Wangdong Yang,Hunan University,http://csee.hnu.edu.cn/people/yangwangdong,NOSCHOLARPAGE
Wangmeng Zuo,Harbin Institute of Technology,http://homepage.hit.edu.cn/wangmengzuo,rUOpCEYAAAAJ
Wanli Chang 0001,Hunan University,http://csee.hnu.edu.cn/people/changwanli,OYcT_B4AAAAJ
Wannida Sae-Tang,KMUTNB,https://tggs.kmutnb.ac.th/asst-prof-dr-wannida-sae-tang,6nlcJK8AAAAJ
Wanqing Li 0001,University of Wollongong,https://scholars.uow.edu.au/wanqing-li,mZLzsdgAAAAJ
Wanxiang Che,Harbin Institute of Technology,http://ir.hit.edu.cn/~car/english.htm,SVlQ6IEAAAAJ
Wanxu Zhang,Northwest University,https://ist.nwu.edu.cn/info/1017/1478.htm,NOSCHOLARPAGE
Wanyun Cui,SUFE,https://cuiwanyun.github.io/,FP7ANisAAAAJ
Warren A. Hunt Jr.,University of Texas at Austin,http://www.cs.utexas.edu/users/hunt,D6fp6_cAAAAJ
Warren Harrison,Portland State University,https://www.pdx.edu/computer-science/warren-harrison,IqqDQZsAAAAJ
Waruna Ranasinghe,Ecole Normale Superieure de Lyon,http://www.ens-lyon.fr/en/english-ens-de-lyon-269761.kjsp,NOSCHOLARPAGE
Warut Suksompong,National University of Singapore,https://www.comp.nus.edu.sg/~warut,Tb1prqkAAAAJ
Waseem Ahmed,King Abdulaziz University,http://cegmr.kau.edu.sa/Content.aspx?Site_ID=117&lng=EN&cid=257602,zzzxD7kAAAAJ
Wasif Afzal,Mälardalen University,https://sites.google.com/site/wasifafzal/,QMZSalkAAAAJ
Wasif Naeem,Queen's University Belfast,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=w.naeem,kivZoRgAAAAJ
Wassim El-Hajj,American University of Beirut,http://staff.aub.edu.lb/~we07,QidtvQgAAAAJ
Wataru Takano,University of Tokyo,http://www.human.jst.go.jp/en/researcher/2ki_06.html,sVVPProAAAAJ
Waylon Brunette,Augusta University,https://www.augusta.edu/faculty/directory/view.php?id=WBRUNETTE,4_sc4XsAAAAJ
Wayne B. Hayes,Univ. of California - Irvine,http://www.cs.toronto.edu/~wayne,3z4VbdIAAAAJ
Wayne D. Gray,Rensselaer Polytechnic Institute,http://www.rpi.edu/~grayw,h8ZzTWsAAAAJ
Wayne Eberly,University of Calgary,http://www.cpsc.ucalgary.ca/~eberly,NOSCHOLARPAGE
Wayne Enright,University of Toronto,http://www.cs.toronto.edu/~enright,80eenyQAAAAJ
Wayne Goddard,Clemson University,https://people.cs.clemson.edu/~goddard,bQYoSuUAAAAJ
Wayne H. Enright,University of Toronto,http://www.cs.toronto.edu/~enright,80eenyQAAAAJ
Wayne Luk,Imperial College London,https://www.doc.ic.ac.uk/~wl,F1JYd9UAAAAJ
Wayne M. Eberly,University of Calgary,http://www.cpsc.ucalgary.ca/~eberly,NOSCHOLARPAGE
Wayne R. Dyksen,Michigan State University,http://www.cse.msu.edu/~dyksen,NOSCHOLARPAGE
Wayne Snyder,Boston University,http://www.cs.bu.edu/~snyder,uT9_8hcAAAAJ
Wayne W. C. Luk,Imperial College London,https://www.doc.ic.ac.uk/~wl,F1JYd9UAAAAJ
Wayne Wobcke,UNSW,http://www.cse.unsw.edu.au/~wobcke,NOSCHOLARPAGE
Wayne Xin Zhao,Renmin University of China,http://playbigdata.ruc.edu.cn/batmanfly,JNhNacoAAAAJ
Webb Colby Miller,Pennsylvania State University,http://bio.psu.edu/directory/wcm2,k9T3V7EAAAAJ
Webb Miller,Pennsylvania State University,http://bio.psu.edu/directory/wcm2,k9T3V7EAAAAJ
Wee Keong Ng,Nanyang Technological University,http://www.ntu.edu.sg/home/awkng,NOSCHOLARPAGE
Wee Kheng Leow,National University of Singapore,https://www.comp.nus.edu.sg/~leowwk,iCaxtDUAAAAJ
Wee Sun Lee,National University of Singapore,https://www.comp.nus.edu.sg/~leews,8PCrLgwAAAAJ
Wee-Keng Leow,National University of Singapore,https://www.comp.nus.edu.sg/~leowwk,iCaxtDUAAAAJ
Wei (Lisa) Li,Georgia State University,https://grid.cs.gsu.edu/~wli28,tHTIu_EAAAAJ
Wei Ai 0002,University of Maryland - College Park,https://aiwei.me/,IQGqK3UAAAAJ
Wei Bao 0001,University of Sydney,https://www.sydney.edu.au/engineering/about/our-people/academic-staff/wei-bao.html,HXCgge4AAAAJ
Wei Bian,University of Technology Sydney,https://www.uts.edu.au/staff/wei.bian,G4xj88UAAAAJ
Wei Cai 0002,CUHK (SZ),https://mypage.cuhk.edu.cn/academics/caiwei/,r0V3naEAAAAJ
Wei Chen 0001,Zhejiang University,http://www.cad.zju.edu.cn/home/chenwei,EgQyYGUAAAAJ
Wei Chen 0021,Peking University,http://eecs.pku.edu.cn/EN/People/Faculty/Detail/?ID=6006,NOSCHOLARPAGE
Wei Ding 0003,University of Massachusetts Boston,http://www.cs.umb.edu/~ding,eFeqk8EAAAAJ
Wei Dong 0001,Zhejiang University,http://mypage.zju.edu.cn/dongw,NOSCHOLARPAGE
Wei Gao 0001,Singapore Management University,https://www.smu.edu.sg/faculty/profile/164201/Wei-GAO,8uaZwkwAAAAJ
Wei Gao 0008,Nanjing University,http://www.lamda.nju.edu.cn/gaow,NOSCHOLARPAGE
Wei Gong 0001,USTC,http://staff.ustc.edu.cn/~weigong,CtbzNl8AAAAJ
Wei Hu 0003,Peking University,http://www.icst.pku.edu.cn/F/intro/huwei/index.html,5oFf8Q4AAAAJ
Wei Hu 0007,Nanjing University,http://ws.nju.edu.cn/~whu,iWs168sAAAAJ
Wei Hu 0014,University of Michigan,https://weihu.me/,ZybgAqkAAAAJ
Wei Jiang 0016,UESTC,https://www.is.uestc.edu.cn/teachers.do?id=1066,NOSCHOLARPAGE
Wei Jin 0006,University of North Texas,http://www.cse.unt.edu/~weijin,lGOp0dMAAAAJ
Wei Jin 0009,Emory University,https://chandlerbang.github.io/,eWow24EAAAAJ
Wei Le,Iowa State University,http://www.cs.iastate.edu/~weile,QjFu7LEAAAAJ
Wei Lee Woon,Masdar Institute,https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/5730-wei-lee-woon,cmHsRGoAAAAJ
Wei Li 0012,Fudan University,https://dblp.uni-trier.de/pers/hd/l/Li_0012:Wei,NOSCHOLARPAGE
Wei Li 0022,Beihang University,http://sites.nlsde.buaa.edu.cn/~liwei,NOSCHOLARPAGE
Wei Li 0059,Georgia State University,https://grid.cs.gsu.edu/~wli28,tHTIu_EAAAAJ
Wei Liu 0006,University of Western Australia,http://www.web.uwa.edu.au/people/wei.liu,KTomENQAAAAJ
Wei Liu 0010,Yangzhou University,https://xxgcxy.yzu.edu.cn/info/1020/4051.htm,NOSCHOLARPAGE
Wei Lou,The Hong Kong Polytechnic University,https://www4.comp.polyu.edu.hk/~csweilou,Le8tsTYAAAAJ
Wei Lu 0001,Sun Yat-sen University,https://cse.sysu.edu.cn/teacher/LuWei,segsUCEAAAAJ
Wei Lu 0011,SUTD,http://statnlp.org,pPInY4UAAAAJ
Wei Lu 0015,Renmin University of China,http://iir.ruc.edu.cn/~luwei,v04EazgAAAAJ
Wei Meng 0001,Chinese University of Hong Kong,https://www.cse.cuhk.edu.hk/~wei,CBLnYLEAAAAJ
Wei Niu 0002,University of Georgia,https://niuwei.info,w1RoaOMAAAAJ
Wei Pang 0001,Heriot-Watt University,https://researchportal.hw.ac.uk/en/persons/wei-pang,kfFNe0cAAAAJ
Wei Shen 0002,Shanghai Jiao Tong University,https://shenwei1231.github.io,Ae2kRCEAAAAJ
Wei Song 0001,University of New Brunswick,http://www.cs.unb.ca/~wsong,yMMjPsoAAAAJ
Wei Tang 0016,University of Illinois at Chicago,https://cs.uic.edu/profiles/tang-wei/,GTYEV0cAAAAJ
Wei Tsang Ooi,National University of Singapore,http://www.comp.nus.edu.sg/~ooiwt,nFP2ldkAAAAJ
Wei Vivian Li,Univ. of California - Riverside,https://vivianli.org/,HzjANkQAAAAJ
Wei Vivian Liu,University of Western Australia,http://www.web.uwa.edu.au/people/wei.liu,KTomENQAAAAJ
Wei Wang 0050,HUST,https://metaiot.group/weiwang.html,YkD8hs0AAAAJ
Wei Wang 0002,Nanjing University,https://cs.nju.edu.cn/ww,JomuErcAAAAJ
Wei Wang 0009,Fudan University,http://www.cs.fudan.edu.cn/?page_id=2439,NOSCHOLARPAGE
Wei Wang 0010,Univ. of California - Los Angeles,http://www.cs.ucla.edu/~weiwang,UedS9LQAAAAJ
Wei Wang 0011,HKUST,http://home.cse.ust.hk/~weiwcs/,wLtu3FYAAAAJ
Wei Wang 0012,Xi'an Jiaotong University,https://weiwangup.github.io/,Jy2qSW0AAAAJ
Wei Wang 0028,Nanjing University,http://cs.nju.edu.cn/wangwei,1y6wxQMAAAAJ
Wei Wang 0030,HKUST,https://www.cse.ust.hk/~weiwa,NOSCHOLARPAGE
Wei Wang 0054,University of Texas at San Antonio,https://wwang.github.io/,vTHyzNoAAAAJ
Wei Wang 0108,Beijing Jiaotong University,https://weiwangtrento.github.io,k4SdlbcAAAAJ
Wei Wang 0190,Saint Louis University,https://www.wei-wang-research.com/,ttiMonwAAAAJ
Wei Wei 0002,HUST,http://faculty.hust.edu.cn/weiw/en/index.htm,NOSCHOLARPAGE
Wei Wu 0008,Beihang University,http://scse.buaa.edu.cn/info/1078/2642.htm,NOSCHOLARPAGE
Wei Xi,Xi'an Jiaotong University,https://gr.xjtu.edu.cn/en/web/xiwei,Xt3XP-EAAAAJ
Wei Xing Zheng 0001,Western Sydney University,https://www.westernsydney.edu.au/staff_profiles/WSU/distinguished_professor_wei_xing_zheng,9wBTFEQAAAAJ
Wei Xu 0004,Georgia Institute of Technology,https://cocoxu.github.io,BfOdG-oAAAAJ
Wei Xu 0005,Tsinghua University,http://iiis.tsinghua.edu.cn/~weixu,6jN5vScAAAAJ
Wei Yang 0013,University of Texas at Dallas,https://youngwei.com/,CEVHpQUAAAAJ
Wei Ye 0004,Peking University,https://se.pku.edu.cn/kcl/weiye,RgLGFMIAAAAJ
Wei You 0001,Renmin University of China,http://www.youwei.site,tIrmjdoAAAAJ
Wei Yu 0002,Towson University,https://www.towson.edu/fcsm/departments/computerinfosci/facultystaff/wyu.html,jLWO9-0AAAAJ
Wei Zeng 0002,Florida International University,http://cis.fiu.edu/~wzeng,yKYRdd0AAAAJ
Wei Zeng 0004,HKUST,https://zeng-wei.com/,kTZhR2EAAAAJ
Wei Zeng 0013,UESTC,https://www.en.scse.uestc.edu.cn/info/1085/2019.htm,E9dhH4wAAAAJ
Wei Zhang 0004,Peking University,http://sei.pku.edu.cn/~zhangw,NOSCHOLARPAGE
