institution,region,countryabbrv,homepage
University of Wyoming,northamerica,us,https://www.uwyo.edu/cosc/department/index.html
University of Würzburg,europe,de,https://www.informatik.uni-wuerzburg.de
University of York,europe,gb,https://www.york.ac.uk/computer-science/
University of Zurich,europe,ch,https://www.ifi.uzh.ch/en.html
Università della Svizzera italiana,europe,ch,https://search.usi.ch
Université Jean Monnet,europe,fr,https://perso.univ-st-etienne.fr
Université Laval,northamerica,ca,https://www2.ift.ulaval.ca
Université Paris Cité,europe,fr,https://math-info.u-paris.fr/en/homepage/
Université Paris Dauphine,europe,fr,https://www.lamsade.dauphine.fr
Université de Mons,europe,be,https://web.umons.ac.be/fs-informatique/en/home/
Université de Sherbrooke,northamerica,ca,https://www.usherbrooke.ca
Université du Québec à Montréal,northamerica,ca,https://professeurs.uqam.ca
Université libre de Bruxelles,europe,be,https://www.ulb.ac.be
Uppsala University,europe,se,https://www.it.uu.se/
Utah State University,northamerica,us,https://cs.usu.edu/
Utrecht University,europe,nl,https://www.uu.nl
VISTEC,asia,th,https://vistec.ist
VNIT Nagpur,asia,in,https://vnit.ac.in
VU Amsterdam,europe,nl,https://vu.nl/en/about-vu/faculties/faculty-of-science/departments/computer-science
Vanderbilt University,northamerica,us,https://engineering.vanderbilt.edu/departments/computer-science/
Victoria University of Wellington,australasia,nz,https://ecs.victoria.ac.nz
VinUniversity,asia,vn,https://cecs.vinuni.edu.vn/
Virginia Commonwealth University,northamerica,us,https://egr.vcu.edu/departments/computer-science/
Virginia Tech,northamerica,us,https://cs.vt.edu/
Waseda University,asia,jp,https://www.waseda.jp/fsci/en/
Washington State University,northamerica,us,https://www.eecs.wsu.edu
Washington University in St. Louis,northamerica,us,https://cse.washu.edu/
Wayne State University,northamerica,us,https://www.cs.wayne.edu
Weizmann Institute of Science,europe,il,https://www.weizmann.ac.il/math/
West Virginia University,northamerica,us,https://lcsee.statler.wvu.edu/
Western Michigan University,northamerica,us,https://wmich.edu/cs
Western Sydney University,australasia,au,https://www.westernsydney.edu.au/schools/socdms
Western University,northamerica,ca,https://www.csd.uwo.ca
Westlake University,asia,cn,https://www.westlake.edu.cn
Wichita State University,northamerica,us,https://www.wichita.edu/SoC
Worcester Polytechnic Institute,northamerica,us,https://www.wpi.edu/academics/departments/computer-science
Wuhan University,asia,cn,https://cs.whu.edu.cn
Xi'an Jiaotong University,asia,cn,https://gr.xjtu.edu.cn
Xiamen University,asia,cn,https://informatics.xmu.edu.cn
Xidian University,asia,cn,https://web.xidian.edu.cn
Yale University,northamerica,us,https://cpsc.yale.edu/
Yangzhou University,asia,cn,https://xxgcxy.yzu.edu.cn
Yonsei University,asia,kr,https://computing.yonsei.ac.kr/eng/
York University,northamerica,ca,https://www.cse.yorku.ca
Yıldız Technical University,europe,tr,https://www.ce.yildiz.edu.tr
Zhejiang University,asia,cn,https://mypage.zju.edu.cn
Özyeğin University,europe,tr,https://cs.ozyegin.edu.tr/en

