name,date
Alan Bundy,1482287835.18
Giovanni Moretti,1482287836.00
Magdalena Balazinska,1482287836.58
Robert B. Watson,1482287837.03
Guido Salvaneschi,1482287837.38
Martin Bichler,1482287837.95
Frank Vahid,1482287838.15
Konrad Iwanicki,1482287838.48
Laure Daviaud,1482287847.83
Thomas Rothvoss,1482287874.57
Wojciech Czerwinski,1482287875.51
Sol M. Shatz,1482287875.88
Mohsen Ghaffari,1482287875.96
Kevin Fu,1482287876.17
David Lowe,1482287882.78
Peter M. Winkler,1482287883.27
Antonio Cortes Rossello,1482288051.55
Khuzaima Daudjee,1482288052.25
Michael A. Erdmann,1482288052.50
Witawas Srisa-an,1482288053.02
Ewan D. Tempero,1482288054.59
Leonid Libkin,1482288054.80
Manel Medina,1482288055.13
Steve Tanimoto,1482288055.76
Gregory F. Welch,1482288057.06
Bora Uçar,1482288057.37
Krishna Kumar Venkatasubramanian,1482288057.97
Tobias Kuhn,1482288058.20
James Purtilo,1482288058.48
George Karypis,1482288059.21
Brent Adams,1482288059.91
Georgios Portokalidis,1482288060.11
Anshul Kundaje,1482288061.06
DeLiang L. Wang,1482288061.24
Rodrigo Fonseca,1482288061.72
Eldar Fischer,1482288063.88
Al Davis,1482288064.14
Naomi Nishimura,1482288065.68
Alon Efrat,1482288067.88
Tran Cao Son,1482288068.21
Robert Michael Lewis,1482288068.38
David Feng,1482288070.27
Oussama Khatib,1482288070.54
Anna Rumshisky,1482288070.93
Ying-li Tian,1482288071.09
Hui Zhang 0005,1482288071.92
Berthold K. P. Horn,1482288071.99
Christopher Hollitt,1482288072.92
Olaf Chitil,1482288075.49
Amir Globerson,1482288076.13
M. Frans Kaashoek,1482288076.31
Martin T. Vechev,1482288076.88
Alexey Gotsman,1482288077.44
Vineet Bafna,1482288079.91
Tejasvi Anand,1482288081.33
Ramana Rao Kompella,1482288082.96
Mimmo Parente,1482288083.79
Ken Jackson,1482288084.15
Matthew Johnson,1482288084.51
A. J. Kfoury,1482288085.84
Mario Edgardo Magaña,1482288087.47
Udantha Ranjith Abeyratne,1482288088.41
Tarek F. Abdelzaher,1482288088.59
David J. Farber,1482288088.84
Wenzel Jakob,1482288089.95
Rosalba Zizza,1482288090.46
Michael Wooldridge,1482288090.70
Suzanne M. Shontz,1482288091.36
Kurt Jensen,1482288092.17
Matthew Edmund Taylor,1482288092.66
Nando de Freitas,1482288093.63
Mohamed F. Mokbel,1482288093.79
Shaojie Zhang,1482288094.07
Philippos Mordohai,1482288094.15
Calton Pu,1482288094.32
Kelly Caine,1482288094.68
Alberto Apostolico,1482288095.77
Virginia Vassilevska,1482288095.96
John H. Reppy,1482288096.43
Clifford Stein,1482288096.72
Haitao Zheng,1482288096.94
Stefan Katzenbeisser 0001,1482288105.09
Mohammad Alizadeh,1482288105.20
Jinyuan Sun,1482288119.15
Eliot Moss,1482288119.36
Juan Pablo Hourcade,1482288119.89
Zhendong Su,1482288120.55
Devorah Kletenik,1482288120.76
Susan Foster,1482288121.67
Chitta Baral,1482288122.35
Marc Pouzet,1482288123.29
Sun-Teck Tan,1482288124.05
Leilah Lyons,1482288124.52
Stefano Ermon,1482288138.35
S. Venkatesan,1482288143.16
Xiaowen Zhang,1482288143.42
Marcus Frean,1482288145.53
Maaz Bin Ahmad,1482288145.72
John Mark Smotherman,1482288146.04
Joerg Sander,1482288146.42
Søren Ingvor Olsen,1482288148.00
Klara Nahrstedt,1482288149.66
Cian O'Donnell,1482288151.37
Yuan Zhou,1482288152.76
Neill D. F. Campbell,1482288153.19
Andrei A. Bulatov,1482288153.54
Qiang Fu,1482288154.33
Mai Zheng,1482288154.56
Margrit Betke,1482288154.61
Farhad Ahani Kamangar,1482288154.86
Richard A. Bonneau,1482288155.18
Uri Wilensky,1482288155.46
Nianwen Xue,1482288155.50
Louis-Philippe Morency,1482288155.74
Ryan Williams 0001,1482288155.97
Michael C. Ferris,1482288156.90
Jih-Kwon Peir,1482288167.24
Thomas Shrimpton,1482288167.74
Marilyn A. Walker,1482288169.19
Olav Wedege Bertelsen,1482288169.64
Benjamin Goldberg,1482288169.76
David Liu,1482288169.96
Lenore D. Zuck,1482288170.20
Ian Vince McLoughlin,1482288171.36
Ewan Klein,1482288172.45
Adam Doupé,1482288172.73
Parthasarathy Madhusudan,1482288173.43
John Schneider,1482288173.83
Kalmer Apinis,1482288176.87
W. Randolph Franklin,1482288178.45
Alexander T. Ihler,1482288178.80
Paul Ammann,1482288183.07
Eric Fleury,1482288183.41
Johannes Fürnkranz,1482288184.26
Chase Q. Wu,1482288184.63
Franz Baader,1482288185.48
Ken Perlin,1482288185.70
M. D. Atkinson,1482288187.02
David Eppstein,1482288187.51
Leen-Kiat Soh,1482288188.25
Michalis Faloutsos,1482288188.67
Boris Aronov,1482288188.77
Eric P. Xing,1482288188.85
Pierre McKenzie,1482288188.98
Sham Kakade,1482288189.68
Chung-Hsing Yeh,1482288190.70
Emine Yilmaz,1482288191.62
Irfan A. Essa,1482288195.20
Wenfei Fan,1482288195.53
James Canning,1482288195.83
Huamin Wang,1482288195.93
Christopher Mears,1482288196.53
Éric Colin de Verdière,1482288197.09
Andres Cuevas,1482288200.15
G. Stefano Sukhatme,1482288204.41
Alfred L. Brown,1482288204.68
Daniel Gusfield,1482288205.16
Bryan Ford,1482288205.30
Anne Roudaut,1482288205.90
Viktor Gruev,1482288214.39
Ming Li,1482288214.84
Abdullah Uz Tansel,1482288216.08
Ted Brekken,1482288217.43
Peter Høyer,1482288218.15
Jie Wang 0002,1482288219.26
Thomas Dillig,1482288219.48
Jeffrey A. Miller,1482288219.87
Laxmi N. Bhuyan,1482288220.08
Christopher W. Geib,1482288220.91
Paul Bailes,1482288221.96
Austen Rainer,1482288224.15
Umakishore Ramachandran,1482288224.33
Chris Kanich,1482288224.66
Markus Pauly,1482288225.10
Joohyung Lee,1482288225.52
Kevin Jeffay,1482288226.53
Susan Eisenbach,1482288227.19
Xiaoli Z. Fern,1482288227.58
John H. Hine,1482288228.38
Michael Sixt,1482288230.26
Brian C. Nelson,1482288244.08
Robert A. van de Geijn,1482288251.24
Sanne Abeln,1482288251.71
Dan Ventura,1482288275.28
Michael J. Dinneen,1482288276.65
Tianbao Yang,1482288277.13
Alexis Battle,1482288277.52
Kaleem Siddiqi,1482288277.83
Antonio González 0001,1482288288.66
Dan Tsafrir,1482288289.03
Robert E. Kinicki,1482289479.41
Michal Feldman,1482289480.45
Silvio Savarese,1482289480.73
Sanjay Rajopadhye,1482289484.68
Emma Frejinger,1482289484.89
Han-Wei Shen,1482289484.98
James H. Morris,1482289485.15
Leonidas J. Guibas,1482289485.45
Duncan Fyfe Gillies,1482289489.47
Stefan Göller,1482289490.99
Devin J. Balkcom,1482289491.18
Jonathan Schaeffer,1482289492.68
Milos Manic,1482289492.86
Michael G. Dyer,1482289494.22
Henry Linger,1482289495.61
Eddy Z. Zhang,1482289495.93
Tevfik Kosar,1482289496.08
Bart Selman,1482289496.35
Maurizio Tucci,1482289497.53
James Worrell,1482289497.99
Alexandros Kapravelos,1482289498.37
Theodore Raphan,1482289498.47
Danyang Zhang,1482289500.91
Abedelaziz Mohaisen,1482289501.01
Robert J. Fornaro,1482289501.36
Serge Torres,1482289501.74
Arvind Gupta,1482289503.63
Yashar Ganjali,1482289503.92
Heng Ji,1482289504.15
Bingsheng He,1482289504.80
Ion Stoica,1482289505.92
Alain J. Martin,1482289506.54
Anna Zych,1482289506.89
Peter J. L. van Beek,1482289507.34
Eddie Kohler,1482289507.47
Charles Elkan,1482289507.75
Feng Liu,1482289508.49
Paul Tymann,1482289508.69
Andrea Grimes Parker,1482289509.00
Arvind,1482289509.19
Semih Salihoglu,1482289509.56
Theodore Tryfonas,1482289511.56
Simon Delamare,1482289512.11
Edward A. Fox,1482289512.33
Stefano Soatto,1482289512.78
Patrick Yin Chiang,1482289513.58
Matt Huenerfauth,1482289513.89
James Harold Davenport,1482289514.79
Alois C. Knoll,1482289516.91
Donald P. Greenberg,1482289518.12
Mahbubur M. Rahim,1482289519.07
Thu D. Nguyen,1482289519.39
Krzysztof Diks,1482289519.74
Marine Carpuat,1482289519.87
Michael Dennis,1482289523.11
Ben Glocker,1482289524.13
Anthony J. Bonner,1482289524.32
Vaithianathan Mani Venkatasubramanian,1482289524.72
Saman P. Amarasinghe,1482289524.81
Daniel Angus,1482289525.49
Carsten Rother,1482289526.39
Louis Salvail,1482289526.60
Burkhard Rost,1482289527.28
Daniel Kröning,1482289527.71
Richard S. Zemel,1482289528.08
Barzan Mozafari,1482289528.24
Xiang-Dong Tan,1482289528.66
Shai Ben-David,1482289529.04
Colin Potts,1482289533.11
Erik Perrins,1482289534.66
Franziska Roesner,1482289535.33
Saurabh Sinha,1482289535.69
Emina Torlak,1482289536.31
Carlton J. Leuschen,1482289536.90
Vladimir Filkov,1482289537.56
Srivas Chennu,1482289539.95
Nadia Berthouze,1482289543.02
Stuart Anderson,1482289543.73
Gerald Penn,1482289543.94
Yoav Shoham,1482289544.35
Hao Jiang,1482289544.54
Robert P. Burton,1482289545.46
John C. Mitchell,1482289545.66
Zachary Friggstad,1482289546.03
Nikos Papanikolopoulos,1482289546.26
Julio César Hernández Castro,1482289551.40
Márton Karsai,1482289551.74
Andrew S. Tanenbaum,1482289552.13
Sabine Süsstrunk,1482289552.56
Michel C. A. Klein,1482289553.15
Steven M. Seitz,1482289554.37
Thomas G. Moher,1482289554.68
Christoph M. Hoffmann,1482289555.38
Indrakshi Ray,1482289558.92
Eelke Folmer,1482289560.06
Hal Abelson,1482289560.15
Chris Mears,1482289561.14
Matthew Fredrikson,1482289561.31
Charles Stewart,1482289561.49
Raouf Boutaba,1482289561.81
Roderic A. Grupen,1482289562.18
Dennis G. Kafura,1482289562.35
Ehab S. Elmallah,1482289562.72
Shmuel Sagiv,1482289563.08
Qi Rose Yu,1482289563.24
Nagiza F. Samatova,1482289563.58
Chun-Hsi Huang,1482289563.92
Jon E. Froehlich,1482289564.01
Michael D. Atkinson,1482289564.81
Christopher Allen,1482289565.31
R. Mukundan,1482289566.32
Mosharaf Chowdhury,1482289567.72
Erin Treacy Solovey,1482289567.86
Michael L. Best,1482289569.42
Tyrone E. Duncan,1482289569.94
Xu Liu,1482289570.19
Sue McKemmish,1482289570.98
