name,year
Alan J. Perlis,1966
Maurice V. Wilkes,1967
Richard Wesley Hamming,1968
Marvin Minsky,1969
James Hardy Wilkinson,1970
John McCarthy,1971
Edsger W. Dijkstra,1972
Charles W. Bachman,1973
Donald E. Knuth,1974
Allen Newell,1975
Herbert A. Simon,1975
Dana S. Scott,1976
Michael O. Rabin,1976
Michael Oser Rabin,1976
John W. Backus,1977
Robert W. Floyd,1978
Kenneth E. Iverson,1979
C. A. R. Hoare,1980
E. F. Codd,1981
Stephen A. Cook,1982
Dennis Ritchie,1983
Ken Thompson,1983
Niklaus Wirth,1984
Richard M. Karp,1985
John E. Hopcroft,1986
Robert E. Tarjan,1986
Robert Endre Tarjan,1986
John Cocke,1987
Ivan E. Sutherland,1988
William Kahan,1989
Fernando J. Corbató,1990
Robin Milner,1991
Butler W. Lampson,1992
Juris Hartmanis,1993
Richard Edwin Stearns,1993
Edward A. Feigenbaum,1994
Raj Reddy,1994
Manuel Blum 0001,1995
Amir Pnueli,1996
Douglas C. Engelbart,1997
Jim Gray,1998
Frederick P. Brooks Jr.,1999
Andrew C. Yao,2000
Andrew Chi-Chih Yao,2000
Kristen Nygaard,2001
Ole-Johan Dahl,2001
Adi Shamir,2002
Len Adleman,2002
Leonard M. Adleman,2002
Leonard Max Adleman,2002
Ron Rivest,2002
Ronald L. Rivest,2002
Alan C. Kay,2003
Robert E. Kahn,2004
Vint Cerf,2004
Vinton G. Cerf,2004
Peter Naur,2005
Fran Allen,2006
Frances E. Allen,2006
E. Allen Emerson,2007
Edmund M. Clarke,2007
Jospeh Sifakis,2007
Barbara Liskov,2008
Charles P. Thacker,2009
Chuck Thacker,2009
Leslie G. Valiant,2010
Judea Pearl,2011
Shafi Goldwasser,2012
Silvio Micali,2012
Leslie Lamport,2013
Michael Stonebraker,2014
Mike Stonebraker,2014
Martin E. Hellman,2015
Whitfield Diffie,2015
Tim Berners-Lee,2016
David A. Patterson,2017
John L. Hennessy,2017
Geoffrey E. Hinton,2018
Yann LeCun,2018
Yoshua Bengio,2018
Pat Hanrahan,2019
Alfred V. Aho,2020
Jeffrey D. Ullman,2020
Jack J. Dongarra,2021
Bob Metcalfe,2022
Robert M. Metcalfe,2022
Robert Melancton Metcalfe,2022
Robert Metcalfe,2022
Avi Wigderson,2023
Andrew G. Barto,2024
Richard S. Sutton,2024
