name,affiliation,homepage,scholarid
Ulrich Sax,University of Göttingen,https://medizininformatik.umg.eu/ueber-uns/team,_bCe0YQAAAAJ
Ulrich Schmid 0001,TU Wien,https://ti.tuwien.ac.at/ecs/people/schmid,NOSCHOLARPAGE
Ulrich Sorger,University of Luxembourg,http://wwwen.uni.lu/recherche/fstc/computer_science_and_communications_research_unit/members/ulrich_sorger,NOSCHOLARPAGE
Ulrich Speidel,University of Auckland,http://www.tcs.auckland.ac.nz/~ulrich,NOSCHOLARPAGE
Ulrich Ultes-Nitsche,University of Fribourg,https://www.unifr.ch/inf/en/all/people/11657/f10e7,NOSCHOLARPAGE
Ulrik Larsen,Aalborg University,http://ulrik.blog.aau.dk,Z3FXuI0AAAAJ
Ulrik Nyman,Aalborg University,http://ulrik.blog.aau.dk,Z3FXuI0AAAAJ
Ulrik Schroeder,RWTH Aachen University,http://learntech.rwth-aachen.de/schroeder,8EYyC1MAAAAJ
Ulrike Lechner,Bundeswehr University Munich,https://www.unibw.de/wirtschaftsinformatik,OzCAdaMAAAAJ
Ulrike Lucke,University of Potsdam,https://www.uni-potsdam.de/de/multimedia/team/profdr-inghabilulrikelucke,NOSCHOLARPAGE
Ulrike Meyer,RWTH Aachen University,https://www.itsec.rwth-aachen.de/cms/ITSEC/Das-Lehr-und-Forschungsgebiet/Team/~ehrwa/Ulrike-Meyer/?allou=1,y9RHiq0AAAAJ
Ulrike Sattler,University of Manchester,http://www.cs.man.ac.uk/~sattler,NOSCHOLARPAGE
Ulrike Stege,University of Victoria,http://webhome.cs.uvic.ca/~stege/Ulrike_Steges_Homepage/Welcome.html,1Zp5jw8AAAAJ
Ulrike Thomas,TU Chemnitz,https://www.tu-chemnitz.de/etit/robosys/professorship/thomas.php,UKjluxMAAAAJ
Ulrike von Luxburg,University of Tübingen,http://www.tml.cs.uni-tuebingen.de/team/luxburg/index.php,mMifMdoAAAAJ
Uluc Saranli,Middle East Technical University,http://user.ceng.metu.edu.tr/~saranli,-P5r-S0AAAAJ
Ulug Bayazit,Istanbul Technical University,http://web.itu.edu.tr/ulugbayazit,NOSCHOLARPAGE
Ulugbek Kamilov,Washington University in St. Louis,https://cigroup.wustl.edu,3qYUSDwAAAAJ
Ulugbek S. Kamilov,Washington University in St. Louis,https://cigroup.wustl.edu,3qYUSDwAAAAJ
Uluç Saranli,Middle East Technical University,http://user.ceng.metu.edu.tr/~saranli,-P5r-S0AAAAJ
Umakishore Ramachandran,Georgia Institute of Technology,http://www.cc.gatech.edu/~rama,J1tqbNAAAAAJ
Umang Bhaskar,Tata Inst. of Fundamental Research,http://www.tcs.tifr.res.in/~umang,NOSCHOLARPAGE
Umang Mathur 0001,National University of Singapore,https://www.comp.nus.edu.sg/~umathur,6rB8UjgAAAAJ
Umapada Pal 0001,ISI Kolkata,https://www.isical.ac.in/~umapada,2_z_CogAAAAJ
Umar Farooq 0002,Louisiana State University,https://csc.lsu.edu/~ufarooq,QsWn-r8AAAAJ
Umar Iqbal 0002,Washington University in St. Louis,https://engineering.washu.edu/faculty/Umar-Iqbal.html,K1GBN0MAAAAJ
Umberto Nanni,Sapienza University of Rome,http://www.diag.uniroma1.it/users/umberto%20nanni,aJKaghoAAAAJ
Umberto Villano,University of Sannio,https://www.unisannio.it/en/user/156/curriculum,TDSUcuIAAAAJ
Umesh A. Deshpande 0001,VNIT Nagpur,https://vnit.ac.in/engineering/cse/dr-u-a-deshpande,Oc_BLzUAAAAJ
Umesh Ashok Deshpande,VNIT Nagpur,https://vnit.ac.in/engineering/cse/dr-u-a-deshpande,Oc_BLzUAAAAJ
Umesh Bellur,IIT Bombay,https://www.cse.iitb.ac.in/~umesh,WnjGMjIAAAAJ
Umesh V. Vazirani,Univ. of California - Berkeley,http://www.cs.berkeley.edu/~vazirani,NOSCHOLARPAGE
Umut A. Acar,Carnegie Mellon University,http://www.umut-acar.org,wJ4NywgAAAAJ
Un-Ku Moon,Oregon State University,http://web.engr.oregonstate.edu/~moon,NOSCHOLARPAGE
Unaizah Hanum Binti Obaidellah,University of Malaya,https://umexpert.um.edu.my/unaizah,NOSCHOLARPAGE
Unnikrishnan C.,IIT Palakkad,https://unnikrishnan-c.github.io,ayTJFUYAAAAJ
Unnikrishnan Cheramangalath,IIT Palakkad,https://unnikrishnan-c.github.io,ayTJFUYAAAAJ
Uno Holmer,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/holmer.aspx,NOSCHOLARPAGE
Upama Kabir,University of Dhaka,https://du.ac.bd/body/faculty_details/CSE/1765,4n0yBkMAAAAJ
Upulee Kanewala,Montana State University,https://www.cs.montana.edu/directory/1812043/upulee-kanewala,WIG-usAAAAAJ
Uri C. Weiser,Technion,http://webee.technion.ac.il/people/weiser,ctN8BtoAAAAJ
Uri M. Ascher,University of British Columbia,https://www.cs.ubc.ca/~ascher,eX08ztMAAAAJ
Uri Shalit,Technion,https://cs.nyu.edu/~shalit,aeGDj-IAAAAJ
Uri Stemmer,Tel Aviv University,https://english.tau.ac.il/profile/uristemmer,Ew7QLzsAAAAJ
Uri Wilensky,Northwestern University,https://ccl.northwestern.edu/Uri.shtml,3UlRWD8AAAAJ
Uri Zwick,Tel Aviv University,http://www.math.tau.ac.il/~zwick,wwkJvoMAAAAJ
Uriel Feige,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=2304,NOSCHOLARPAGE
Urmila Mahadev,California Institute of Technology,https://www.eas.caltech.edu/people/umahadev,NOSCHOLARPAGE
