name,affiliation,homepage,scholarid,orcid
Edith Spaan,Rochester Inst. of Technology,https://www.cs.rit.edu/~eh,Z9W_SPAAAAAJ,0000-0000-0000-0000
Edmond Chow,Georgia Institute of Technology,http://www.cc.gatech.edu/~echow,NOSCHOLARPAGE,0000-0003-0474-3752
Edmond S. L. Ho,University of Glasgow,https://www.gla.ac.uk/schools/computing/staff/shulimho,Py1-xgMAAAAJ,0000-0001-5862-106X
Edmund A. Lamagna,University of Rhode Island,https://web.uri.edu/cs/meet/edmund-lamagna,NOSCHOLARPAGE,0000-0000-0000-0000
Edmund Robinson,Queen Mary University of London,http://www.eecs.qmul.ac.uk/~edmundr,kneuKWIAAAAJ,0000-0002-3075-2217
Edmund S. Yu,Syracuse University,http://eng-cs.syr.edu/our-departments/electrical-engineering-and-computer-science/people,0uelS_AAAAAJ,0000-0000-0000-0000
Edmund T. Rolls,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/edmund_rolls,4tIgOKsAAAAJ,0000-0003-3025-1292
Edmundo Albuquerque de Souza e Silva,UFRJ,http://www.land.ufrj.br/~edmundo,r9ngIuMAAAAJ,0000-0000-0000-0000
Edmundo R. M. Madeira,UNICAMP,http://www.ic.unicamp.br/~edmundo,NOSCHOLARPAGE,0000-0000-0000-0000
Edmundo Roberto Mauro Madeira,UNICAMP,http://www.ic.unicamp.br/~edmundo,NOSCHOLARPAGE,0000-0000-0000-0000
Edmundo de Souza e Silva,UFRJ,http://www.land.ufrj.br/~edmundo,r9ngIuMAAAAJ,0000-0003-0912-7860
Edna Barros,UFPE,https://www.cin.ufpe.br/~ensb,HCGd3n0AAAAJ,0000-0001-6479-3052
Edna Natividade da Silva Barros,UFPE,https://www.cin.ufpe.br/~ensb,HCGd3n0AAAAJ,0000-0000-0000-0000
Edoardo Biagioni,University of Hawaii at Manoa,http://www2.hawaii.edu/~esb,Ls94lsAAAAAJ,0000-0001-8605-0073
Edoardo M. Ponti,University of Edinburgh,https://ducdauge.github.io,tklL2q0AAAAJ,0000-0000-0000-0000
Edoardo Maria Ponti,University of Edinburgh,https://ducdauge.github.io,tklL2q0AAAAJ,0000-0002-6308-1050
Edoardo S. Biagioni,University of Hawaii at Manoa,http://www2.hawaii.edu/~esb,Ls94lsAAAAAJ,0000-0000-0000-0000
Edoardo Serra,Boise State University,https://sites.google.com/site/serraedoardo,vepzEcUAAAAJ,0000-0003-0689-5063
Edon Kelmendi,Queen Mary University of London,https://edon.github.io,8sPNZbAAAAAJ,0000-0000-0000-0000
Edouard Amouroux,RMIT University,https://scholar.google.com/citations?user=XfUV3XAAAAAJ,XfUV3XAAAAAJ,0000-0002-0547-5051
Edouard Bugnion,EPFL,https://people.epfl.ch/edouard.bugnion,8ztj2yEAAAAJ,0000-0001-7237-6929
Edriss S. Titi,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=3990,VrQC0_gAAAAJ,0000-0000-0000-0000
Edson Borin,UNICAMP,http://www.ic.unicamp.br/~edson,dZAu_PkAAAAJ,0000-0000-0000-0000
Edson Cáceres,UFMS,https://www.facom.ufms.br/~edson,NOSCHOLARPAGE,0000-0000-0000-0000
Edson Norberto Cáceres,UFMS,https://www.facom.ufms.br/~edson,NOSCHOLARPAGE,0000-0000-0000-0000
Edson Prestes,UFRGS,http://www.inf.ufrgs.br/~prestes,NOSCHOLARPAGE,0000-0000-0000-0000
Edson Prestes e Silva Jr.,UFRGS,http://www.inf.ufrgs.br/~prestes,NOSCHOLARPAGE,0000-0000-0000-0000
Edson Takashi Matsubara,UFMS,https://www.facom.ufms.br/~edsontm,-IkaSwy0boIC,0000-0000-0000-0000
Edson dos Santos Moreira,USP-ICMC,http://conteudo.icmc.usp.br/pessoas/edson,QisD2NoAAAAJ,0000-0000-0000-0000
Eduard A. Gorbunov,MBZUAI,https://mbzuai.ac.ae/study/faculty/eduard-gorbunov-2,QPVriwoAAAAJ,0000-0000-0000-0000
Eduard Ayguadé,Polytechnic Univ. of Catalonia,http://people.ac.upc.edu/eduard,lEho8pkAAAAJ,0000-0002-5146-103X
Eduard Ayguadé Parra,Polytechnic Univ. of Catalonia,http://people.ac.upc.edu/eduard,lEho8pkAAAAJ,0000-0000-0000-0000
Eduard C. Dragut,Temple University,https://cis.temple.edu/~edragut,NOSCHOLARPAGE,0000-0002-3103-054X
Eduard Constantin Dragut,Temple University,https://cis.temple.edu/~edragut,NOSCHOLARPAGE,0000-0000-0000-0000
Eduard Eiben,Royal Holloway Univ. of London,https://pure.royalholloway.ac.uk/portal/en/persons/eduard-eiben(9ee8fd8f-cbc6-4365-bda4-79850f62e36d).html,VzCxpJcAAAAJ,0000-0003-2628-3435
Eduard Gorbunov,MBZUAI,https://mbzuai.ac.ae/study/faculty/eduard-gorbunov-2,QPVriwoAAAAJ,0000-0000-0000-0000
Eduard Gröller,TU Wien,https://www.cg.tuwien.ac.at/staff/EduardGroeller.html,eBsjFlIAAAAJ,0000-0002-8569-4149
Eduard Hovy,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/887453-eduard-hovy,xMne5ZUAAAAJ,0000-0002-3270-7903
Eduard Mehofer,University of Vienna,https://cs.univie.ac.at/eduard.mehofer,NOSCHOLARPAGE,0000-0000-0000-0000
Eduardo Alonso,City University of London,https://www.city.ac.uk/people/academics/eduardo-alonso#profile=publications,b48-mXoAAAAJ,0000-0000-0000-0000
Eduardo Antonio Guimarães Tavares,UFPE,https://www.cin.ufpe.br/~eagt,NOSCHOLARPAGE,0000-0000-0000-0000
Eduardo Blanco 0002,University of Arizona,https://eduardoblanco.github.io,AqGa3-MAAAAJ,0000-0000-0000-0000
