name,affiliation
Aki Vehtari , Aalto University
Alexander Jung , Aalto University
Antti Ylä-Jääski , Aalto University
Aristides Gionis , Aalto University
Casper Lassenius , Aalto University
David K. McGookin , Aalto University
Eero Hyvönen , Aalto University
Eljas Soisalon-Soininen , Aalto University
Harri Lähdesmäki , Aalto University
Heikki Mannila , Aalto University
Ilkka Niemelä , Aalto University
Jaakko Lehtinen , Aalto University
Jari Saramäki , Aalto University
Jouko Lampinen , Aalto University
Juha Karhunen , Aalto University
Juho Kannala , Aalto University
Juho Rousu , Aalto University
Jukka Suomela , Aalto University
Kari Smolander , Aalto University
Keijo Heljanko , Aalto University
Kimmo Kaski , Aalto University
Lauri Malmi , Aalto University
Lauri Savioja , Aalto University
Mario Di Francesco , Aalto University
Marjo Kauppinen , Aalto University
Marko H. T. Nieminen , Aalto University
Marko Nieminen , Aalto University
Martti Mäntylä , Aalto University
Mikko Kivelä , Aalto University
N. Asokan , Aalto University
Parinya Chalermsook , Aalto University
Pekka Orponen , Aalto University
Perttu Hämäläinen , Aalto University
Petri Vuorimaa , Aalto University
Petteri Kaski , Aalto University
Samuel Kaski , Aalto University
Stavros Tripakis , Aalto University
Tapio Lokki , Aalto University
Tapio Takala , Aalto University
Tuomas Aura , Aalto University
Anders Møller , Aarhus University
Aslan Askarov , Aarhus University
Christian N. S. Pedersen , Aarhus University
Christian Nørgaard Storm Pedersen , Aarhus University
Claudio Orlandi , Aarhus University
Eve Hoggan , Aarhus University
Gerth Stølting Brodal , Aarhus University
Gudmund Skovbjerg Frandsen , Aarhus University
Hans Jörg Müller , Aarhus University
Henrik Bærbak Christensen , Aarhus University
Ira Assent , Aarhus University
Ivan Bjerre Damgård , Aarhus University
Ivan Damgård , Aarhus University
Jesper Buus Nielsen , Aarhus University
Jörg Müller , Aarhus University
Kaj Grønbæk , Aarhus University
Kasper Dalgaard Larsen , Aarhus University
Kasper Green Larsen , Aarhus University
Kristoffer Arnsfelt Hansen , Aarhus University
Kurt Jensen , Aarhus University
Lars Arge , Aarhus University
Lars Birkedal , Aarhus University
Marianne Graves Petersen , Aarhus University
Michael I. Schwartzbach , Aarhus University
Morten Kyng , Aarhus University
Niels Olof Bouvin , Aarhus University
Olav W. Bertelsen , Aarhus University
Olav Wedege Bertelsen , Aarhus University
Ole Caprani , Aarhus University
Olivier Danvy , Aarhus University
Panagiotis Karras , Aarhus University
Peyman Afshani , Aarhus University
Susanne Bødker , Aarhus University
Thomas Dueholm Hansen , Aarhus University
Ahmad R. Dhaini , American University of Beirut
Ali Chehab , American University of Beirut
Ayman I. Kayssi , American University of Beirut
Fadi A. Zaraket , American University of Beirut
Fadi N. Karameh , American University of Beirut
Fatima K. Abu Salem , American University of Beirut
George M. Turkiyyah , American University of Beirut
George Turkiyyah , American University of Beirut
Haitham Akkary , American University of Beirut
Hassan A. Artail , American University of Beirut
Hassan Artail , American University of Beirut
Hazem M. Hajj , American University of Beirut
Haïdar Safa , American University of Beirut
Ibrahim C. Abou-Faycal , American University of Beirut
Imad Elhajj , American University of Beirut
Imad H. Elhajj , American University of Beirut
Louay Bazzi , American University of Beirut
Louay M. J. Bazzi , American University of Beirut
Mariette Awad , American University of Beirut
Mohamad Jaber , American University of Beirut
Paul C. Attie , American University of Beirut
Shady Elbassuoni , American University of Beirut
Wassim El-Hajj , American University of Beirut
Wes Masri , American University of Beirut
Amit Dvir , Ariel University
Amos Azaria , Ariel University
Anat Paskin , Ariel University
Anat Paskin-Cherniavsky , Ariel University
Boaz Ben-Moshe , Ariel University
Dan Ophir , Ariel University
Dana Shapira , Ariel University
Dror Tobi , Ariel University
Elad Aigner-Horev , Ariel University
Eran Omri , Ariel University
Gabriel Nivasch , Ariel University
Lee-Ad Gottlieb , Ariel University
Mira Gonen , Ariel University
Noam Hazon , Ariel University
Ofir Pele , Ariel University
Vadim E. Levit , Ariel University
Adam Doupé , Arizona State University
Andréa W. Richa , Arizona State University
Arunabha Sen , Arizona State University
Aviral Shrivastava , Arizona State University
Baoxin Li , Arizona State University
Brian C. Nelson , Arizona State University
Carole-Jean Wu , Arizona State University
Charles J. Colbourn , Arizona State University
Charles Joseph Colbourn , Arizona State University
Chitta Baral , Arizona State University
Erin Walker , Arizona State University
Gail-Joon Ahn , Arizona State University
Georgios E. Fainekos , Arizona State University
