name,year
Robert B. Schnabel,2010
Robert Constable,1995
Robert E. Kahn,2001
Robert E. Tarjan,1994
Robert Harper,2005
Robert J.K. Jacob,2016
Robert Kleinberg,2021
Robert Kraut,2011
Robert L. Glass,1999
Robert L. Grossman,2016
Robert M. Frankston,1994
Robert M. Graham,1996
Robert Morris,2014
Robert S. Cartwright,1998
Robert Schreiber,2012
Robert Sedgewick,1997
Robert T. Braden,1999
Robert W. Floyd,1994
Robert W. Taylor,1994
Robert Wilensky,1997
Roberto Tamassia,2012
Robin R. Murphy,2019
Robin Williams,2000
Roch Guerin,2006
Rodney A. Brooks,2005
Rodney Downey,2007
Roger M. Needham,1994
Roger R. Bate,1997
Ron Cytron,2010
Ron Perrott,1997
Ron Shamir,2012
Ronald F. Boisvert,2019
Ronald Fagin,2000
Ronald J. Brachman,1999
Ronald L. Graham,1999
Ronald L. Rivest,1994
Ronald M. Baecker,2011
Ronald M. Kaplan,1994
Ronitt Rubinfeld,2014
Rosalind Wright Picard,2021
Roy F. Rada,1995
Roy Levin,2008
Roy Want,2005
Ruby B. Lee,2001
Rudrapatna K. Shyamasundar,2009
Ruzena Bajcsy,1996
Ryen W. White,2021
S. E. Robertson,2013
S. Lakshmivarahan,1995
S. Muthukrishnan,2010
S. Sudarshan,2014
SATOSHI MATSUOKA,2011
Sachin S. Sapatnekar,2016
Salil Vadhan,2018
Sally J. Floyd,2001
Salvatore J. Stolfo,2019
Sam H. Noh,2020
Saman Amarasinghe,2019
Sambasiva Kosaraju,1995
Samir Khuller,2022
Sampath Kumar Kannan,2013
Samson Abramsky,2014
Samuel Madden,2020
Sandhya Dwarkadas,2018
Sandy Irani,2022
Sanjay Ghemawat,2020
Sanjeev Arora,2008
Sanjeev Khanna,2018
Sanjit Arunkumar Seshia,2020
Santosh Vempala,2015
Sara Kiesler,2010
Sarit Kraus,2014
Sarita Adve,2010
Sartaj K. Sahni,1996
Satish Rao,2013
Saul Greenberg,2012
Scott J. Aaronson,2019
Scott J. Shenker,2003
Scott Kirkpatrick,2011
Scott Mahlke,2020
Scott Smolka,2021
Sebastian Elbaum,2022
Serge Abiteboul,2011
Sethuraman Panchanathan,2020
Seymour J. Wolfson,1994
Shafi Goldwasser,2017
Shahid H. Bokhari,2000
Shamkant Navathe,2014
Shang-Hua Teng,2009
Sharad Malik,2014
Sharon Oviatt,2016
Shaz Qadeer,2021
Sheila McIlraith,2019
Shih Fu Chang,2017
Shlomo Zilberstein,2021
Shmuel Sagiv,2015
Shmuel Winograd,1994
Shubu Mukherjee,2011
Shuicheng Yan,2020
Shumin Zhai,2010
Shwetak N. Patel,2016
Sidney Karin,2002
Silvio Micali,2017
Simon L. Peyton-Jones,2004
Simon S. Lam,1998
Simson L. Garfinkel,2012
Sitharama Iyengar,2001
Somesh Jha,2016
Songwu Lu,2019
Srdjan Capkun,2019
Srinivas Aluru,2020
Srinivas Devadas,2014
Srinivasan Keshav,2012
Srinivasan Seshan,2019
Sriram Rajamani,2015
Stamatis Vassiliadis,2004
Stanley Zdonik,2006
Stefan Savage,2010
Stefano Ceri,2013
Stefano Soatto,2022
Stephen A. Cook,2008
Stephen Blackburn,2016
Stephen Bourne,2005
Stephen Dunwell,1994
Stephen J. Whittaker,2014
Stephen Keckler,2011
Stephen S. Lavenberg,1994
Stephen T. Kent,1998
Stephen Trimberger,2010
Steve Marschner,2021
Steve Seitz,2017
Steven Feiner,2018
Steven Gribble,2020
Steven H. Low,2020
Steven Michael Hand,2017
Steven Salzberg,2020
Steven Scott,2012
Stuart Feldman,1995
Stuart K. Card,2000
Stuart Russell,2003
Stuart Shieber,2014
Stuart Wecker,1994
Stuart Zweben,1998
Subbarao Kambhampati,2019
Subhash Suri,2010
Subhasish Mitra,2014
Sudipta Sengupta,2016
Suman Banerjee,2020
Sumi Helal,2022
Sung Mo Kang,2001
Sunita Sarawagi,2021
Surajit Chaudhuri,2005
Susan B. Davidson,2001
Susan Dray,2017
Susan Eggers,2002
Susan H. Nycum,1998
Susan L. Graham,1994
Susan Landau,2011
Susan S. Owicki,1994
Susan T. Dumais,2006
Susanne E. Hambrusch,2020
Sushil Jajodia,2021
Sven Koenig,2020
Szymon Rusinkiewicz,2021
T. V. Lakshman,2005
TRN Rao,1996
Tajana Rosing,2021
Takao Nishizeki,1996
Takeo Kanade,1999
Tal Rabin,2017
Tamal K. Dey,2018
Tamara G. Kolda,2019
Tandy Warnow,2015
Tanzeem Choudhury,2021
Tao Jiang,2007
Tao Xie,2021
Tarek Abdelzaher,2019
Tei-Wei Kuo,2015
Terry Winograd,2009
Tetsuo Asano,2001
Thomas A. D'Auria,1994
Thomas A. Henzinger,2006
Thomas Anderson,2005
Thomas B. Steel,1994
Thomas Ball,2011
Thomas D. Erickson,2009
Thomas DeFanti,1994
Thomas E. Kurtz,1994
Thomas Eiter,2020
Thomas Funkhouser,2018
Thomas G. Dietterich,2002
Thomas L. Dean,2009
Thomas Lengauer,2021
Thomas Moran,2003
Thomas Reps,2005
Thomas Zimmermann,2021
Thorsten Joachims,2014
Tian He,2018
Tie-Yan Liu,2021
Tim Finin,2018
Tim Sherwood,2022
Timoleon Sellis,2013
Timothy Alden Davis,2014
Timothy Chan,2019
Timothy Pinkston,2019
Timothy Roscoe,2013
Toby Walsh,2020
Todd C. Mowry,2016
Tom Hull,1994
Tom Leighton,2018
Tom Rodden,2014
Tomas Lozano-Perez,2017
Toniann Pitassi,2018
Torsten Hoefler,2022
Toshihide Ibaraki,1999
Tova Milo,2012
Tracy Camp,2012
Trevor Mudge,2016
Tse-Yun Feng,1994
Tuomas Sandholm,2008
Ueli M. Maurer,2015
Umesh Vazirani,2005
Umeshwar Dayal,2008
Uri Weiser,2005
Urs Hoelzle,2009
Usama M. Fayyad,2006
Utpal Banerjee,2007
Uzi Vishkin,1996
Val Tannen,2013
Valerie King,2014
Valerie Taylor,2016
Vaughan Ronald Pratt,1997
Venkat Rangan,1998
Venkata Padmanabhan,2016
Venkatesan Guruswami,2017
Venu Govindaraju,2009
Vern Paxson,2006
Vicki Hanson,2004
Victor Bahl,2003
Victor Basili,1997
Victor Miller,2015
Victor Vianu,2006
Vijay P. Bhatkar,2009
Vijay V. Vazirani,2005
Vijaykrishnan Narayanan,2014
Vikram Adve,2014
Viktor Prasanna,2007
Vincent Conitzer,2019
Vinton Cerf,1994
Vipin Kumar,2005
Vishal Misra,2018
Vishwani D. Agrawal,2002
Vivek Sarkar,2008
Volker Markl,2020
Walter Carlson,1994
Walter F. Tichy,2012
Walter Willinger,2005
Wang Yi,2020
Wang-Chiew Tan,2015
Watts S. Humphrey,2008
Wei Wang,2020
Wen Gao,2013
Wen-Mei Hwu,2002
Wendi Beth Heinzelman,2018
Wendy A. Kellogg,2002
Wendy Elizabeth Mackay,2019
Wendy Hall,2010
Wenfei Fan,2012
Wenke Lee,2017
Wenping Wang,2021
Wenwu Zhu,2022
Wesley Kent Fuchs,2000
Whitfield Diffie,2020
Wil Van Der Aalst,2020
William A. Wulf,1994
William A.S. Buxton,2008
William B. Poucher,1994
William D. Gropp,2006
William Dally,2002
William Daniel Hillis,1994
William F. Atchison,1994
William Freeman,2016
William Kahan,1994
William Richards Adrion,1996
William Sanders,2003
William Strecker,1994
Willis H. Ware,1994
Willy E. Zwaenepoel,2000
Witold Litwin,2001
Won Kim,1995
Xavier Leroy,2015
Xiangyang Li,2019
Xiaobo Sharon Hu,2021
Xiaodong Zhang,2012
Xiaotie Deng,2008
Xilin Chen,2019
Xuedong Huang,2016
Xuelong LI,2020
Yale Patt,2001
Yannis Ioannidis,2004
Yao-Wen Chang,2020
Yi Ma,2017
Yi-Bing Lin,2003
Yiran Chen,2020
Yishay Mansour,2014
Yizhou Yu,2022
Yoav Shoham,2012
Yoelle Maarek,2013
Yolanda Gil,2016
Yong Rui,2017
Yorick Wilks,2009
Yossi Matias,2009
Yuan Xie,2019
Yuanyuan Zhou,2013
Yufei Tao,2020
Yuguang Fang,2022
Yunhao Liu,2015
Yuri Breitbart,2001
Yuri Gurevich,1997
Yvonne Rogers,2017
Zachary Ives,2021
Zehra Ozsoyoglu,2011
Zhendong Su,2022
Zhengyou Zhang,2013
Zhi-Hua Zhou,2016
Zohar Manna,1994
Zvi Galil,1995
Zvi Kedem,1997
Zygmunt J. Haas,2021
