A. C. W. Finkelstein,Anthony Finkelstein
David Corne,David W. Corne
David Culler,David E. Culler
David D. Feng,David Dagan Feng
David Dapeng Zhang,David Zhang 0001
David Duvenaud,David K. Duvenaud
David E. Evans 0001,David Evans 0001
David Emory Irwin,David E. Irwin
David F. Kotz,David Kotz
David F. Manlove,David Manlove
David Feng,David Dagan Feng
David Gifford 0001,David K. Gifford
David Greaves,David J. Greaves
David Green 0002,David G. Green
David H. C. Du,David Hung-Chang Du
David J. Feil-Seifer,David Feil-Seifer
David J. Gavaghan,David Gavaghan
David J. Mostow,Jack Mostow
David John Hawkes,David J. Hawkes
David Juedes,David W. Juedes
David Kaeli,David R. Kaeli
David L. Poole,David Poole 0001
David Leake,David B. Leake
David Martinus Johannes Tax,David M. J. Tax
David Mimno,David M. Mimno
David Orville Johnson,David O. Johnson
David Pearce 0005,David J. Pearce
David Squire,David McG. Squire
David T. Blaauw,David Blaauw
David W. Cordes,David Cordes
David Wishart,David S. Wishart
David Wolfe Corne,David W. Corne
Dawn E. Wilkins,Dawn Wilkins
Dawn T. MacIsaac,Dawn MacIsaac
DeLiang L. Wang,DeLiang Wang
Dean Hendrix,T. Dean Hendrix
Deepankar Medhi,Deep Medhi
Deh Cac Can,David Naccache
Demetrios Achlioptas,Dimitris Achlioptas
Denis F. Wolf,Denis Fernando Wolf
Deniz Turgay Altilar,D. Turgay Altilar
Dennis E. Shasha,Dennis Shasha
Dennis Elliot Shasha,Dennis Shasha
Derek Gordon Corneil,Derek G. Corneil
Derek Reilly,Derek F. Reilly
Derry Tanti Wijaya,Derry Wijaya
Deshen Moodley,Deshendran Moodley
Devorah Gurwitz Kletenik,Devorah Kletenik
Dexter Campbell Kozen,Dexter Kozen
Dharanipragada Janakiram,D. Janaki Ram
Diana Francisca Adamatti,Diana F. Adamatti
Diana Zaiu Inkpen,Diana Inkpen
Diane Joyce Cook,Diane J. Cook
Diego Martinez Plasencia,Diego Martínez 0001
Diego Martínez Plasencia,Diego Martínez 0001
Diego Pérez-Liébana,Diego Perez Liebana
Diego Raphael Amancio,Diego R. Amancio
Dieter Zoebel,Dieter Zöbel
Dileep Aroor Dinesh,Aroor Dinesh Dileep
Dilma M. Da Silva,Dilma Da Silva
Dilvan A. Moreira,Dilvan de Abreu Moreira
Dimitra I. Kaklamani,Dimitra-Theodora I. Kaklamani
Dimitrios Pezaros,Dimitrios P. Pezaros
Dimitrios Soudris,D. J. Soudris
Dimitris Askounis,Dimitrios Askounis
Dimitris Fotakis,Dimitris A. Fotakis
Dimitris Koutsouris,Dimitrios D. Koutsouris
Dimitris Makrakis,Dimitrios Makrakis
Dimitris Papailiopoulos,Dimitris S. Papailiopoulos
Dimitris Pezaros,Dimitrios P. Pezaros
Dimitris S. Kolovos,Dimitrios S. Kolovos
Dina Duhovny,Dina Schneidman-Duhovny
Dinesh Babu J.,Dinesh Babu Jayagopi
Dionisios N. Pnevmatikatos,Dionisis N. Pnevmatikatos
Divanilson R. Campelo,Divanilson Campelo
Divy Agrawal,Divyakant Agrawal
Dmitry Ponomarev,Dmitry V. Ponomarev
Dolores DeGroff,Dolores F. De Groff
Domenico Parente,Mimmo Parente
Dominic Orchard,Dominic A. Orchard
Dominik L. Michels,Dominik Ludewig Michels
Don Adjeroh,Donald A. Adjeroh
Don Fussell,Donald S. Fussell
Don Mitchell Wilkes,D. Mitchell Wilkes
Don Perlis,Donald Perlis
Donald Asogu Adjeroh,Donald A. Adjeroh
Donald C. Wunsch,Donald C. Wunsch II
Donald F. Towsley,Don Towsley
Donald Greenberg,Donald P. Greenberg
Donald R. Sheehy,Don Sheehy
Donald Sheehy,Don Sheehy
Donald Wunsch,Donald C. Wunsch II
Donna Cox,Donna J. Cox
Dorgival Olavo Guedes Neto,Dorgival O. Guedes
Doron Peled,Doron A. Peled
Doug Sicker,Douglas C. Sicker
Douglas E. Comer,Douglas Comer
Douglas Leslie Maskell,Douglas L. Maskell
Douglas Richard Hofstadter,Douglas Hofstadter
Drew Bagnell,J. Andrew Bagnell
Drew V. McDermott,Drew McDermott
Du Huynh,Du Q. Huynh
Duen Horng (Polo) Chau,Duen Horng Chau
Duncan D. A. Ruiz,Duncan Dubugras Alcoba Ruiz
Duncan D. Ruiz,Duncan Dubugras Alcoba Ruiz
Duncan Dubugras A. Ruiz,Duncan Dubugras Alcoba Ruiz
Duncan Gillies,Duncan Fyfe Gillies
Duncan M. Hank Walker,D. M. H. Walker
Dylan Shell,Dylan A. Shell
Débora C. Muchaluat,Débora C. Muchaluat-Saade
Débora Christina Muchaluat-Saade,Débora C. Muchaluat-Saade
E. C. Xavier,Eduardo C. Xavier
E. J. Yannakoudakis,Emmanuel J. Yannakoudakis
E. N. Cáceres,Edson Cáceres
Ebru Aydin Göl,Ebru Aydin Gol
Ed Lazowska,Edward D. Lazowska
Eddy Zheng Zhang,Eddy Z. Zhang
Edith L. M. Law,Edith Law
Edith Spaan,Edith Hemaspaandra
Edmundo Albuquerque de Souza e Silva,Edmundo de Souza e Silva
Edmundo R. M. Madeira,Edmundo Roberto Mauro Madeira
Edoardo S. Biagioni,Edoardo Biagioni
Edson Norberto Cáceres,Edson Cáceres
Edson Prestes,Edson Prestes e Silva Jr.
Eduard Ayguadé Parra,Eduard Ayguadé
Eduard C. Dragut,Eduard Constantin Dragut
Eduard Gröller,M. Eduard Gröller
Eduardo Candido Xavier,Eduardo C. Xavier
Eduardo Magno Lages Figueiredo,Eduardo Figueiredo
Eduardo Nunes Borges,Eduardo N. Borges
Eduardo Raul Hruschka,Eduardo R. Hruschka
Edward Alan Fox,Edward A. Fox
Edward John Briscoe,Ted Briscoe
Edwin Robert Hancock,Edwin R. Hancock
Efstathios D. Sykas,Eystathios D. Sykas
Efstratios Viglas,Stratis Viglas
Eftichis Sifakis,Eftychios Sifakis
Eileen T. Kraemer,Eileen Kraemer
Elaine May Huang,Elaine M. Huang
Elaine Parros Machado de Sousa,Elaine P. M. de Sousa
Elaine R. Faria,Elaine Ribeiro de Faria
Elaine Runting Shi,Elaine Shi
Elaine Schaertl Short,Elaine Short
Elena Glassman,Elena L. Glassman
Elena Leah Glassman,Elena L. Glassman
Eli Bozorgzadeh,Elaheh Bozorgzadeh
Eliot Moss,J. Eliot B. Moss
Elissa M. Weeden,Elissa Weeden
Elizabeth M. Belding,Elizabeth M. Belding-Royer
Elizabeth M. Royer,Elizabeth M. Belding-Royer
Ellen F. Barbosa,Ellen Francine Barbosa
Elmootazbellah (Mootaz) Elnozahy,E. N. Elnozahy
Emery Berger,Emery D. Berger
Emil Constantine Lupu,Emil C. Lupu
Emil Lupu,Emil C. Lupu
Emily Hand,Emily M. Hand
Emily Morgan Hand,Emily M. Hand
Emily Mower,Emily Mower Provost
Emmanouel A. Varvarigos,Emmanouel Manos Varvarigos
Emmanuel O. Agu,Emmanuel Agu
Emo Todorov,Emanuel Todorov
En-Hong Chen,Enhong Chen
Eng Siong Chng,Chng Eng Siong
Engsiong Chng,Chng Eng Siong
Enkelejda Tafaj,Enkelejda Kasneci
Eno Tonisson,Eno Tõnisson
Enrique Carlos Segura Meccia,Enrique Carlos Segura
Erhard Ploedereder,Erhard Plödereder
Eric Andre Martin,Eric Martin 0002
Eric Aubanel,Eric E. Aubanel
Eric C. Price,Eric Price
Eric E. Gilbert,Eric Gilbert
Eric Fosler,Eric Fosler-Lussier
Eric G. Mercer,Eric Mercer
Eric John Koskinen,Eric Koskinen
Eric P. S. Baumer,Eric Baumer
Eric Po Xing,Eric P. Xing
Eric Xing,Eric P. Xing
Eric Yu 0001,Eric S. K. Yu
Erickson R. Nascimento,Erickson Rangel do Nascimento
Erickson R. do Nascimento,Erickson Rangel do Nascimento
Erik G. Miller,Erik G. Learned-Miller
Erik Gundersen Miller,Erik G. Learned-Miller
Erik L. Andersen,Erik Andersen
Erik S. Perrins,Erik Perrins
Erika Ábrahám-Mumm,Erika Ábrahám
Erin L. Brady,Erin Brady
Erin Treacy Solovey,Erin Solovey
Erwin P. Böttinger,Erwin P. Bottinger
Esat Belviranli,Mehmet E. Belviranli
Esra Fawaz Ahmad Alzaghoul,Esra Alzaghoul
Esteban Clua,Esteban Walter Gonzalez Clua
Ethel Chua Joy Ong,Ethel Ong
Ethel Chuajoy Ong,Ethel Ong
Euee Seon Jang,Euee S. Jang
Eugenia Ternovskaia,Eugenia Ternovska
Euijong Whang,Steven Euijong Whang
Eunjung Kim 0001,Eun Jung Kim 0001
Eva Kalyvianaki,Evangelia Kalyvianaki
Evan M. Drumwright,Evan Drumwright
Eve Elizabeth Hoggan,Eve E. Hoggan
Evgueni Nikolaevich Smirnov,Evgueni N. Smirnov
F. R. K. Chung,Fan Chung Graham
F. Y. Young,Evangeline F. Y. Young
Fabian E. Bustamante,Fabián E. Bustamante
Fabian Wirth,Fabian R. Wirth
Fabiano A. Dorça,Fabiano Azevedo Dorça
Fabiano Passuelo Hessel,Fabiano Hessel
Fabio Ramos,Fabio Tozeto Ramos
Fabio T. Ramos,Fabio Tozeto Ramos
Fabrício Benevenuto de Souza,Fabrício Benevenuto
Fahad Rafique Dogar,Fahad R. Dogar
Faith E. Fich,Faith Ellen
Faith Ellen Fich,Faith Ellen
Faith Fich,Faith Ellen
Fan Chung,Fan Chung Graham
Fan R. K. Chung,Fan Chung Graham
Faramarz Samavati,Faramarz F. Samavati
Farhad Ahani Kamangar,Farhad Kamangar
Farookh Hussain,Farookh Khadeer Hussain
Farzad Farnoud Hassanzadeh,Farzad Farnoud
Fatih Murat Porikli,Fatih Porikli
Fatima Abu Salem,Fatima K. Abu Salem
Fatos Tünay Yarman Vural,Fatos T. Yarman-Vural
Felipe M. G. França,Felipe Maia Galvão França
Felipe Rech Meneguzzi,Felipe Meneguzzi
Fernanda Gusmão de Lima,Fernanda Gusmão de Lima Kastensmidt
Fernanda Lima Kastensmidt,Fernanda Gusmão de Lima Kastensmidt
Fernando Castor,Fernando Castor Filho
Fernando De la Rosa,Mario Fernando De La Rosa-Rosero
Fernando Esteban Barril Otero,Fernando E. B. Otero
Fernando José Castor de Lima Filho,Fernando Castor Filho
Fernando Manuel Valente Ramos,Fernando M. V. Ramos
Fernando Moraes,Fernando Gehm Moraes
Fikret Gürgen,Fikret S. Gürgen
Finale Doshi,Finale Doshi-Velez
Fish Wang,Ruoyu Wang 0001
Flavio Keidi Miyazawa,Flávio Keidi Miyazawa
Flavio Vinicius Diniz de Figueiredo,Flavio Figueiredo
Flavio de Figueiredo,Flavio Figueiredo
Flora D. Salim,Flora Dilys Salim
Flora Salim,Flora Dilys Salim
Florante R. Salvador,Florante Salvador
Florian Kammueller,Florian Kammüller
Flávio de Oliveira Silva,Flávio Oliveira Silva
Fran Berman,Francine Berman
Francesco A. N. Palmieri,Francesco Palmieri
Francis Bach,Francis R. Bach
Francis Bu-Sung Lee,Bu-Sung Lee
Frank A. Drews,Frank Drews
Frank D. Wood,Frank Wood
Frank K. H. A. Dehne,Frank Dehne
Frank L. Merat,Francis L. Merat
Frank Shipman,Frank M. Shipman III
Frank Yeong-Chyang Shih,Frank Y. Shih
Frank Z. Wang,Frank Wang
Frank Zhigang Wang,Frank Wang
Franklin de Lima Marquezino,Franklin L. Marquezino
Frans Adriaan Oliehoek,Frans A. Oliehoek
Franz W. Leberl,Franz Leberl
François Bry-Haußer,François Bry
Fred Brown,Alfred L. Brown
Fred Chong,Frederic T. Chong
Fred G. Martin,Fred Martin
Frederic Desprez,Frédéric Desprez
Frederick R. M. Barnes,Fred R. M. Barnes
Fuhua Cheng,Fuhua (Frank) Cheng
Fung Yu Young,Evangeline F. Y. Young
Furao Shen,Shen Furao
Félix J. García,Félix J. García Clemente
G. P. S. Raghava,Gajendra P. S. Raghava
G. Stefano Sukhatme,Gaurav S. Sukhatme
Gabe T. Sibley,Gabe Sibley
Gabi Dreo,Gabi Dreo Rodosek
Gabriel Elkaim,Gabriel Hugh Elkaim
Gabriel Luca Nazar,Gabriel L. Nazar
Gabriel López,Gabriel López Millán
Gabriel Tsechpenakis,Gavriil Tsechpenakis
Gabriele E. Danninger-Uchida,Gabriele Uchida
Gajendra Pal Singh Raghava,Gajendra P. S. Raghava
Garimella Ramamurthy,Garimella Rama Murthy
Garrett Steven Rose,Garrett S. Rose
Gary Gréwal,Gary William Grewal
Gavrill Tsechpenakis,Gavriil Tsechpenakis
Gene Spafford,Eugene H. Spafford
Genoveffa Tortora,Genny Tortora
Geoff Bowker,Geoffrey C. Bowker
Geoff Kaufman,Geoff F. Kaufman
Geoff Nitschke,Geoff S. Nitschke
Geoff Stuart Nitschke,Geoff S. Nitschke
Geoff Voelker,Geoffrey M. Voelker
Geoffrey Charles Fox,Geoffrey C. Fox
Geoffrey Holmes,Geoff Holmes
Geoffrey S. Smith,Geoffrey Smith
Geoffrey Werner Challen,Geoffrey Challen
George Darmiton da Cunha Cavalcanti,George D. C. Cavalcanti
George Luiz Medeiros Teodoro,George Teodoro
George Parissis,George Parisis
George R. Buchanan,George Buchanan
George Robert Buchanan,George Buchanan
George Traian Amariucai,George T. Amariucai
George Turkiyyah,George M. Turkiyyah
George Tziritas,Georgios Tziritas
Georgeta Elisabeta Marai,G. Elisabeta Marai
Georgi Nedeltchev Gaydadjiev,Georgi Gaydadjiev
Georgios A. Dafoulas,George A. Dafoulas
Georgios Fainekos,Georgios E. Fainekos
Georgios I. Goumas,George I. Goumas
Gerald B. Baumgartner,Gerald Baumgartner
Gerald Jay Sussman,Gerald J. Sussman
Geraldo Bonorino Xexéo,Geraldo Xexéo
Geraldo R. Mateus,Geraldo Robson Mateus
Geraldo Zimbrao,Geraldo Zimbrão
Geraldo Zimbrão da Silva,Geraldo Zimbrão
Gerard J. Kim,Gerard Jounghyun Kim
Gerhard Hirzinger,Gerd Hirzinger
Germán Bravo,Germán Enrique Bravo Córdoba
Gernot R. Müller,Gernot R. Müller-Putz
Geunbae Lee,Gary Geunbae Lee
Ghazanfar Asadi,Hossein Asadi
Gil A. Tidhar,Gil Tidhar
Gil D. Marques,G. D. Marques
Gina M. B. Oliveira,Gina Maira Barbosa de Oliveira
Giorgos B. Stamou,Giorgos Stamou
Giorgos Gousios,Georgios Gousios
Giovanni V. Comarela,Giovanni Comarela
Gisele Lobo Pappa,Gisele L. Pappa
Gita Sukthankar,Gita Reese Sukthankar
Giuseppe Antonio Di Lucca,Giuseppe A. Di Lucca
Glenn D. Reinman,Glenn Reinman
Godmar V. Back,Godmar Back
Gokhan Bilgin,Gökhan Bilgin
Gonçalo Tavares,Gonçalo Nuno Gomes Tavares
Gopalakrishnan Srinivasaraghavan,G. Srinivasaraghavan
Gordon S. Novak Jr.,Gordon S. Novak
Gorur Narayana Srinivasa Prasanna,G. N. Srinivasa Prasanna
Gozde B. Unal,Gözde B. Ünal
Grace Rumantir,Grace W. Rumantir
Grant Robert Schoenebeck,Grant Schoenebeck
Greg Butler,Gregory Butler
Greg Ganger,Gregory R. Ganger
Greg Morrisett,J. Gregory Morrisett
Greg Shakhnarovich,Gregory Shakhnarovich
Greg W. Wasilkowski,Grzegorz W. Wasilkowski
Gregoris Mentzas,Gregory Mentzas
Gregory F. Welch,Greg Welch
Gregory Wadley,Greg Wadley
Guenther Ruhe,Günther Ruhe
Guido Araújo,Guido Araujo
Guilherme H. Travassos,Guilherme Horta Travassos
Guilherme Travassos,Guilherme Horta Travassos
Gul Agha,Gul A. Agha
Guo-Hui Lin,Guohui Lin
Guojun Qi,Guo-Jun Qi
Guoqing Harry Xu,Guoqing (Harry) Xu
Gustavo Enrique De Almeida Prado Alves Batista,Gustavo E. A. P. A. Batista
Gusz Eiben,A. E. Eiben
Guszti Eiben,A. E. Eiben
Gökhan Ince,Gokhan Ince
Günther Raidl,Günther R. Raidl
H. Altay Güvenir,H. Altay Guvenir
H. Bast 0001,Hannah Bast
H. L. Graham,Ronald L. Graham
H. M. M. van de Wetering,Huub van de Wetering
H. T. Mouftah,Hussein T. Mouftah
Hady W. Lauw,Hady Wirawan Lauw
Haidar Harmanani,Haidar M. Harmanani
Haim Shvaytser,Haim Schweitzer
Haiyan Lu,Helen Lu
Haiying (Helen) Shen,Haiying Shen
Hal Abelson,Harold Abelson
Haluk Bingöl,Haluk Bingol
Haluk O. Bingol,Haluk Bingol
Hamed Hassani,Seyed Hamed Hassani
Hamid Reza Arabnia,Hamid R. Arabnia
Hamid Reza Rabiee,Hamid R. Rabiee
Hanan Lutfi Lutfiyya,Hanan Lutfiyya
Hande Özgür Alemdar,Hande Alemdar
Hank Hoffmann,Henry Hoffmann
Hank Korth,Henry F. Korth
Hank Levy,Henry M. Levy
Hans Jörg Müller,Jörg Müller
Hans Michael Gerndt,Michael Gerndt
Hans Peter Reiser,Hans P. Reiser
Hans Werner Guesgen,Hans W. Guesgen
Hans-Werner Güsgen,Hans W. Guesgen
Hansen Andrew Schwartz,H. Andrew Schwartz
Hany Girgis,Hani Girgis
Hao (Richard) Zhang,Hao Zhang 0002
Harold Castro,Harold E. Castro
Harold Vincent Poor,H. Vincent Poor
Harshavardhan Chenji,Harsha Chenji
Hasan Jamil,Hasan M. Jamil
Hassan A. Artail,Hassan Artail
Hassan Ali Artail,Hassan Artail
Hassan Farhat,Hassan A. Farhat
Hassan Ghasemzadeh Mohammadi,Hassan Ghasemzadeh
Hatice Kose,Hatice Kose-Bagci
Hatice Köse,Hatice Kose-Bagci
He He,He He 0001
Heather Anne Crawford,Heather Crawford
Heather Zheng,Haitao Zheng 0001
Heinrich Hussmann,Heinrich Hußmann
Heinrich-Wilhelm Schmidt,Heinz W. Schmidt
Helen Wright Hastie,Helen F. Hastie
Helena Sofia Andrade N. P. Pinto,Helena Sofia Pinto
Hemanta Kumar Maji,Hemanta K. Maji
Henning Koehler,Henning Köhler
Henrik I. Christensen,Henrik Iskov Christensen
Henry R. Childs,Hank Childs
Heon Y. Yeom,Heon Young Yeom
HeonChang Yu,Heon-Chang Yu
Hermann Haertig,Hermann Härtig
Hermann Maurer,Hermann A. Maurer
Herna Lydia Viktor,Herna L. Viktor
Herna Viktor,Herna L. Viktor
Hervé Lombaert,Herve Lombaert
Hezy Yeshurun,Yehezkel Yeshurun
Hilda Tellioglu,Hilda Tellioğlu
Ho-Kwok Dai,H. K. Dai 0001
Hock Soon Seah,Seah Hock Soon
Holger Hoos,Holger H. Hoos
Hon-Wai Leong,Hon Wai Leong
Hong Q. Ding,Chris H. Q. Ding
Hong-Tao Lu,Hongtao Lu
Hosagrahar Visvesvaraya Jagadish,H. V. Jagadish
Hossam H. Hassanein,Hossam S. Hassanein
Hsiang-Ting Chen,Tim Chen
Hsiang-Tsung Kung,H. T. Kung
Hsin-Mu Michael Tsai,Hsin-Mu Tsai
Hubert Comon,Hubert Comon-Lundh
Hugo M. Miranda,Hugo Miranda
Hui Gary Zhang,Hui Zhang 0005
Hui Lv 0001,Hui Lu 0001
Hui Wang 0013,Wendy Hui Wang
Hui Yang 0001,Grace Hui Yang
Huijia (Rachel) Lin,Huijia Lin
Hung M. La,Hung Manh La
Hung Quang Ngo,Hung Q. Ngo 0001
Huseyin Levent Akin,H. Levent Akin
Huub M. M. van de Wetering,Huub van de Wetering
Huy L. Nguyên,Huy L. Nguyen
Huy Le Nguyen,Huy L. Nguyen
Hwee-Pink Tan,Hwee Pink Tan
Hye-Chung (Monica) Kum,Hye-Chung Kum
Hye-Young Helen Paik,Hye-Young Paik
Hye-young Paik,Hye-Young Paik
Héctor Muñoz-Avila,Hector Muñoz-Avila
Hélio Côrtes Vieira Lopes,Hélio Lopes
I. Emre Telatar,Emre Telatar
I. J. Bate,Iain Bate
Iain John Bate,Iain Bate
Iain Phillips 0001,Iain C. C. Phillips
Iain Phillips,Iain C. C. Phillips
Ian David Bede Stark,Ian Stark
Ian David Reid,Ian D. Reid 0001
Ian Douglas Horswill,Ian Horswill
Ian E. Pratt,Ian Pratt-Hartmann
Ian James Wassell,Ian J. Wassell
Ian Mitchell,Ian M. Mitchell
Ian N. Davidson,Ian Davidson
Ian Pratt 0002,Ian Pratt-Hartmann
Ian S. Welch,Ian Welch
Iasonas Polakis,Jason Polakis
Ibrahim Abe M. Elfadel,Ibrahim M. Elfadel
Ibrahim Körpeoglu,Ibrahim Korpeoglu
Ibéria Medeiros,Iberia Medeiros
Igor Fabio Steinmacher,Igor Steinmacher
Igor Monteiro Moraes,Igor M. Moraes
Igor V. Pivkin,Igor Pivkin
Ihab Francis Ilyas,Ihab F. Ilyas
Ilias Manolakos,Elias S. Manolakos
Illah Reza Nourbakhsh,Illah R. Nourbakhsh
Ilyas Çiçekli,Ilyas Cicekli
Imad Elhajj,Imad H. Elhajj
Imre Risi Kondor,Risi Kondor
In So Kweon,In-So Kweon
Ina Schäfer,Ina Schaefer
Inald Lagendijk,Reginald L. Lagendijk
Ingemar Johansson Cox,Ingemar J. Cox
Ingolf H. Krüger,Ingolf Krüger
Ingolf Krueger,Ingolf Krüger
Ingrid M. R. Verbauwhede,Ingrid Verbauwhede
Inna V. Pivkina,Inna Pivkina
Inso Kweon,In-So Kweon
Ioannis Georgiou Katakis,Ioannis Katakis
Ioannis Panagakis,Yannis Panagakis
Ioannis Pavlidis,Ioannis T. Pavlidis
Ira Kemelmacher,Ira Kemelmacher-Shlizerman
Isabel Maria Cacho Teixeira,Isabel C. Teixeira
Ishwar Krishan Sethi,Ishwar K. Sethi
Islene Calciolari Garcia,Islene C. Garcia
Ismail H. Toroslu,Ismail Hakki Toroslu
Ismail Sengor Altingovde,Ismail Sengör Altingövde
Ivan Bjerre Damgård,Ivan Damgård
Ivan I. Garibary,Ivan Garibay
Ivan I. Garibay,Ivan Garibay
Ivana Cerna,Ivana Cerná
Ivor Wai-Hung Tsang,Ivor W. Tsang
Iván Herman,Ivan Herman
J. A. dos Santos,Jefersson Alex dos Santos
J. Bret Michael,James Bret Michael
J. C. P. Woodcock,Jim Woodcock
J. Doug Tygar,J. D. Tygar
J. Eric Fosler,Eric Fosler-Lussier
J. G. Tanenbaum 0001,Theresa Jean Tanenbaum
J. H. M. Lee,Jimmy Ho-Man Lee
J. I. den Hartog,Jerry den Hartog
J. Kenneth Salisbury,John Kenneth Salisbury Jr.
J. M. Akkermans,Hans Akkermans
J. Nathan Foster,Nate Foster
J. Strother Moore,J Strother Moore
Jack A. Stankovic,John A. Stankovic
Jack Dongarra,Jack J. Dongarra
Jack M. Carroll,John M. Carroll
Jack van Wijk,Jarke J. van Wijk
Jacky Hansjoerg Baltes,Jacky Baltes
Jacob White,Jacob K. White
Jacob William Crandall,Jacob W. Crandall
Jaelson Castro,Jaelson Brelaz de Castro
Jaelson Freire Brelaz de Castro,Jaelson Brelaz de Castro
Jagannathan Sarangapani,Sarangapani Jagannathan
Jagarlapudi Saketha Nath,J. Saketha Nath
Jaijeet Roychowdhury,Jaijeet S. Roychowdhury
Jaime Delgado Merce,Jaime Delgado
James A. Bagnell,J. Andrew Bagnell
James A. Clause,James Clause
James A. Fogarty,James Fogarty
James Alexander Hendler,James A. Hendler
James Andrew Bagnell,J. Andrew Bagnell
James B. Worrell,James Worrell 0001
James David Laird,James Laird
James E. Davis,James Davis 0001
James E. Young,James Everett Young
James Griffioen,Jim Griffioen
James H. Cross,James H. Cross II
James H. Morris Jr.,James H. Morris
James Harold Davenport,James H. Davenport
James Jenn-Jier Lien,Jenn-Jier James Lien
James Kwangjune Hahn,James K. Hahn
James M. Westall,James Westall
James Matthew Rehg,James M. Rehg
James Richard Curran,James R. Curran
James Stephen Marron,J. S. Marron
James Tin-Yau Kwok,James T. Kwok
James W. Davis,Jim Davis
James W. Hong,James Won-Ki Hong
James W. Mickens,James Mickens
James Weldon Demmel,James Demmel
James Y. Zou,James Zou
Jamie Callan,James P. Callan
Jamie H. Morgenstern,Jamie Morgenstern
Jan B. Pedersen,Jan Bækgaard Pedersen
Jan Cederquist,J. G. Cederquist
Jan F. Prins,Jan Prins
Jan Kretinsky,Jan Kretínský
Jan Oliver Borchers,Jan O. Borchers
Jan P. de Ruiter,Jan Peter de Ruiter
Jan Paul Siebert,J. Paul Siebert
Jan Rutten,Jan J. M. M. Rutten
Jana Kosecká,Jana Kosecka
Janakiram Dharanipragada,D. Janaki Ram
Janet Feigenspan,Janet Siegmund
Jano M. Souza,Jano Moreira de Souza
Janos Makowsky,Johann A. Makowsky
Janus A. Pouwelse,Johan A. Pouwelse
Jaroslaw Nabrzyski,Jarek Nabrzyski
Jaroslaw R. Rossignac,Jarek Rossignac
Jarred Ligatti,Jay Ligatti
Jason Pacheco,Jason L. Pacheco
Jason Power,Jason Lowe-Power
Jason T. L. Wang,Jason Tsong-Li Wang
Javier Cámara Moreno,Javier Cámara
Javier L. Marenco,Javier Marenco
Jay Aslam,Javed A. Aslam
Jay McCarthy,Jay A. McCarthy
Jayanta Mukherjee 0001,Jayanta Mukhopadhyay
Jean Gallier,Jean H. Gallier
Jean Goubault,Jean Goubault-Larrecq
Jean X. Gao,Jean Gao
Jefersson A. dos Santos,Jefersson Alex dos Santos
Jeff Gray,Jeffrey G. Gray
Jeff Linderoth,Jeff T. Linderoth
Jeff Offutt,A. Jefferson Offutt
Jeff Trinkle,Jeffrey C. Trinkle
Jefferson Rodrigo de Souza,Jefferson R. Souza
Jeffery J. Orchard,Jeff Orchard
Jeffrey A. Bilmes,Jeff A. Bilmes
Jeffrey Carver,Jeffrey C. Carver
Jeffrey Dalton 0001,Jeff Dalton 0001
Jeffrey Kramer,Jeff Kramer
Jeffrey L. Overbey,Jeffrey Overbey
Jeffrey Lang,Jeffrey H. Lang
Jeffrey Michael Heer,Jeffrey Heer
Jeffrey O. Shallit,Jeffrey Shallit
Jeffrey Popyack,Jeffrey L. Popyack
Jeffrey T. Linderoth,Jeff T. Linderoth
Jen Rexford,Jennifer Rexford
Jennie Rogers,Jennie Duggan
Jennifer Leopold,Jennifer L. Leopold
Jennifer Waycott,Jenny Waycott
Jens H. Jahnke,Jens H. Weber
Jens H. Weber-Jahnke,Jens H. Weber
Jeremy D. Buhler,Jeremy Buhler
Jeremy H. Holleman,Jeremy Holleman
Jeremy Z. Kolter,J. Zico Kolter
Jeroen J. A. Keiren,Jeroen Keiren
Jerry Spinrad,Jeremy P. Spinrad
Jerónimo Castrillón Mazo,Jerónimo Castrillón
Jessica R. Hullman,Jessica Hullman
Jesus Ángel Velázquez-Iturbide,J. Ángel Velázquez-Iturbide
Jiaguang Sun,Jia-Guang Sun
Jian Lv 0001,Jian Lu 0001
Jian Lü 0001,Jian Lu 0001
Jianhui Tian,Jeff Tian
Jihad Al Ja'am,Jihad Mohamad Jaam
Jihad M. Alja'am,Jihad Mohamad Jaam
Jihad Mohamad Al Ja'am,Jihad Mohamad Jaam
Jihad Mohamad Al'Jaam,Jihad Mohamad Jaam
Jim Austin,James Austin
Jim Canning,James Canning
Jim Demmel,James Demmel
Jim Hendler,James A. Hendler
Jim Hollan,James D. Hollan
Jim Kurose,James F. Kurose
Jim Laird,James Laird
Jim Martin,James J. Martin
Jim McCann,James McCann
Jim R. Larus,James R. Larus
Jim Rehg,James M. Rehg
Jim Warren 0001,James R. Warren
Jim Whitehead,E. James Whitehead Jr.
Jimmy H. M. Lee,Jimmy Ho-Man Lee
Jin-yi Cai,Jin-Yi Cai
Jing (Selena) He,Jing He
Jinsoo Kim 0001,Jin-Soo Kim 0001
Jinyuan Stella Sun,Jinyuan Sun
Jiri Sochor,Jirí Sochor
Jo Iacovides,Ioanna Iacovides
Joan Bruna Estrach,Joan Bruna
Joanna Bergstrom-Lehtovirta,Joanna Bergström
Joanna Bergström-Lehtovirta,Joanna Bergström
Joanna J. Bryson,Joanna Bryson
Joao Meidanis,João Meidanis
Joaquim Armando Pires Jorge,Joaquim A. Jorge
Jochen Jakob Steil,Jochen J. Steil
Jochen Steil,Jochen J. Steil
