name,abbrv,color,coauthored
Changhee Jung,C. Jung,#00bfff,1
Dongyoon Lee,D. Lee,#00bfff,1
Naren Ramakrishnan,N. Ramakrishnan,#32CD32,1
Yang Cao,Y. Cao,#00bfff,1
Anil Vullikanti,A. Vullikanti,#32CD32,1
Chang-Tien Lu,C. Lu,#32CD32,1
Chris North,C. North,#ffc0cb,1
B. Prakash,B. Prakash,#32CD32,1
T. Murali,T. Murali,#ffc0cb,1
Layne Watson,L. Watson,#ffc0cb,1
Calvin Ribbens,C. Ribbens,#00bfff,1
Yong Cao,Y. Cao,#32CD32,1
Wu-chun Feng,W. Feng,#00bfff,1
Clifford Shaffer,C. Shaffer,#ffc0cb,1
Madhav Marathe,M. Marathe,#00bfff,1
Lenwood Heath,L. Heath,#32CD32,1
Danfeng Yao,D. Yao,#00bfff,1
Liqing Zhang,L. Zhang,#32CD32,1
Bert Huang,B. Huang,#32CD32,1
Alexey Onufriev,A. Onufriev,#d3d3d3,1
Godmar Back,G. Back,#00bfff,1
Eli Tilevich,E. Tilevich,#00bfff,1
Kirk Cameron,K. Cameron,#00bfff,1
Adrian Sandu,A. Sandu,#00bfff,1
Edward Fox,E. Fox,#d3d3d3,1
Ali Butt,A. Butt,#00bfff,1
Christopher Barrett,C. Barrett,#00bfff,1
D. McCrickard,D. McCrickard,#ffc0cb,1
Steve Harrison,S. Harrison,#ffc0cb,1
Denis Gracanin,D. Gracanin,#ffc0cb,1
Dennis Kafura,D. Kafura,#d3d3d3,1
Deborah Tatar,D. Tatar,#ffc0cb,1
Osman Balci,O. Balci,#d3d3d3,0
Wenjing Lou,W. Lou,#00bfff,1
Barbara Ryder,B. Ryder,#00bfff,1
Stephen Edwards,S. Edwards,#d3d3d3,1
Csaba Egyhazy,C. Egyhazy,#d3d3d3,0
Ing-Ray Chen,I. Chen,#d3d3d3,1
Doug Bowman,D. Bowman,#ffc0cb,1
Kurt Luther,K. Luther,#ffc0cb,0
