name,abbrv,color,coauthored
Dimitris Achlioptas,D. Achlioptas,#ffff00,0
Charles McDowell,C. McDowell,#d3d3d3,0
Peter Alvaro,P. Alvaro,#00bfff,0
Manfred Warmuth,M. Warmuth,#32CD32,1
David Helmbold,D. Helmbold,#32CD32,1
S. Vishwanathan,S. Vishwanathan,#32CD32,1
Wang Tan,W. Tan,#00bfff,1
Phokion Kolaitis,P. Kolaitis,#00bfff,1
Lise Getoor,L. Getoor,#32CD32,1
Marilyn Walker,M. Walker,#32CD32,1
Cormac Flanagan,C. Flanagan,#00bfff,0
Darrell Long,D. Long,#00bfff,1
Ethan Miller,E. Miller,#00bfff,1
Suresh Lodha,S. Lodha,#d3d3d3,1
Seshadhri Comandur,S. Comandur,#ffff00,0
Luca de Alfaro,L. de Alfaro,#32CD32,1
James Davis,J. Davis,#32CD32,1
Alexander Wolf,A. Wolf,#00bfff,0
Allen Van Gelder,A. Van Gelder,#32CD32,1
Alex Pang,A. Pang,#ffc0cb,1
Thomas Schwarz,T. Schwarz,#d3d3d3,0
