name,abbrv,color,coauthored
Ruzica Piskac,R. Piskac,#ffff00,0
James Aspnes,J. Aspnes,#ffff00,1
Yang Yang,Y. Yang,#00bfff,1
Dana Angluin,D. Angluin,#32CD32,1
Michael Fischer,M. Fischer,#d3d3d3,1
Joan Feigenbaum,J. Feigenbaum,#00bfff,1
Drew McDermott,D. McDermott,#32CD32,0
Zhong Shao,Z. Shao,#00bfff,0
Minlan Yu,M. Yu,#00bfff,1
Daniel Spielman,D. Spielman,#ffff00,0
Dragomir Radev,D. Radev,#32CD32,0
Abraham Silberschatz,A. Silberschatz,#00bfff,1
Stanley Eisenstat,S. Eisenstat,#d3d3d3,0
David Gelernter,D. Gelernter,#00bfff,0
Brian Scassellati,B. Scassellati,#ffc0cb,1
Steven Zucker,S. Zucker,#32CD32,1
Holly Rushmeier,H. Rushmeier,#ffc0cb,1
Julie Dorsey,J. Dorsey,#ffc0cb,1
Mahesh Balakrishnan,M. Balakrishnan,#00bfff,0
Vladimir Rokhlin,V. Rokhlin,#d3d3d3,0
