name,abbrv,color,coauthored
Sandy Irani,S. Irani,#ffff00,1
Aditi Majumder,A. Majumder,#ffc0cb,1
Sharad Mehrotra,S. Mehrotra,#00bfff,1
Nalini Venkatasubramanian,N. Venkatasubramanian,#00bfff,1
Ramesh Jain,R. Jain,#d3d3d3,1
Chen Li,C. Li,#00bfff,1
Michael Carey,M. Carey,#00bfff,1
Nikil Dutt,N. Dutt,#00bfff,1
Alfred Kobsa,A. Kobsa,#ffc0cb,1
Michael Dillencourt,M. Dillencourt,#00bfff,1
Lubomir Bic,L. Bic,#00bfff,1
Alexandru Nicolau,A. Nicolau,#00bfff,1
Elaheh Bozorgzadeh,E. Bozorgzadeh,#00bfff,1
Michael Goodrich,M. Goodrich,#ffff00,1
David Eppstein,D. Eppstein,#ffff00,1
Guoqing Xu,G. Xu,#00bfff,1
Eric Mjolsness,E. Mjolsness,#d3d3d3,0
Meenakshisundaram Gopi,M. Gopi,#ffc0cb,1
Daniel Hirschberg,D. Hirschberg,#d3d3d3,1
Padhraic Smyth,P. Smyth,#32CD32,1
Pierre Baldi,P. Baldi,#ffc0cb,1
Isaac Scherson,I. Scherson,#d3d3d3,0
Shuang Zhao,S. Zhao,#ffc0cb,0
Tony Givargis,T. Givargis,#00bfff,1
Xiaohui Xie,X. Xie,#ffc0cb,1
Alexander Ihler,A. Ihler,#32CD32,1
Marco Levorato,M. Levorato,#00bfff,1
Alexander Veidenbaum,A. Veidenbaum,#00bfff,1
Ian Harris,I. Harris,#d3d3d3,1
Michael Franz,M. Franz,#00bfff,1
Gene Tsudik,G. Tsudik,#00bfff,1
Stanislaw Jarecki,S. Jarecki,#00bfff,1
Magda Zarki,M. Zarki,#d3d3d3,1
Charless Fowlkes,C. Fowlkes,#32CD32,1
Richard Lathrop,R. Lathrop,#ffc0cb,1
Ardalan Sani,A. Sani,#00bfff,1
Amelia Regan,A. Regan,#32CD32,1
Scott Jordan,S. Jordan,#d3d3d3,0
Wayne Hayes,W. Hayes,#32CD32,0
Erik Sudderth,E. Sudderth,#32CD32,1
Rina Dechter,R. Dechter,#32CD32,1
Sameer Singh,S. Singh,#32CD32,0
