name,abbrv,color,coauthored
Mike Atkinson,M. Atkinson,#d3d3d3,1
Michael Albert,M. Albert,#d3d3d3,1
Geoff Wyvill,G. Wyvill,#d3d3d3,1
Steven Mills,S. Mills,#00bfff,1
Brendan McCane,B. McCane,#d3d3d3,1
David Eyers,D. Eyers,#00bfff,1
Zhiyi Huang,Z. Huang,#00bfff,1
Michael Albert,M. Albert,#32CD32,1
Andrew Trotman,A. Trotman,#d3d3d3,1
Lech Szymanski,L. Szymanski,#d3d3d3,1
Willem Labuschagne,W. Labuschagne,#d3d3d3,0
Richard O'Keefe,R. O'Keefe,#d3d3d3,1
Yawen Chen,Y. Chen,#00bfff,1
Haibo Zhang,H. Zhang,#00bfff,1
Anthony Robins,A. Robins,#d3d3d3,1
Alistair Knott,A. Knott,#d3d3d3,1
