name,abbrv,color,coauthored
Daehyun Kim,D. Kim,#00bfff,1
Partha Pande,P. Pande,#00bfff,1
Janardhan Doppa,J. Doppa,#32CD32,1
Shuiwang Ji,S. Ji,#32CD32,0
Bolong Zeng,B. Zeng,#d3d3d3,0
Diane Cook,D. Cook,#32CD32,1
Bryan Minor,B. Minor,#32CD32,1
Gina Sprint,G. Sprint,#d3d3d3,1
Anantharaman Kalyanaraman,A. Kalyanaraman,#00bfff,1
Hassan Ghasemzadeh,H. Ghasemzadeh,#00bfff,1
Benjamin Belzer,B. Belzer,#d3d3d3,1
Krishnamoorthy Sivakumar,K. Sivakumar,#d3d3d3,1
Jacob Murray,J. Murray,#d3d3d3,1
Anurag Srivastava,A. Srivastava,#d3d3d3,1
David Bakken,D. Bakken,#d3d3d3,1
Ali Mehrizi-Sani,A. Mehrizi-Sani,#d3d3d3,0
John Schneider,J. Schneider,#d3d3d3,0
Anamika Dubey,A. Dubey,#d3d3d3,0
Adam Hahn,A. Hahn,#d3d3d3,1
Chen-Ching Liu,C. Liu,#d3d3d3,1
Vaithianathan Venkatasubramanian,V. Venkatasubramanian,#d3d3d3,1
Anjan Bose,A. Bose,#d3d3d3,1
Haipeng Cai,H. Cai,#00bfff,0
Shira Broschat,S. Broschat,#d3d3d3,1
Assefaw Gebremedhin,A. Gebremedhin,#d3d3d3,1
Noel Schulz,N. Schulz,#d3d3d3,0
Carl Hauser,C. Hauser,#00bfff,1
Behrooz Shirazi,B. Shirazi,#00bfff,1
Yinghui Wu,Y. Wu,#00bfff,0
K. Wang,K. Wang,#d3d3d3,0
Sandip Roy,S. Roy,#d3d3d3,1
Ali Saberi,A. Saberi,#d3d3d3,1
Javier Guerrero,J. Guerrero,#d3d3d3,0
Larry Holder,L. Holder,#d3d3d3,0
Deuk Heo,D. Heo,#d3d3d3,0
Zhe Dang,Z. Dang,#d3d3d3,0
Sakire Ay,S. Ay,#d3d3d3,0
Murari Kejariwal,M. Kejariwal,#d3d3d3,0
José Delgado-Frias,J. Delgado-Frias,#d3d3d3,1
Saeed Lotfifard,S. Lotfifard,#d3d3d3,0
Subhanshu Gupta,S. Gupta,#d3d3d3,0
Matthew Taylor,M. Taylor,#32CD32,0
Thomas Fischer,T. Fischer,#ffc0cb,0
Venera Arnaoudova,V. Arnaoudova,#d3d3d3,0
