name,abbrv,color,coauthored
Fabián Bustamante,F. Bustamante,#00bfff,1
Yan Chen,Y. Chen,#00bfff,1
Aleksandar Kuzmanovic,A. Kuzmanovic,#00bfff,1
Randall Berry,R. Berry,#00bfff,1
Peter Dinda,P. Dinda,#00bfff,1
Aggelos Katsaggelos,A. Katsaggelos,#32CD32,1
Brenna Argall,B. Argall,#ffc0cb,0
Jack Tumblin,J. Tumblin,#ffc0cb,1
Oliver Cossairt,O. Cossairt,#32CD32,1
Ming-Yang Kao,M. Kao,#00bfff,1
Gokhan Memik,G. Memik,#00bfff,1
Jason Hartline,J. Hartline,#ffff00,0
Lawrence Henschen,L. Henschen,#d3d3d3,0
Ian Horswill,I. Horswill,#d3d3d3,0
Kenneth Forbus,K. Forbus,#32CD32,1
Lawrence Birnbaum,L. Birnbaum,#32CD32,1
Christopher Riesbeck,C. Riesbeck,#32CD32,1
Michael Horn,M. Horn,#ffc0cb,1
Uri Wilensky,U. Wilensky,#d3d3d3,1
Brent Hecht,B. Hecht,#ffc0cb,1
Alok Choudhary,A. Choudhary,#00bfff,1
Doug Downey,D. Downey,#32CD32,1
Simone Campanoni,S. Campanoni,#00bfff,0
Haoqi Zhang,H. Zhang,#ffc0cb,0
Peter Scheuermann,P. Scheuermann,#00bfff,1
Goce Trajcevski,G. Trajcevski,#00bfff,1
Nikolaos Hardavellas,N. Hardavellas,#00bfff,1
Hai Zhou,H. Zhou,#00bfff,1
Michael Rubenstein,M. Rubenstein,#ffc0cb,0
Anindya De,A. De,#ffff00,0
Kristian Hammond,K. Hammond,#d3d3d3,1
Bryan Pardo,B. Pardo,#d3d3d3,1
Robert Findler,R. Findler,#00bfff,1
Russ Joseph,R. Joseph,#00bfff,1
Jennie Duggan,J. Duggan,#00bfff,0
Aravindan Vijayaraghavan,A. Vijayaraghavan,#ffff00,0
