name,abbrv,color,coauthored
Jing Gao,J. Gao,#32CD32,1
Kui Ren,K. Ren,#00bfff,1
Lu Su,L. Su,#00bfff,1
Aidong Zhang,A. Zhang,#32CD32,1
Hung Ngo,H. Ngo,#00bfff,1
Rohini Srihari,R. Srihari,#32CD32,1
Murat Demirbas,M. Demirbas,#32CD32,1
Chang Chen,C. Chen,#00bfff,1
Shi Li,S. Li,#ffff00,1
Atri Rudra,A. Rudra,#ffff00,1
Chunming Qiao,C. Qiao,#00bfff,1
Dimitrios Koutsonikolas,D. Koutsonikolas,#00bfff,1
Wenyao Xu,W. Xu,#00bfff,1
Aziz Mohaisen,A. Mohaisen,#00bfff,1
Daniel Fischer,D. Fischer,#d3d3d3,0
Varun Chandola,V. Chandola,#32CD32,1
Shambhu Upadhyaya,S. Upadhyaya,#00bfff,1
Oliver Kennedy,O. Kennedy,#00bfff,1
Bharat Jayaraman,B. Jayaraman,#d3d3d3,1
Venu Govindaraju,V. Govindaraju,#32CD32,1
Lukasz Ziarek,L. Ziarek,#00bfff,1
Jan Chomicki,J. Chomicki,#00bfff,1
Steven Ko,S. Ko,#00bfff,0
Geoffrey Challen,G. Challen,#00bfff,1
Ramalingam Sridhar,R. Sridhar,#d3d3d3,1
Kenneth Regan,K. Regan,#32CD32,1
Tevfik Kosar,T. Kosar,#00bfff,1
Satish Tripathi,S. Tripathi,#d3d3d3,1
Xin He,X. He,#00bfff,1
Marco Gaboardi,M. Gaboardi,#00bfff,0
Jinhui Xu,J. Xu,#d3d3d3,0
Sargur Srihari,S. Srihari,#32CD32,1
Wen Dong,W. Dong,#32CD32,1
Nils Napp,N. Napp,#ffc0cb,1
Karthik Dantu,K. Dantu,#ffc0cb,1
Russ Miller,R. Miller,#d3d3d3,0
Vipin Chaudhary,V. Chaudhary,#d3d3d3,0
Jaroslaw Zola,J. Zola,#00bfff,0
