name,abbrv,color,coauthored
Luqi ,L. ,#d3d3d3,1
Valdis Berzins,V. Berzins,#d3d3d3,1
Arijit Das,A. Das,#d3d3d3,0
Mathias Kölsch,M. Kölsch,#ffc0cb,0
Gurminder Singh,G. Singh,#d3d3d3,0
Mikhail Auguston,M. Auguston,#d3d3d3,1
Cynthia Irvine,C. Irvine,#00bfff,1
Doron Drusinsky,D. Drusinsky,#d3d3d3,1
James Michael,J. Michael,#d3d3d3,1
Dennis Volpano,D. Volpano,#d3d3d3,0
Rudy Darken,R. Darken,#d3d3d3,0
Thomas Otani,T. Otani,#d3d3d3,0
Christian Darken,C. Darken,#d3d3d3,1
Neil Rowe,N. Rowe,#d3d3d3,1
Ted Huffmire,T. Huffmire,#00bfff,1
Man-Tak Shing,M. Shing,#d3d3d3,1
Robert Beverly,R. Beverly,#00bfff,1
Peter Denning,P. Denning,#d3d3d3,0
