name,abbrv,color,coauthored
Gilles Brassard,G. Brassard,#32CD32,1
Alain Tapp,A. Tapp,#ffff00,1
Esma Aïmeur,E. Aïmeur,#32CD32,1
Louis Salvail,L. Salvail,#ffff00,1
Bernard Gendron,B. Gendron,#d3d3d3,0
Abdelhakim Hafid,A. Hafid,#d3d3d3,0
Claude Frasson,C. Frasson,#32CD32,0
Eugene Syriani,E. Syriani,#d3d3d3,1
Houari Sahraoui,H. Sahraoui,#00bfff,1
Pierre Poulin,P. Poulin,#ffc0cb,1
Pierre L'Ecuyer,P. L'Ecuyer,#d3d3d3,1
Philippe Langlais,P. Langlais,#32CD32,1
Miklós Csürös,M. Csürös,#ffc0cb,0
Jean-Yves Potvin,J. Potvin,#d3d3d3,0
Pascal Vincent,P. Vincent,#32CD32,1
Yoshua Bengio,Y. Bengio,#32CD32,1
Aaron Courville,A. Courville,#32CD32,1
Roland Memisevic,R. Memisevic,#32CD32,1
Guy Lapalme,G. Lapalme,#d3d3d3,1
Stefan Monnier,S. Monnier,#d3d3d3,0
Derek Nowrouzezahrai,D. Nowrouzezahrai,#ffc0cb,1
Olga Baysal,O. Baysal,#00bfff,0
Fabian Bastin,F. Bastin,#d3d3d3,1
Patrice Marcotte,P. Marcotte,#d3d3d3,1
François Major,F. Major,#ffc0cb,0
Gena Hahn,G. Hahn,#d3d3d3,0
Jian-Yun Nie,J. Nie,#32CD32,1
Sébastien Roy,S. Roy,#32CD32,1
Jean Meunier,J. Meunier,#d3d3d3,1
Pierre McKenzie,P. McKenzie,#ffff00,0
Michel Boyer,M. Boyer,#d3d3d3,0
Marc Feeley,M. Feeley,#d3d3d3,0
Sylvie Hamel,S. Hamel,#00bfff,0
Nadia El-Mabrouk,N. El-Mabrouk,#ffc0cb,0
Max Mignotte,M. Mignotte,#32CD32,1
Simon Lacoste-Julien,S. Lacoste-Julien,#32CD32,0
Neil Stewart,N. Stewart,#d3d3d3,0
