name,abbrv,color,coauthored
Olivier Danvy,O. Danvy,#d3d3d3,0
Peyman Afshani,P. Afshani,#ffff00,1
Gerth Brodal,G. Brodal,#ffff00,1
Kasper Larsen,K. Larsen,#ffff00,1
Lars Arge,L. Arge,#ffff00,1
Kaj Grønbæk,K. Grønbæk,#ffc0cb,1
Marianne Petersen,M. Petersen,#ffc0cb,1
Niels Bouvin,N. Bouvin,#ffc0cb,1
Thomas Hansen,T. Hansen,#ffff00,1
Kristoffer Hansen,K. Hansen,#ffff00,1
Ole Caprani,O. Caprani,#d3d3d3,0
Christian Pedersen,C. Pedersen,#ffff00,1
Morten Kyng,M. Kyng,#ffc0cb,1
Henrik Christensen,H. Christensen,#d3d3d3,1
Jesper Nielsen,J. Nielsen,#ffff00,1
Ivan Damgård,I. Damgård,#ffff00,1
Claudio Orlandi,C. Orlandi,#ffff00,1
Michael Schwartzbach,M. Schwartzbach,#d3d3d3,1
Lars Birkedal,L. Birkedal,#00bfff,0
Aslan Askarov,A. Askarov,#00bfff,0
Gudmund Frandsen,G. Frandsen,#d3d3d3,1
Ira Assent,I. Assent,#00bfff,0
Susanne Bødker,S. Bødker,#ffc0cb,1
Olav Bertelsen,O. Bertelsen,#d3d3d3,0
Anders Møller,A. Møller,#00bfff,1
Jörg Müller,J. Müller,#d3d3d3,0
Kurt Jensen,K. Jensen,#d3d3d3,0
