name,abbrv,color,coauthored
Mohammed Bennamoun,M. Bennamoun,#ffc0cb,1
Syed Islam,S. Islam,#d3d3d3,1
Du Q. Huynh ,D. ,#d3d3d3,1
Wei 0006,W. 0006,#d3d3d3,1
Cara MacNish,C. MacNish,#d3d3d3,1
Chris McDonald,C. McDonald,#d3d3d3,1
R. While,R. While,#d3d3d3,1
Amitava Datta,A. Datta,#ffc0cb,1
Mark Reynolds,M. Reynolds,#32CD32,1
Rachel Cardell-Oliver,R. Cardell-Oliver,#d3d3d3,1
Bruce Gardiner,B. Gardiner,#d3d3d3,0
George Milne,G. Milne,#d3d3d3,0
Syed Gilani,S. Gilani,#32CD32,0
Christof Huebner,C. Huebner,#d3d3d3,1
Jianxin Li,J. Li,#32CD32,1
Tim French,T. French,#d3d3d3,0
