name,abbrv,color,coauthored
Alexander Kain,A. Kain,#d3d3d3,1
Jan van Santen,J. van Santen,#32CD32,1
Meysam Asgari,M. Asgari,#d3d3d3,1
Xubo Song,X. Song,#d3d3d3,0
Steven Bedrick,S. Bedrick,#d3d3d3,1
Peter Heeman,P. Heeman,#32CD32,0
M. Sönmez,M. Sönmez,#d3d3d3,0
