name,abbrv,color,coauthored
Andy Cockburn,A. Cockburn,#ffc0cb,1
Richard Green,R. Green,#d3d3d3,1
Timothy Bell,T. Bell,#d3d3d3,1
Ramakrishnan Mukundan,R. Mukundan,#d3d3d3,1
Tadao Takaoka,T. Takaoka,#d3d3d3,1
Dong Kim,D. Kim,#d3d3d3,1
Matthias Galster,M. Galster,#d3d3d3,0
Andreas Willig,A. Willig,#d3d3d3,1
Krzysztof Pawlikowski,K. Pawlikowski,#d3d3d3,1
Thomas Young,T. Young,#32CD32,0
Austen Rainer,A. Rainer,#d3d3d3,0
Robert Lindeman,R. Lindeman,#ffc0cb,0
Moffat Mathews,M. Mathews,#d3d3d3,1
Antonija Mitrovic,A. Mitrovic,#32CD32,1
Neville Churcher,N. Churcher,#d3d3d3,1
Walter Guttmann,W. Guttmann,#d3d3d3,0
Kourosh Neshatian,K. Neshatian,#d3d3d3,1
