name,abbrv,color,coauthored
Eric Mercer,E. Mercer,#00bfff,1
Michael Goodrich,M. Goodrich,#32CD32,1
Kent Seamons,K. Seamons,#00bfff,1
Yiu-Kai Ng,Y. Ng,#32CD32,0
Daniel Zappala,D. Zappala,#00bfff,1
Sean Warnick,S. Warnick,#d3d3d3,1
Parris Egbert,P. Egbert,#32CD32,1
Christophe Giraud-Carrier,C. Giraud-Carrier,#d3d3d3,1
Dan Ventura,D. Ventura,#32CD32,1
Seth Holladay,S. Holladay,#d3d3d3,1
Bryan Morse,B. Morse,#32CD32,1
Ryan Farrell,R. Farrell,#32CD32,0
Mark Clement,M. Clement,#ffc0cb,1
Quinn Snell,Q. Snell,#ffc0cb,1
Kevin Seppi,K. Seppi,#32CD32,1
Jacob Crandall,J. Crandall,#32CD32,1
Eric Ringger,E. Ringger,#32CD32,1
Michael Jones,M. Jones,#ffc0cb,1
Tony Martinez,T. Martinez,#32CD32,1
David Wingate,D. Wingate,#32CD32,0
Scott Woodfield,S. Woodfield,#d3d3d3,0
Robert Burton,R. Burton,#ffc0cb,0
William Barrett,W. Barrett,#d3d3d3,1
Thomas Sederberg,T. Sederberg,#ffc0cb,0
