name,abbrv,color,coauthored
Beichuan Zhang,B. Zhang,#00bfff,1
Chris Gniady,C. Gniady,#00bfff,1
Gregory Andrews,G. Andrews,#00bfff,1
Saumya Debray,S. Debray,#00bfff,1
Kobus Barnard,K. Barnard,#32CD32,1
Alon Efrat,A. Efrat,#ffff00,1
Larry Peterson,L. Peterson,#00bfff,1
John Hartman,J. Hartman,#00bfff,1
David Lowenthal,D. Lowenthal,#00bfff,1
Christian Collberg,C. Collberg,#d3d3d3,1
Todd Proebsting,T. Proebsting,#d3d3d3,1
Steven Bethard,S. Bethard,#32CD32,1
Mihai Surdeanu,M. Surdeanu,#32CD32,1
Ravi Sethi,R. Sethi,#d3d3d3,0
Richard Snodgrass,R. Snodgrass,#00bfff,1
Sudha Ram,S. Ram,#d3d3d3,1
Joshua Levine,J. Levine,#ffc0cb,1
Katherine Isaacs,K. Isaacs,#00bfff,1
John Kececioglu,J. Kececioglu,#ffc0cb,0
Stephen Kobourov,S. Kobourov,#ffc0cb,1
Carlos Scheidegger,C. Scheidegger,#ffc0cb,1
Michelle Strout,M. Strout,#00bfff,0
