name,abbrv,color,coauthored
Chengjun Liu,C. Liu,#32CD32,0
D. Hung,D. Hung,#d3d3d3,0
James Geller,J. Geller,#d3d3d3,1
Yehoshua Perl,Y. Perl,#d3d3d3,1
Vincent Oria,V. Oria,#d3d3d3,1
Zhi Wei,Z. Wei,#ffc0cb,1
Guiling Wang,G. Wang,#00bfff,1
Xiaoning Ding,X. Ding,#00bfff,1
Cristian Borcea,C. Borcea,#d3d3d3,1
Kurt Rohloff,K. Rohloff,#d3d3d3,0
Reza Curtmola,R. Curtmola,#00bfff,1
Narain Gehani,N. Gehani,#d3d3d3,1
James Calvin,J. Calvin,#d3d3d3,1
Marvin Nakayama,M. Nakayama,#d3d3d3,1
Ali Mili,A. Mili,#d3d3d3,0
Jason Wang,J. Wang,#d3d3d3,1
Joseph Leung,J. Leung,#d3d3d3,0
Chase Wu,C. Wu,#d3d3d3,0
Andrew Sohn,A. Sohn,#00bfff,0
Alexandros Gerbessiotis,A. Gerbessiotis,#d3d3d3,1
Frank Shih,F. Shih,#d3d3d3,0
Dimitri Theodoratos,D. Theodoratos,#32CD32,1
Iulian Neamtiu,I. Neamtiu,#00bfff,0
