name,abbrv,color,coauthored
Nelly Condori-Fernández,N. Condori-Fernández,#d3d3d3,1
Patricia Lago,P. Lago,#d3d3d3,1
Anton Eliëns,A. Eliëns,#d3d3d3,1
Gerrit van der Veer,G. van der Veer,#d3d3d3,1
Hajo Reijers,H. Reijers,#d3d3d3,1
Henrik Leopold,H. Leopold,#d3d3d3,1
Wan Fokkink,W. Fokkink,#ffff00,1
K. Feenstra,K. Feenstra,#ffc0cb,1
Jaap Heringa,J. Heringa,#ffc0cb,1
Henri Bal,H. Bal,#00bfff,1
Maarten van Steen,M. van Steen,#00bfff,1
Lora Aroyo,L. Aroyo,#d3d3d3,1
Willem van Hage,W. van Hage,#d3d3d3,1
Jacco van Ossenbruggen,J. van Ossenbruggen,#d3d3d3,1
Guus Schreiber,G. Schreiber,#d3d3d3,1
Paul Groth,P. Groth,#32CD32,1
Jörg Endrullis,J. Endrullis,#ffff00,1
Herbert Bos,H. Bos,#00bfff,1
Frank van Harmelen,F. van Harmelen,#32CD32,1
Stefan Schlobach,S. Schlobach,#32CD32,1
Jacopo Urbani,J. Urbani,#32CD32,1
Annette Teije,A. Teije,#d3d3d3,1
Spyros Voulgaris,S. Voulgaris,#d3d3d3,1
Bob Wielinga,B. Wielinga,#d3d3d3,1
Hans van Vliet,H. van Vliet,#d3d3d3,1
Roel de Vrijer,R. de Vrijer,#d3d3d3,1
Tibor Bosse,T. Bosse,#32CD32,1
Jan Treur,J. Treur,#32CD32,1
Mark Hoogendoorn,M. Hoogendoorn,#32CD32,1
Michel Klein,M. Klein,#32CD32,1
Ivano Malavolta,I. Malavolta,#00bfff,1
Sanne Abeln,S. Abeln,#ffc0cb,1
Andrew Tanenbaum,A. Tanenbaum,#00bfff,1
Cristiano Giuffrida,C. Giuffrida,#00bfff,1
Rob van Nieuwpoort,R. van Nieuwpoort,#00bfff,1
Chris Verhoef,C. Verhoef,#d3d3d3,0
Viktor de Boer,V. de Boer,#d3d3d3,1
Maarten de Rijke,M. de Rijke,#32CD32,1
Andy Pimentel,A. Pimentel,#00bfff,0
A. Eiben,A. Eiben,#32CD32,1
Jaap Gordijn,J. Gordijn,#d3d3d3,1
Evert Haasdijk,E. Haasdijk,#d3d3d3,1
Tobias Kuhn,T. Kuhn,#d3d3d3,1
Elias Athanasopoulos,E. Athanasopoulos,#00bfff,1
Hans Akkermans,H. Akkermans,#d3d3d3,1
Femke van Raamsdonk,F. van Raamsdonk,#d3d3d3,0
Alban Ponse,A. Ponse,#d3d3d3,0
