name,abbrv,color,coauthored
Mohamed Zahran,M. Zahran,#d3d3d3,0
Michael Walfish,M. Walfish,#00bfff,0
Julian Togelius,J. Togelius,#32CD32,1
Andrew Nealen,A. Nealen,#ffc0cb,1
John Iacono,J. Iacono,#ffff00,1
Boris Aronov,B. Aronov,#ffff00,1
Richard Cole,R. Cole,#ffff00,1
Benjamin Goldberg,B. Goldberg,#ffc0cb,0
Phyllis Frankl,P. Frankl,#d3d3d3,0
Jinyang Li,J. Li,#00bfff,1
Lakshminarayanan Subramanian,L. Subramanian,#00bfff,1
Margaret Wright,M. Wright,#d3d3d3,0
Subhash Khot,S. Khot,#ffff00,1
Oded Regev,O. Regev,#ffff00,1
Damon McCoy,D. McCoy,#00bfff,0
Brendan Dolan-Gavitt,B. Dolan-Gavitt,#00bfff,0
Zvi Kedem,Z. Kedem,#d3d3d3,0
Torsten Suel,T. Suel,#32CD32,1
Nasir Memon,N. Memon,#32CD32,1
Yevgeniy Dodis,Y. Dodis,#ffff00,1
Victor Shoup,V. Shoup,#ffff00,1
Cláudio Silva,C. Silva,#ffc0cb,1
Juliana Freire,J. Freire,#ffc0cb,1
Enrico Bertini,E. Bertini,#ffc0cb,1
Denis Zorin,D. Zorin,#ffc0cb,1
Richard Bonneau,R. Bonneau,#ffc0cb,1
Guido Gerig,G. Gerig,#32CD32,1
Ken Perlin,K. Perlin,#ffc0cb,0
Daniele Panozzo,D. Panozzo,#ffc0cb,1
Yi-Jen Chiang,Y. Chiang,#ffc0cb,1
Helen Nissenbaum,H. Nissenbaum,#00bfff,1
Thomas Wies,T. Wies,#ffff00,1
Clark Barrett,C. Barrett,#ffff00,1
Mehryar Mohri,M. Mohri,#32CD32,0
Samuel Bowman,S. Bowman,#32CD32,0
Kyunghyun Cho,K. Cho,#32CD32,1
Ralph Grishman,R. Grishman,#32CD32,1
David Sontag,D. Sontag,#32CD32,1
Ernest Davis,E. Davis,#32CD32,0
Chee-Keng Yap,C. Yap,#ffc0cb,1
Dennis Shasha,D. Shasha,#ffc0cb,1
Joel Spencer,J. Spencer,#ffff00,1
Michael Overton,M. Overton,#d3d3d3,0
Patrick Cousot,P. Cousot,#00bfff,0
Panayotis Mavromatis,P. Mavromatis,#d3d3d3,0
Edward Wong,E. Wong,#32CD32,0
Davi Geiger,D. Geiger,#32CD32,0
Keith Ross,K. Ross,#00bfff,1
Justin Cappos,J. Cappos,#00bfff,1
Rumi Chunara,R. Chunara,#d3d3d3,0
Bud Mishra,B. Mishra,#ffc0cb,0
Christoph Bregler,C. Bregler,#32CD32,1
Olof Widlund,O. Widlund,#d3d3d3,0
Lisa Hellerstein,L. Hellerstein,#ffff00,0
