name,color
Shriram Krishnamurthi,#32CD32
Steven P. Reiss,#00bfff
Rodrigo Fonseca,#00bfff
Ugur Çetintemel,#00bfff
Stanley B. Zdonik,#00bfff
Eli Upfal,#32CD32
Tim Kraska,#00bfff
Anna Lysyanskaya,#00bfff
Roberto Tamassia,#00bfff
John E. Savage,#00bfff
Franco P. Preparata,#d3d3d3
Stefanie Tellex,#ffc0cb
Michael L. Littman,#32CD32
David H. Laidlaw,#ffc0cb
John F. Hughes,#ffc0cb
Benjamin J. Raphael,#ffc0cb
Amy Greenwald,#32CD32
Jeff Huang,#32CD32
