name,abbrv,color,coauthored
Swastik Kopparty,S. Kopparty,#ffff00,1
Shubhangi Saraf,S. Saraf,#ffff00,1
Manish Parashar,M. Parashar,#00bfff,1
Ulrich Kremer,U. Kremer,#ffc0cb,1
Eddy Zhang,E. Zhang,#00bfff,1
Tomasz Imielinski,T. Imielinski,#d3d3d3,1
Mario Szegedy,M. Szegedy,#ffff00,1
Michael Fredman,M. Fredman,#d3d3d3,0
Eric Allender,E. Allender,#d3d3d3,0
Kostas Bekris,K. Bekris,#ffc0cb,1
Mubbasir Kapadia,M. Kapadia,#ffc0cb,1
David Cash,D. Cash,#ffff00,0
Naftaly Minsky,N. Minsky,#d3d3d3,0
Vinod Ganapathy,V. Ganapathy,#00bfff,1
Liviu Iftode,L. Iftode,#00bfff,1
Santosh Nagarakatte,S. Nagarakatte,#00bfff,1
Thu Nguyen,T. Nguyen,#00bfff,1
Abhishek Bhattacharjee,A. Bhattacharjee,#00bfff,1
Richard Martin,R. Martin,#00bfff,1
Amélie Marian,A. Marian,#00bfff,1
Abdeslam Boularias,A. Boularias,#32CD32,0
Rebecca Wright,R. Wright,#00bfff,1
S. Muthukrishnan,S. Muthukrishnan,#32CD32,1
Vladimir Pavlovic,V. Pavlovic,#32CD32,1
Dimitris Metaxas,D. Metaxas,#32CD32,1
Ahmed Elgammal,A. Elgammal,#32CD32,1
Matthew Stone,M. Stone,#32CD32,0
Martin Farach-Colton,M. Farach-Colton,#00bfff,1
B. Badrinath,B. Badrinath,#d3d3d3,1
Jingjin Yu,J. Yu,#ffc0cb,0
Kostis Michmizos,K. Michmizos,#d3d3d3,0
Gerard Richter,G. Richter,#d3d3d3,0
Alexander Schliep,A. Schliep,#ffc0cb,0
Casimir Kulikowski,C. Kulikowski,#32CD32,1
Alexander Borgida,A. Borgida,#32CD32,0
Pranjal Awasthi,P. Awasthi,#32CD32,0
Endre Szemerédi,E. Szemerédi,#d3d3d3,0
Desheng Zhang,D. Zhang,#00bfff,0
Ping Li,P. Li,#32CD32,0
William Steiger,W. Steiger,#d3d3d3,0
Bahman Kalantari,B. Kalantari,#d3d3d3,0
