name,abbrv,color,coauthored
Kenneth Calvert,K. Calvert,#d3d3d3,1
Jim Griffioen,J. Griffioen,#d3d3d3,1
Victor Marek,V. Marek,#d3d3d3,1
Miroslaw Truszczynski,M. Truszczynski,#32CD32,1
Fuhua Cheng,F. Cheng,#d3d3d3,0
Raphael Finkel,R. Finkel,#d3d3d3,1
Judy Goldsmith,J. Goldsmith,#32CD32,1
Ramakanth Kavuluru,R. Kavuluru,#d3d3d3,1
Andrew Klapper,A. Klapper,#d3d3d3,1
Zongming Fei,Z. Fei,#d3d3d3,1
Jun Zhang,J. Zhang,#00bfff,0
Jane Hayes,J. Hayes,#d3d3d3,1
Tingting Yu,T. Yu,#00bfff,1
Grzegorz Wasilkowski,G. Wasilkowski,#d3d3d3,0
Jerzy Jaromczyk,J. Jaromczyk,#d3d3d3,1
Nathan Jacobs,N. Jacobs,#32CD32,0
W. Seales,W. Seales,#32CD32,1
Ruigang Yang,R. Yang,#32CD32,1
Jinze Liu,J. Liu,#ffc0cb,1
Chen Qian,C. Qian,#00bfff,0
