name,abbrv,color,coauthored
Éva Tardos,É. Tardos,#ffff00,1
Robert Kleinberg,R. Kleinberg,#ffff00,1
Jon Kleinberg,J. Kleinberg,#32CD32,1
Karthik Sridharan,K. Sridharan,#32CD32,1
Ramin Zabih,R. Zabih,#32CD32,1
Ari Juels,A. Juels,#00bfff,1
Thomas Ristenpart,T. Ristenpart,#ffff00,1
Elaine Shi,E. Shi,#00bfff,1
Emin Sirer,E. Sirer,#00bfff,1
Donald Greenberg,D. Greenberg,#ffc0cb,1
Kavita Bala,K. Bala,#ffc0cb,1
Steve Marschner,S. Marschner,#ffc0cb,1
Vitaly Shmatikov,V. Shmatikov,#00bfff,1
Ashutosh Saxena,A. Saxena,#ffc0cb,1
Ross Knepper,R. Knepper,#ffc0cb,1
Thorsten Joachims,T. Joachims,#32CD32,1
Bart Selman,B. Selman,#32CD32,1
Joseph Halpern,J. Halpern,#32CD32,1
Ronald Brachman,R. Brachman,#d3d3d3,0
Lillian Lee,L. Lee,#32CD32,1
Rafael Pass,R. Pass,#ffff00,1
Fred Schneider,F. Schneider,#00bfff,1
Charles Van Loan,C. Van Loan,#d3d3d3,0
Haym Hirsh,H. Hirsh,#32CD32,0
Rachit Agarwal,R. Agarwal,#00bfff,0
David Bindel,D. Bindel,#32CD32,1
John Hopcroft,J. Hopcroft,#32CD32,1
Noah Snavely,N. Snavely,#32CD32,1
David Mimno,D. Mimno,#32CD32,1
Mor Naaman,M. Naaman,#ffc0cb,1
Deborah Estrin,D. Estrin,#00bfff,1
Nate Foster,N. Foster,#00bfff,1
Hakim Weatherspoon,H. Weatherspoon,#00bfff,1
Andrew Myers,A. Myers,#00bfff,1
Daniel Huttenlocher,D. Huttenlocher,#32CD32,1
Cristian Danescu-Niculescu-Mizil,C. Danescu-Niculescu-Mizil,#32CD32,1
Kilian Weinberger,K. Weinberger,#32CD32,1
Lorenzo Alvisi,L. Alvisi,#00bfff,1
Serge Belongie,S. Belongie,#32CD32,1
Claire Cardie,C. Cardie,#32CD32,1
J. Morrisett,J. Morrisett,#00bfff,1
Dexter Kozen,D. Kozen,#ffff00,1
Kenneth Birman,K. Birman,#00bfff,1
Erik Andersen,E. Andersen,#ffc0cb,0
Anil Damle,A. Damle,#d3d3d3,0
Immanuel Trummer,I. Trummer,#00bfff,0
Amir Avestimehr,A. Avestimehr,#00bfff,0
Robert Constable,R. Constable,#ffff00,1
Ross Tate,R. Tate,#00bfff,0
Adrian Sampson,A. Sampson,#00bfff,0
Carla Gomes,C. Gomes,#32CD32,1
David Steurer,D. Steurer,#ffff00,0
Christina Delimitrou,C. Delimitrou,#00bfff,0
Yoav Artzi,Y. Artzi,#32CD32,0
