name,abbrv,color,coauthored
Giovanni Moretti,G. Moretti,#d3d3d3,1
Gourab Gupta,G. Gupta,#d3d3d3,1
Xiang Gui,X. Gui,#d3d3d3,1
Stephen Marsland,S. Marsland,#32CD32,1
Frazer Noble,F. Noble,#d3d3d3,1
Johan Potgieter,J. Potgieter,#d3d3d3,1
Fakhrul Alam,F. Alam,#d3d3d3,1
Henning Köhler,H. Köhler,#00bfff,0
Ibrahim Al-Bahadly,I. Al-Bahadly,#d3d3d3,0
Paul Lyons,P. Lyons,#d3d3d3,1
Donald Bailey,D. Bailey,#d3d3d3,1
Sunil Lal,S. Lal,#d3d3d3,0
Ken Mercer,K. Mercer,#d3d3d3,1
Moi-Tin Chew,M. Chew,#d3d3d3,1
Subhas Mukhopadhyay,S. Mukhopadhyay,#d3d3d3,1
Miao Qiao,M. Qiao,#00bfff,0
Jens Dietrich,J. Dietrich,#d3d3d3,1
Catherine McCartin,C. McCartin,#d3d3d3,1
Hans Guesgen,H. Guesgen,#32CD32,1
Bill Wang,B. Wang,#d3d3d3,1
Sanjay Mathrani,S. Mathrani,#d3d3d3,1
Liqiong Tang,L. Tang,#d3d3d3,1
Donald Bailey,D. Bailey,#d3d3d3,1
Steven Dirven,S. Dirven,#d3d3d3,0
Ebubekir Avci,E. Avci,#ffc0cb,0
Chris Chitty,C. Chitty,#d3d3d3,0
S. Hasan,S. Hasan,#d3d3d3,0
Aruna Shekar,A. Shekar,#d3d3d3,0
Amjed Tahir,A. Tahir,#d3d3d3,0
Rachel Blagojevic,R. Blagojevic,#ffc0cb,0
Ibrahim Al-Bahadly,I. Al-Bahadly,#d3d3d3,0
Kudakwashe Dube,K. Dube,#d3d3d3,0
Rory Flemmer,R. Flemmer,#d3d3d3,1
Huub Bakker,H. Bakker,#d3d3d3,1
Eva Heinrich,E. Heinrich,#d3d3d3,0
