name,abbrv,color,coauthored
Brigitte Jaumard,B. Jaumard,#d3d3d3,1
Lata Narayanan,L. Narayanan,#d3d3d3,1
Volker Haarslev,V. Haarslev,#d3d3d3,1
Peter Rigby,P. Rigby,#00bfff,0
Emad Shihab,E. Shihab,#00bfff,0
Constantinos Constantinides,C. Constantinides,#d3d3d3,0
Javad Sadri,J. Sadri,#ffc0cb,1
Tien Bui,T. Bui,#32CD32,1
Juergen Rilling,J. Rilling,#00bfff,1
René Witte,R. Witte,#ffc0cb,1
Eusebius Doedel,E. Doedel,#d3d3d3,0
Nora Houari,N. Houari,#d3d3d3,0
Rajagopalan Jayakumar,R. Jayakumar,#d3d3d3,0
Nematollaah Shiri,N. Shiri,#d3d3d3,1
Todd Eavis,T. Eavis,#d3d3d3,0
Sabine Bergler,S. Bergler,#32CD32,1
Leila Kosseim,L. Kosseim,#d3d3d3,1
Mohamed Taleb,M. Taleb,#d3d3d3,0
Joey Paquet,J. Paquet,#d3d3d3,1
Yuhong Yan,Y. Yan,#d3d3d3,1
Olga Ormandjieva,O. Ormandjieva,#d3d3d3,1
Stan Klasa,S. Klasa,#d3d3d3,1
Adam Krzyzak,A. Krzyzak,#d3d3d3,1
Gösta Grahne,G. Grahne,#d3d3d3,0
Tristan Glatard,T. Glatard,#00bfff,0
Nikolaos Tsantalis,N. Tsantalis,#00bfff,0
Gregory Butler,G. Butler,#d3d3d3,1
Bipin Desai,B. Desai,#32CD32,0
Charalambos Poullis,C. Poullis,#ffc0cb,0
Weiyi Shang,W. Shang,#00bfff,0
Tiberiu Popa,T. Popa,#ffc0cb,0
Aiman Hanna,A. Hanna,#d3d3d3,0
Dhrubajyoti Goswami,D. Goswami,#d3d3d3,0
Marta Kersten-Oertel,M. Kersten-Oertel,#ffc0cb,0
