name,abbrv,color,coauthored
Mohammad Khan,M. Khan,#d3d3d3,0
Alexander Russell,A. Russell,#ffff00,1
Laurent Michel,L. Michel,#32CD32,1
Bing Wang,B. Wang,#32CD32,1
Jinbo Bi,J. Bi,#32CD32,1
Jun-Hong Cui,J. Cui,#00bfff,1
Song Han,S. Han,#00bfff,1
Zhijie Shi,Z. Shi,#d3d3d3,1
Phillip Bradford,P. Bradford,#d3d3d3,0
Sahar Seesi,S. Seesi,#d3d3d3,1
Reda Ammar,R. Ammar,#d3d3d3,1
Sanguthevar Rajasekaran,S. Rajasekaran,#ffc0cb,1
Chun-Hsi Huang,C. Huang,#d3d3d3,1
Dong-Guk Shin,D. Shin,#d3d3d3,0
Don Sheehy,D. Sheehy,#ffff00,0
Yufeng Wu,Y. Wu,#ffc0cb,0
Thomas Peters,T. Peters,#ffff00,0
Fei Wang,F. Wang,#32CD32,0
Abdelfattah Amamra,A. Amamra,#d3d3d3,0
Robert McCartney,R. McCartney,#d3d3d3,0
Sheida Nabavi,S. Nabavi,#ffc0cb,0
