name,abbrv,color,coauthored
Sriram Pemmaraju,S. Pemmaraju,#00bfff,1
Kasturi Varadarajan,K. Varadarajan,#ffff00,1
Sukumar Ghosh,S. Ghosh,#d3d3d3,1
Alberto Segre,A. Segre,#d3d3d3,1
Ted Herman,T. Herman,#d3d3d3,1
Hantao Zhang,H. Zhang,#d3d3d3,0
Aaron Stump,A. Stump,#d3d3d3,1
Cesare Tinelli,C. Tinelli,#ffff00,1
Padmini Srinivasan,P. Srinivasan,#32CD32,1
Tianbao Yang,T. Yang,#32CD32,1
Octav Chipara,O. Chipara,#00bfff,1
Douglas Jones,D. Jones,#d3d3d3,0
Zubair Shafiq,Z. Shafiq,#d3d3d3,0
Suely Oliveira,S. Oliveira,#d3d3d3,0
Juan Hourcade,J. Hourcade,#ffc0cb,0
Joseph Kearney,J. Kearney,#ffc0cb,0
Daniel Reed,D. Reed,#00bfff,0
