name,abbrv,color,coauthored
Lenore Cowen,L. Cowen,#ffc0cb,1
Benjamin Hescott,B. Hescott,#ffc0cb,1
Donna Slonim,D. Slonim,#ffc0cb,1
Norman Ramsey,N. Ramsey,#00bfff,1
Roni Khardon,R. Khardon,#32CD32,1
Matthias Scheutz,M. Scheutz,#ffc0cb,1
Diane Souvaine,D. Souvaine,#d3d3d3,0
Fahad Dogar,F. Dogar,#00bfff,0
Alva Couch,A. Couch,#d3d3d3,0
Samuel Guyer,S. Guyer,#00bfff,0
Remco Chang,R. Chang,#ffc0cb,1
Robert Jacob,R. Jacob,#ffc0cb,1
Anselm Blumer,A. Blumer,#ffc0cb,1
Jan de Ruiter,J. de Ruiter,#ffc0cb,0
Kathleen Fisher,K. Fisher,#00bfff,0
Soha Hassoun,S. Hassoun,#00bfff,0
