name,abbrv,color,coauthored
James Allan,J. Allan,#32CD32,1
Ramesh Sitaraman,R. Sitaraman,#00bfff,1
W. Croft,W. Croft,#32CD32,1
Shlomo Zilberstein,S. Zilberstein,#32CD32,1
Mark Corner,M. Corner,#00bfff,1
Prashant Shenoy,P. Shenoy,#00bfff,1
Don Towsley,D. Towsley,#00bfff,1
Brian Levine,B. Levine,#00bfff,1
Emery Berger,E. Berger,#00bfff,1
Deepak Ganesan,D. Ganesan,#00bfff,1
Michael Zink,M. Zink,#00bfff,1
James Kurose,J. Kurose,#00bfff,1
David Irwin,D. Irwin,#00bfff,1
Arun Venkataramani,A. Venkataramani,#00bfff,1
Yanlei Diao,Y. Diao,#00bfff,1
Gerome Miklau,G. Miklau,#00bfff,1
Alexandra Meliou,A. Meliou,#00bfff,1
David Jensen,D. Jensen,#32CD32,1
Andrew McGregor,A. McGregor,#ffff00,1
Neil Immerman,N. Immerman,#00bfff,1
Andrew McCallum,A. McCallum,#32CD32,1
Lori Clarke,L. Clarke,#00bfff,1
George Avrunin,G. Avrunin,#00bfff,1
Leon Osterweil,L. Osterweil,#00bfff,1
Jenna Marquard,J. Marquard,#d3d3d3,1
Benjamin Marlin,B. Marlin,#32CD32,1
Evangelos Kalogerakis,E. Kalogerakis,#ffc0cb,1
J. Moss,J. Moss,#00bfff,1
Erik Learned-Miller,E. Learned-Miller,#32CD32,1
Brendan O'Connor,B. O'Connor,#32CD32,0
Amir Houmansadr,A. Houmansadr,#00bfff,1
Daniel Sheldon,D. Sheldon,#32CD32,1
Rui Wang,R. Wang,#ffc0cb,0
René Just,R. Just,#00bfff,0
Subhransu Maji,S. Maji,#32CD32,1
Charles Weems,C. Weems,#d3d3d3,1
Barna Saha,B. Saha,#ffff00,1
Arya Mazumdar,A. Mazumdar,#32CD32,1
Justin Domke,J. Domke,#32CD32,0
David Barrington,D. Barrington,#d3d3d3,0
Laura Haas,L. Haas,#00bfff,0
Sunghoon Lee,S. Lee,#00bfff,0
Roderic Grupen,R. Grupen,#ffc0cb,1
Yuriy Brun,Y. Brun,#00bfff,1
Weibo Gong,W. Gong,#00bfff,1
Arjun Guha,A. Guha,#00bfff,0
Jack Wileden,J. Wileden,#d3d3d3,0
Phillipa Gill,P. Gill,#00bfff,0
Hava Siegelmann,H. Siegelmann,#32CD32,0
Joydeep Biswas,J. Biswas,#ffc0cb,0
Akshay Krishnamurthy,A. Krishnamurthy,#32CD32,0
Sridhar Mahadevan,S. Mahadevan,#32CD32,0
Peter Haas,P. Haas,#00bfff,0
Robert Moll,R. Moll,#d3d3d3,0
