name,abbrv,color,coauthored
Norman Hutchinson,N. Hutchinson,#00bfff,1
Andrew Warfield,A. Warfield,#00bfff,1
Michael Feeley,M. Feeley,#00bfff,1
James Little,J. Little,#ffc0cb,1
Holger Hoos,H. Hoos,#32CD32,1
Alan Mackworth,A. Mackworth,#ffc0cb,1
Alla Sheffer,A. Sheffer,#ffc0cb,1
Nicholas Harvey,N. Harvey,#ffff00,1
William Evans,W. Evans,#d3d3d3,1
David Kirkpatrick,D. Kirkpatrick,#ffff00,1
William Aiello,W. Aiello,#00bfff,1
Alan Hu,A. Hu,#00bfff,1
Wolfgang Heidrich,W. Heidrich,#ffc0cb,1
Michiel van de Panne,M. van de Panne,#ffc0cb,1
Giuseppe Carenini,G. Carenini,#32CD32,1
Raymond Ng,R. Ng,#32CD32,1
Cristina Conati,C. Conati,#32CD32,1
David Poole,D. Poole,#32CD32,1
Hu Fu,H. Fu,#ffff00,0
Arvind Gupta,A. Gupta,#32CD32,0
Ronald Garcia,R. Garcia,#00bfff,0
Uri Ascher,U. Ascher,#ffc0cb,0
Laks Lakshmanan,L. Lakshmanan,#00bfff,1
Chen Greif,C. Greif,#ffc0cb,1
Rachel Pottinger,R. Pottinger,#00bfff,1
Kevin Leyton-Brown,K. Leyton-Brown,#32CD32,1
Anne Condon,A. Condon,#ffc0cb,1
Dinesh Pai,D. Pai,#ffc0cb,0
Alan Wagner,A. Wagner,#00bfff,1
Alexandra Fedorova,A. Fedorova,#00bfff,0
Gregor Kiczales,G. Kiczales,#d3d3d3,1
Joanna McGrenere,J. McGrenere,#ffc0cb,1
Gail Murphy,G. Murphy,#00bfff,1
Tamara Munzner,T. Munzner,#ffc0cb,1
Karon MacLean,K. MacLean,#ffc0cb,1
Kellogg Booth,K. Booth,#ffc0cb,1
Mark Greenstreet,M. Greenstreet,#ffff00,1
Mark Schmidt,M. Schmidt,#32CD32,1
Michael Friedlander,M. Friedlander,#32CD32,1
Reid Holmes,R. Holmes,#00bfff,1
Karthik Pattabiraman,K. Pattabiraman,#00bfff,1
Ali Mesbah,A. Mesbah,#00bfff,1
Joel Friedman,J. Friedman,#d3d3d3,1
Ivan Beschastnikh,I. Beschastnikh,#00bfff,1
Ian Mitchell,I. Mitchell,#ffc0cb,1
Ronald Rensink,R. Rensink,#ffc0cb,1
Julia Rubin,J. Rubin,#00bfff,0
