name,abbrv,color,coauthored
Varmo Vene,V. Vene,#00bfff,1
Aivar Annamaa,A. Annamaa,#d3d3d3,1
Vesal Vojdani,V. Vojdani,#00bfff,1
Kalmer Apinis,K. Apinis,#00bfff,1
Dirk Theis,D. Theis,#d3d3d3,0
Vitaly Skachek,V. Skachek,#d3d3d3,1
Helger Lipmaa,H. Lipmaa,#32CD32,1
Dietmar Pfahl,D. Pfahl,#d3d3d3,1
Marlon Dumas,M. Dumas,#32CD32,1
Siim Karus,S. Karus,#d3d3d3,1
Fredrik Milani,F. Milani,#d3d3d3,1
Raimundas Matulevicius,R. Matulevicius,#d3d3d3,1
Sven Laur,S. Laur,#ffc0cb,1
Ahti Peder,A. Peder,#d3d3d3,0
Mark Fishel,M. Fishel,#d3d3d3,1
Heiki-Jaan Kaalep,H. Kaalep,#d3d3d3,1
Eero Vainikko,E. Vainikko,#d3d3d3,1
Amnir Hadachi,A. Hadachi,#d3d3d3,1
Satish Srirama,S. Srirama,#d3d3d3,1
Anne Villems,A. Villems,#d3d3d3,1
Fabrizio Maggi,F. Maggi,#d3d3d3,1
Luciano García-Bañuelos,L. García-Bañuelos,#d3d3d3,1
Eno Tõnisson,E. Tõnisson,#d3d3d3,1
Marina Lepp,M. Lepp,#d3d3d3,1
Jaak Vilo,J. Vilo,#ffc0cb,1
Tõnu Tamme,T. Tamme,#d3d3d3,0
Kaili Müürisep,K. Müürisep,#d3d3d3,1
Kadri Muischnek,K. Muischnek,#d3d3d3,1
Erkki Luuk,E. Luuk,#d3d3d3,0
Gholamreza Anbarjafari,G. Anbarjafari,#d3d3d3,0
Reimo Palm,R. Palm,#d3d3d3,0
Dominique Unruh,D. Unruh,#ffff00,0
Härmel Nestra,H. Nestra,#d3d3d3,0
Kadri Vider,K. Vider,#d3d3d3,0
